cai_personality_occupation_decision_priorities_tables	2
last_stand_priority	option	total_war_priority	war_priority	tension_priority	peace_priority	policy_id
0	occupation_decision_colonise	0	0	0	0	default_early_uncapturable
0	occupation_decision_do_nothing	0	0	0	0	default_early_uncapturable
1	occupation_decision_establish_foreign_slot	1	1	1	1	default_early_uncapturable
1	occupation_decision_gift_to_another_faction	1	1	1	1	default_early_uncapturable
1	occupation_decision_liberate	1	1	1	1	default_early_uncapturable
0	occupation_decision_loot	0	0	0	0	default_early_uncapturable
0	occupation_decision_occupy	0	0	0	0	default_early_uncapturable
0	occupation_decision_raze	0	0	0	0	default_early_uncapturable
100	occupation_decision_raze_without_occupy	100	100	100	100	default_early_uncapturable
0	occupation_decision_resettle	0	0	0	0	default_early_uncapturable
100	occupation_decision_sack	100	100	100	100	default_early_uncapturable
0	occupation_decision_treasure_hunt	0	0	0	0	default_early_uncapturable
1	occupation_decision_vassal	1	1	1	1	default_early_uncapturable
1	occupation_decision_colonise	1	1	1	1	default_early
0	occupation_decision_do_nothing	0	0	0	0	default_early
1	occupation_decision_establish_foreign_slot	1	1	1	1	default_early
1	occupation_decision_gift_to_another_faction	1	1	1	1	default_early
1	occupation_decision_liberate	1	1	1	1	default_early
0	occupation_decision_loot	0	0	0	0	default_early
400	occupation_decision_occupy	400	400	400	400	default_early
0	occupation_decision_raze	0	0	0	0	default_early
1	occupation_decision_raze_without_occupy	1	1	1	1	default_early
0	occupation_decision_resettle	0	0	0	0	default_early
15	occupation_decision_sack	15	15	15	15	default_early
0	occupation_decision_treasure_hunt	0	0	0	0	default_early
1	occupation_decision_vassal	1	1	1	1	default_early
0	occupation_decision_colonise	0	0	0	0	default_uncapturable
0	occupation_decision_do_nothing	0	0	0	0	default_uncapturable
1	occupation_decision_establish_foreign_slot	1	1	1	1	default_uncapturable
1	occupation_decision_gift_to_another_faction	1	1	1	1	default_uncapturable
1	occupation_decision_liberate	1	1	1	1	default_uncapturable
0	occupation_decision_loot	0	0	0	0	default_uncapturable
10	occupation_decision_occupy	10	10	10	10	default_uncapturable
0	occupation_decision_raze	0	0	0	0	default_uncapturable
100	occupation_decision_raze_without_occupy	100	100	100	100	default_uncapturable
0	occupation_decision_resettle	0	0	0	0	default_uncapturable
100	occupation_decision_sack	100	100	100	100	default_uncapturable
0	occupation_decision_treasure_hunt	0	0	0	0	default_uncapturable
10	occupation_decision_vassal	10	10	10	10	default_uncapturable
1	occupation_decision_colonise	1	1	1	1	default
0	occupation_decision_do_nothing	0	0	0	0	default
1	occupation_decision_establish_foreign_slot	1	1	1	1	default
1	occupation_decision_gift_to_another_faction	1	1	1	1	default
1	occupation_decision_liberate	1	1	1	1	default
0	occupation_decision_loot	0	0	0	0	default
200	occupation_decision_occupy	200	200	200	200	default
0	occupation_decision_raze	0	0	0	0	default
3	occupation_decision_raze_without_occupy	3	3	3	3	default
0	occupation_decision_resettle	0	0	0	0	default
15	occupation_decision_sack	15	15	15	15	default
0	occupation_decision_treasure_hunt	0	0	0	0	default
1	occupation_decision_vassal	1	1	1	1	default
0	occupation_decision_colonise	0	0	0	0	destroyer_uncapturable
0	occupation_decision_do_nothing	0	0	0	0	destroyer_uncapturable
1	occupation_decision_establish_foreign_slot	1	1	1	1	destroyer_uncapturable
1	occupation_decision_gift_to_another_faction	1	1	1	1	destroyer_uncapturable
1	occupation_decision_liberate	1	1	1	1	destroyer_uncapturable
0	occupation_decision_loot	0	0	0	0	destroyer_uncapturable
0	occupation_decision_occupy	0	0	0	0	destroyer_uncapturable
0	occupation_decision_raze	0	0	0	0	destroyer_uncapturable
100	occupation_decision_raze_without_occupy	100	100	100	100	destroyer_uncapturable
0	occupation_decision_resettle	0	0	0	0	destroyer_uncapturable
50	occupation_decision_sack	50	50	50	50	destroyer_uncapturable
0	occupation_decision_treasure_hunt	0	0	0	0	destroyer_uncapturable
1	occupation_decision_vassal	1	1	1	1	destroyer_uncapturable
0	occupation_decision_colonise	0	0	0	0	destroyer
0	occupation_decision_do_nothing	0	0	0	0	destroyer
1	occupation_decision_establish_foreign_slot	1	1	1	1	destroyer
1	occupation_decision_gift_to_another_faction	1	1	1	1	destroyer
1	occupation_decision_liberate	1	1	1	1	destroyer
0	occupation_decision_loot	0	0	0	0	destroyer
20	occupation_decision_occupy	20	20	20	20	destroyer
0	occupation_decision_raze	0	0	0	0	destroyer
5	occupation_decision_raze_without_occupy	5	5	5	5	destroyer
0	occupation_decision_resettle	0	0	0	0	destroyer
10	occupation_decision_sack	10	10	10	10	destroyer
0	occupation_decision_treasure_hunt	0	0	0	0	destroyer
1	occupation_decision_vassal	1	1	1	1	destroyer
0	occupation_decision_colonise	0	0	0	0	dlc05_wood_elves_uncapturable
0	occupation_decision_do_nothing	0	0	0	0	dlc05_wood_elves_uncapturable
1	occupation_decision_establish_foreign_slot	1	1	1	1	dlc05_wood_elves_uncapturable
1	occupation_decision_liberate	1	1	1	1	dlc05_wood_elves_uncapturable
0	occupation_decision_loot	0	0	0	0	dlc05_wood_elves_uncapturable
0	occupation_decision_occupy	0	0	0	0	dlc05_wood_elves_uncapturable
0	occupation_decision_raze	0	0	0	0	dlc05_wood_elves_uncapturable
50	occupation_decision_raze_without_occupy	50	50	50	50	dlc05_wood_elves_uncapturable
0	occupation_decision_resettle	0	0	0	0	dlc05_wood_elves_uncapturable
15	occupation_decision_sack	15	15	15	15	dlc05_wood_elves_uncapturable
0	occupation_decision_treasure_hunt	0	0	0	0	dlc05_wood_elves_uncapturable
10	occupation_decision_vassal	10	10	10	10	dlc05_wood_elves_uncapturable
0	occupation_decision_colonise	0	0	0	0	dlc05_wood_elves
0	occupation_decision_do_nothing	0	0	0	0	dlc05_wood_elves
1	occupation_decision_establish_foreign_slot	1	1	1	1	dlc05_wood_elves
1	occupation_decision_liberate	1	1	1	1	dlc05_wood_elves
0	occupation_decision_loot	0	0	0	0	dlc05_wood_elves
200	occupation_decision_occupy	200	200	200	200	dlc05_wood_elves
0	occupation_decision_raze	0	0	0	0	dlc05_wood_elves
50	occupation_decision_raze_without_occupy	50	50	50	50	dlc05_wood_elves
0	occupation_decision_resettle	0	0	0	0	dlc05_wood_elves
15	occupation_decision_sack	15	15	15	15	dlc05_wood_elves
0	occupation_decision_treasure_hunt	0	0	0	0	dlc05_wood_elves
1	occupation_decision_vassal	1	1	1	1	dlc05_wood_elves
0	occupation_decision_colonise	0	0	0	0	dlc09_tomb_kings_uncapaturable
0	occupation_decision_do_nothing	0	0	0	0	dlc09_tomb_kings_uncapaturable
1	occupation_decision_establish_foreign_slot	1	1	1	1	dlc09_tomb_kings_uncapaturable
1	occupation_decision_gift_to_another_faction	1	1	1	1	dlc09_tomb_kings_uncapaturable
1	occupation_decision_liberate	1	1	1	1	dlc09_tomb_kings_uncapaturable
0	occupation_decision_loot	0	0	0	0	dlc09_tomb_kings_uncapaturable
0	occupation_decision_occupy	0	0	0	0	dlc09_tomb_kings_uncapaturable
0	occupation_decision_raze	0	0	0	0	dlc09_tomb_kings_uncapaturable
15	occupation_decision_raze_without_occupy	15	15	15	15	dlc09_tomb_kings_uncapaturable
0	occupation_decision_resettle	0	0	0	0	dlc09_tomb_kings_uncapaturable
15	occupation_decision_sack	15	15	15	15	dlc09_tomb_kings_uncapaturable
0	occupation_decision_treasure_hunt	0	0	0	0	dlc09_tomb_kings_uncapaturable
10	occupation_decision_vassal	10	10	10	10	dlc09_tomb_kings_uncapaturable
1	occupation_decision_colonise	1	1	1	1	dlc09_tomb_kings
0	occupation_decision_do_nothing	0	0	0	0	dlc09_tomb_kings
1	occupation_decision_establish_foreign_slot	1	1	1	1	dlc09_tomb_kings
1	occupation_decision_gift_to_another_faction	1	1	1	1	dlc09_tomb_kings
1	occupation_decision_liberate	1	1	1	1	dlc09_tomb_kings
200	occupation_decision_loot	0	0	200	0	dlc09_tomb_kings
200	occupation_decision_occupy	10	50	200	100	dlc09_tomb_kings
