cai_personality_diplomatic_event_values_tables	0
component_id	event_id	falloff	value
default	ALLY_REFUSED_TO_JOIN_WAR	50	-30
default	BATTLE_ALLY_SUPPORT_REFUSED	50	-10
default	BATTLE_ATTACK	25	-10
default	BATTLE_SUPPORT	50	10
default	CITY_BESIEGED	50	0
default	CITY_LOOTED	25	-15
default	CITY_OCCUPIED	25	0
default	CITY_RAZED	25	-40
default	CITY_SACKED	25	-25
default	CLIENT_STATE	50	10
default	CLIENT_STATE_BROKEN	50	-80
default	DEFENSIVE_ALLIANCE	50	0
default	DEFENSIVE_ALLIANCE_BROKEN	50	-60
default	DEFENSIVE_ALLIANCE_PAST	50	20
default	DIPLOMATIC_MARRIAGE	50	20
default	DIVORCE	50	-40
default	FACTION_KILLED	50	-60
default	FACTION_LIBERATED	50	50
default	HOSTILE_AGENT_ACTION	50	-10
default	JOINED_CONFEDERATION	50	0
default	MILITARY_ACCESS	50	0
default	MILITARY_ACCESS_BROKEN	50	-40
default	MILITARY_ACCESS_DISSOLVED	50	0
default	MILITARY_ALLIANCE	50	0
default	MILITARY_ALLIANCE_BROKEN	50	-90
default	MILITARY_ALLIANCE_PAST	50	30
default	NON_AGGRESSION_PACT	50	0
default	NON_AGGRESSION_PACT_BROKEN	50	-40
default	NON_AGGRESSION_PACT_PAST	50	10
default	PEACE	50	10
default	RAIDING	25	-10
default	REBELLED_AGAINST	50	-60
default	REGION_GIFT	50	100
default	STATE_GIFT_ACCEPTED	50	0
default	STATE_GIFT_LARGE	40	40
default	STATE_GIFT_MEDIUM	20	20
default	STATE_GIFT_REFUSED	50	-10
default	STATE_GIFT_SMALL	10	10
default	TRADE_AGREEMENT	50	0
default	TRADE_AGREEMENT_BROKEN	50	-30
default	TRADE_AGREEMENT_DISSOLVED	50	0
default	TRADE_AGREEMENT_PAST	50	10
default	TRESSPASSING	25	-10
default	TROOPS_ENSLAVED	25	-10
default	TROOPS_EXECUTED	25	-20
default	TROOPS_RELEASED	25	5
default	VASSALAGE	50	10
default	VASSALAGE_BROKEN	50	-80
default	VASSALAGE_CANCELLED	50	-50
default	VASSALAGE_FORCED	50	10
default	VORTEX_INTERVENTION	50	-20
default	WAR	50	0
default	WAR_PAST	50	-10
dlc08_challenger	ALLY_REFUSED_TO_JOIN_WAR	50	0
dlc08_challenger	BATTLE_ALLY_SUPPORT_REFUSED	50	0
dlc08_challenger	BATTLE_ATTACK	50	0
dlc08_challenger	BATTLE_SUPPORT	50	0
dlc08_challenger	CITY_BESIEGED	50	0
dlc08_challenger	CITY_LOOTED	50	0
dlc08_challenger	CITY_OCCUPIED	50	0
dlc08_challenger	CITY_RAZED	50	0
dlc08_challenger	CITY_SACKED	50	0
dlc08_challenger	CLIENT_STATE	50	0
