cai_region_groups_to_regions_junctions_tables	0
region_group_key	region_key
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_TMB	wh2_main_ash_river_numas
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_TMB	wh2_main_great_desert_of_araby_black_tower_of_arkhan
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_TMB	wh2_main_great_mortis_delta_black_pyramid_of_nagash
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_TMB	wh2_main_land_of_assassins_sorcerers_islands
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_TMB	wh2_main_land_of_the_dead_khemri
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_TMB	wh2_main_vor_ash_river_numas
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_TMB	wh2_main_vor_isthmus_of_lustria_hexoatl
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_TMB	wh2_main_vor_land_of_assassins_sorcerers_islands
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_TMB	wh2_main_vor_land_of_the_dead_black_pyramid_of_nagash
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_TMB	wh2_main_vor_land_of_the_dead_khemri
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_TMB	wh2_main_vor_naggarond_naggarond
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_TMB	wh2_main_vor_straits_of_lothern_lothern
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_TMB	wh2_main_vor_the_great_desert_black_tower_of_arkhan
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh2_main_avelorn_evershale
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh2_main_avelorn_gaean_vale
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh2_main_avelorn_tor_saroir
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh2_main_caledor_tor_sethai
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh2_main_caledor_vauls_anvil
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh2_main_chrace_elisia
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh2_main_chrace_tor_achare
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh2_main_cothique_mistnar
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh2_main_cothique_tor_koruali
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh2_main_eagle_gate
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh2_main_eataine_angerrial
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh2_main_eataine_lothern
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh2_main_eataine_shrine_of_asuryan
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh2_main_eataine_tower_of_lysean
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh2_main_ellyrion_tor_elyr
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh2_main_ellyrion_whitefire_tor
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh2_main_griffon_gate
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh2_main_nagarythe_shrine_of_khaine
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh2_main_nagarythe_tor_anlec
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh2_main_nagarythe_tor_dranil
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh2_main_phoenix_gate
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh2_main_saphery_port_elistor
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh2_main_saphery_tor_finu
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh2_main_saphery_tower_of_hoeth
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh2_main_tiranoc_tor_anroc
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh2_main_tiranoc_whitepeak
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh2_main_unicorn_gate
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh2_main_yvresse_elessaeli
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh2_main_yvresse_tor_yvresse
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN	wh2_main_vor_caledor_caledors_repose
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN	wh2_main_vor_caledor_tor_sethai
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN	wh2_main_vor_caledor_vauls_anvil
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN	wh2_main_vor_chrace_elisia
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN	wh2_main_vor_chrace_tor_achare
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN	wh2_main_vor_chrace_tor_gard
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN	wh2_main_vor_cothique_mistnar
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN	wh2_main_vor_cothique_tor_koruali
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN	wh2_main_vor_eagle_gate
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN	wh2_main_vor_eataine_angerrial
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN	wh2_main_vor_eataine_shrine_of_asuryan
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN	wh2_main_vor_ellyrion_reavers_mark
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN	wh2_main_vor_ellyrion_the_arc_span
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN	wh2_main_vor_ellyrion_tor_elyr
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN	wh2_main_vor_griffon_gate
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN	wh2_main_vor_nagarythe_shrine_of_khaine
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN	wh2_main_vor_nagarythe_tor_anlec
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN	wh2_main_vor_nagarythe_tor_dranil
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN	wh2_main_vor_northern_yvresse_sardenath
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN	wh2_main_vor_northern_yvresse_tor_yvresse
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN	wh2_main_vor_northern_yvresse_tralinia
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN	wh2_main_vor_phoenix_gate
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN	wh2_main_vor_saphery_port_elistor
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN	wh2_main_vor_saphery_shadow_peak
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN	wh2_main_vor_saphery_tor_finu
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN	wh2_main_vor_saphery_tower_of_hoeth
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN	wh2_main_vor_southern_yvresse_cairn_thel
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN	wh2_main_vor_southern_yvresse_elessaeli
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN	wh2_main_vor_southern_yvresse_shrine_of_loec
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN	wh2_main_vor_straits_of_lothern_glittering_tower
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN	wh2_main_vor_straits_of_lothern_lothern
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN	wh2_main_vor_straits_of_lothern_tower_of_lysean
