resource_cost_trade_resource_junctions_tables	0
resource_cost	trade_resource
wh2_dlc09_ritual_crafting_tmb_arcane_item_blue_khepra	res_gems
wh2_dlc09_ritual_crafting_tmb_arcane_item_blue_khepra	res_rom_marble
wh2_dlc09_ritual_crafting_tmb_arcane_item_enkhils_kanopi	res_medicine
wh2_dlc09_ritual_crafting_tmb_arcane_item_enkhils_kanopi	res_rom_textiles
wh2_dlc09_ritual_crafting_tmb_arcane_item_enkhils_kanopi	res_rom_timber
wh2_dlc09_ritual_crafting_tmb_arcane_item_neferras_scrolls_of_mighty_incantations	res_obsidian
wh2_dlc09_ritual_crafting_tmb_arcane_item_neferras_scrolls_of_mighty_incantations	res_rom_timber
wh2_dlc09_ritual_crafting_tmb_arcane_item_power_scroll	res_obsidian
wh2_dlc09_ritual_crafting_tmb_arcane_item_scroll_of_leeching	res_rom_furs
wh2_dlc09_ritual_crafting_tmb_arcane_item_scroll_of_leeching	res_rom_timber
wh2_dlc09_ritual_crafting_tmb_arcane_item_scroll_of_leeching	res_rom_wine
wh2_dlc09_ritual_crafting_tmb_arcane_item_scroll_of_shielding	res_rom_iron
wh2_dlc09_ritual_crafting_tmb_armour_armour_of_dawn	res_dyes
wh2_dlc09_ritual_crafting_tmb_armour_armour_of_dawn	res_rom_furs
wh2_dlc09_ritual_crafting_tmb_armour_armour_of_dawn	res_spices
wh2_dlc09_ritual_crafting_tmb_armour_armour_of_eternity	res_gold_idols
wh2_dlc09_ritual_crafting_tmb_armour_armour_of_eternity	res_rom_iron
wh2_dlc09_ritual_crafting_tmb_armour_armour_of_eternity	res_spices
wh2_dlc09_ritual_crafting_tmb_armour_armour_of_the_ages	res_gold_idols
wh2_dlc09_ritual_crafting_tmb_armour_armour_of_the_ages	res_rom_textiles
wh2_dlc09_ritual_crafting_tmb_armour_helmet_of_khsar	res_rom_lead
wh2_dlc09_ritual_crafting_tmb_armour_helmet_of_khsar	res_rom_wine
wh2_dlc09_ritual_crafting_tmb_armour_mortuary_robes	res_dyes
wh2_dlc09_ritual_crafting_tmb_armour_scorpion_armour	res_animals
wh2_dlc09_ritual_crafting_tmb_armour_scorpion_armour	res_gold_idols
wh2_dlc09_ritual_crafting_tmb_armour_scorpion_armour	res_rom_iron
wh2_dlc09_ritual_crafting_tmb_armour_scorpion_armour	res_spices
wh2_dlc09_ritual_crafting_tmb_armour_shield_of_ptra	res_rom_timber
wh2_dlc09_ritual_crafting_tmb_armour_skull_cap_of_the_moon	res_rom_furs
wh2_dlc09_ritual_crafting_tmb_enchanted_item_brooch_of_the_great_desert	res_dyes
wh2_dlc09_ritual_crafting_tmb_enchanted_item_brooch_of_the_great_desert	res_gems
wh2_dlc09_ritual_crafting_tmb_enchanted_item_death_mask_of_kharnut	res_dyes
wh2_dlc09_ritual_crafting_tmb_enchanted_item_death_mask_of_kharnut	res_gold_idols
wh2_dlc09_ritual_crafting_tmb_enchanted_item_elixir_of_might	res_rom_wine
wh2_dlc09_ritual_crafting_tmb_enchanted_item_hieratic_jar	res_rom_textiles
wh2_dlc09_ritual_crafting_tmb_enchanted_item_icon_of_rulership	res_rom_marble
