faction_uniform_colours_tables	1
faction_name	primary_colour_r	primary_colour_g	primary_colour_b	secondary_colour_r	secondary_colour_g	secondary_colour_b	tertiary_colour_r	tertiary_colour_g	tertiary_colour_b
att_fact_blue	50	50	220	84	84	134	128	128	128
att_fact_red	220	50	50	122	43	43	128	128	128
att_fact_yellow	220	220	50	155	155	102	128	128	128
wh2_dlc09_rogue_black_creek_raiders	38	38	38	221	221	221	128	1	1
wh2_dlc09_rogue_dwellers_of_zardok	38	38	38	221	221	221	128	1	1
wh2_dlc09_rogue_eyes_of_the_jungle	38	38	38	221	221	221	128	1	1
wh2_dlc09_rogue_pilgrims_of_myrmidia	38	38	38	221	221	221	128	1	1
wh2_dlc09_skv_clan_rictus	167	161	142	145	60	11	128	128	128
wh2_dlc09_skv_clan_rictus_separatists	137	174	44	168	1	1	134	146	113
wh2_dlc09_tmb_dune_kingdoms	69	145	136	226	172	0	0	0	0
wh2_dlc09_tmb_exiles_of_nehek	221	217	196	192	0	0	0	0	0
wh2_dlc09_tmb_followers_of_nagash	226	172	0	38	38	38	0	0	0
wh2_dlc09_tmb_khemri	234	32	35	114	236	232	0	0	0
wh2_dlc09_tmb_lybaras	221	217	196	69	145	136	0	0	0
wh2_dlc09_tmb_numas	192	0	0	221	217	196	0	0	0
wh2_dlc09_tmb_rakaph_dynasty	223	134	3	69	145	136	0	0	0
wh2_dlc09_tmb_the_sentinels	47	49	51	72	140	111	0	0	0
wh2_dlc09_tmb_tomb_kings	234	32	35	114	236	232	0	0	0
wh2_dlc09_tmb_tomb_kings_rebels	38	38	38	226	172	0	0	0	0
wh2_dlc09_tmb_tombking_qb1	38	38	38	226	172	0	0	0	0
wh2_dlc09_tmb_tombking_qb2	38	38	38	226	172	0	0	0	0
wh2_dlc09_tmb_tombking_qb3	38	38	38	226	172	0	0	0	0
wh2_dlc09_tmb_tombking_qb4	38	38	38	226	172	0	0	0	0
wh2_dlc09_tmb_tombking_qb_exiles_of_nehek	221	217	196	192	0	0	0	0	0
wh2_dlc09_tmb_tombking_qb_followers_of_nagash	226	172	0	38	38	38	0	0	0
wh2_dlc09_tmb_tombking_qb_khemri	234	32	35	114	236	232	0	0	0
wh2_dlc09_tmb_tombking_qb_lybaras	221	217	196	69	145	136	0	0	0
wh2_dlc10_def_blood_voyage	50	50	50	201	196	141	1	1	1
wh2_dlc11_brt_bretonnia_dil	248	244	228	50	50	50	248	244	228
wh2_dlc11_cst_harpoon_the_sunken_land_corsairs	157	152	135	45	45	45	1	1	1
wh2_dlc11_cst_noctilus	138	61	88	78	78	72	1	1	1
wh2_dlc11_cst_noctilus_separatists	138	61	88	78	78	72	1	1	1
wh2_dlc11_cst_pirates_of_sartosa	186	159	50	78	78	72	1	1	1
wh2_dlc11_cst_pirates_of_sartosa_separatists	186	159	50	78	78	72	1	1	1
wh2_dlc11_cst_rogue_bleak_coast_buccaneers	157	152	135	45	45	45	1	1	1
wh2_dlc11_cst_rogue_boyz_of_the_forbidden_coast	157	152	135	45	45	45	1	1	1
wh2_dlc11_cst_rogue_freebooters_of_port_royale	157	152	135	45	45	45	1	1	1
wh2_dlc11_cst_rogue_grey_point_scuttlers	157	152	135	45	45	45	1	1	1
wh2_dlc11_cst_rogue_terrors_of_the_dark_straights	157	152	135	45	45	45	1	1	1
