cdir_events_dilemma_option_junctions_tables	2
dilemma_key	id	option_key	value
wh2_main_dilemma_loyalty_positive_def_the_hermit	1003722050	CND_FIRST_ROUND	1
wh2_main_dilemma_loyalty_positive_skv_when_rats_fly	1003918737	VAR_CHANCE	100
wh2_main_dilemma_loyalty_def_sorceror_delinquent_1	1003924273	GEN_TARGET_MODEL	
wh_dlc08_nor_monster_hunt_3_dilemma_reward	1005269804	GEN_TARGET_NONE	
wh2_dlc10_monster_hunt_10_stage_2	1008053012	GEN_TARGET_NONE	 
wh2_main_lzd_skilled_forces	1008928073	CND_FIRST_ROUND	12
wh2_main_lzd_new_blood	1009329728	CND_ROUNDS_UNTIL_NEXT	20
wh2_main_hef_intrigue_the_folly_of_youth	1014316746	CND_FACTION	wh2_main_hef_avelorn
wh_dlc08_nor_avalanche	1016664121	CND_FIRST_ROUND	10
wh2_main_dilemma_loyalty_positive_def_a_tribute	1016838064	GEN_TARGET_MODEL	
wh_dlc08_nor_hidden_fissure	1017718292	CND_ROUNDS_UNTIL_NEXT	40
wh2_main_dilemma_loyalty_positive_def_the_alchemist	101836782	VAR_CHANCE	100
wh2_dlc09_tmb_dilemma_soulless_sphinx	1021341609	CND_FIRST_ROUND	12
wh2_dlc11_th_puzzle_3_2	1022220249	GEN_CND_HUMAN	
wh2_dlc11_cst_dilemma_ancient_treasure	1023613448	GEN_CND_NOT_WAR	
wh2_main_lzd_knowledge_regained	1023758772	CND_FIRST_ROUND	10
wh2_dlc09_tmb_dilemma_lost_tombs	1024059851	CND_FIRST_ROUND	10
wh2_main_dilemma_loyalty_def_price_of_treachery_1	1024354559	CND_FIRST_ROUND	1
wh2_dlc10_nor_monster_hunt_9_dilemma_reward	1025354570	VAR_CHANCE	100
wh2_main_dilemma_loyalty_positive_skv_whisper_rumours	1026487107	VAR_CHANCE	100
wh2_main_hef_intrigue_whispers_of_the_mourning_chorus	1030277268	GEN_TARGET_FACTION	
wh2_main_dilemma_loyalty_positive_def_the_hermit	1030777034	CND_CULTURE	wh2_main_def_dark_elves
wh2_main_hef_intrigue_whispers_of_the_mourning_chorus	103139828	CND_FACTION	wh2_main_hef_eataine
wh2_main_hef_intrigue_favour_of_the_phoenix	1033072821	CND_HAS_AGENT	wizard
wh2_dlc09_tmb_dilemma_stray_mortals	1034669227	VAR_CHANCE	4
wh2_main_lzd_out_or_in	103470850	CND_ROUNDS_UNTIL_NEXT	20
wh2_main_hef_intrigue_whispers_of_the_mourning_chorus	1034902725	CND_CAN_RECRUIT_UNIT_CLASS	chariot
wh2_dlc11_th_puzzle_3_11	1038358847	VAR_CHANCE	100
wh2_dlc11_th_puzzle_3_1	1040470035	VAR_FOLLOWUP_CHANCE	100
wh_dlc08_nor_monster_hunt_1_dilemma_reward	1042015917	VAR_FOLLOWUP_CHANCE	100
wh2_dlc11_th_puzzle_2_2	1044301641	VAR_FOLLOWUP_CHANCE	100
wh2_dlc10_nor_monster_hunt_11_dilemma_reward	1044455595	VAR_FOLLOWUP_CHANCE	100
wh2_main_lzd_out_or_in	1048084050	CND_AT_WAR_SUBCULTURE	wh_main_sc_nor_norsca
wh2_dlc11_th_puzzle_2_4	1051292073	VAR_FOLLOWUP_CHANCE	100
wh2_main_hef_intrigue_signed_sealed_delivered	1051537534	CND_MIN_TREASURY	1500
wh2_main_dilemma_loyalty_skv_what_we_do_in_the_shadows_2_a	1052905417	CND_DILEMMA_CHOSEN_FIRST	wh2_main_dilemma_loyalty_skv_what_we_do_in_the_shadows_1
wh2_main_lzd_one_shot	1052927525	CND_HAS_AGENT	spy;champion;wizard
wh2_dlc10_nor_monster_hunt_8_dilemma_reward	1052939013	VAR_FOLLOWUP_CHANCE	100
wh2_dlc11_th_puzzle_1_3	105535347	GEN_TARGET_MODEL	
wh2_dlc11_th_puzzle_4_7	1055772743	VAR_FOLLOWUP_CHANCE	100
wh2_main_dilemma_loyalty_positive_skv_item_of_power	1055969621	CND_ROUNDS_UNTIL_NEXT	10
wh_dlc08_nor_shrine_or_shine	1056420196	GEN_TARGET_NONE	
wh2_main_dilemma_loyalty_positive_def_the_hermit	1057541548	VAR_CHANCE	100
wh2_dlc11_th_puzzle_2_2	1060081868	GEN_CND_HUMAN	
wh2_dlc08_confederate_wh_dlc08_nor_vanaheimlings	1062113616	GEN_TARGET_FACTION	
wh2_dlc08_confederate_wh2_main_nor_mung	106229042	GEN_TARGET_FACTION	
wh2_dlc08_confederate_wh2_main_nor_skeggi	1062644049	GEN_CND_FACTION	wh2_main_nor_skeggi
wh2_dlc09_agent_choice	1063857632	GEN_TARGET_NONE	
wh2_dlc10_sword_of_khaine_pick_or_not	1067334722	GEN_TARGET_NONE	
wh2_dlc11_cst_dilemma_shyish_wanes	1069673727	GEN_TARGET_NONE	
wh2_dlc11_dilemma_neo_encounter_at_sea_1_c	1071292202	VAR_FOLLOWUP_CHANCE	100
wh2_dlc11_th_puzzle_2_3	1073012461	GEN_TARGET_MODEL	
wh2_main_lzd_a_tainted_bounty	1075269209	CND_CULTURE	wh2_main_lzd_lizardmen
