campaign_character_arts_tables	7
art_set_id	level	age	portrait	season	uniform	card	info	sea_uniform	navy_uniform	land_animation	sea_animation	navy_animation	id	religion	land_animation_vfx_filter	sea_animation_vfx_filter	navy_animation_vfx_filter
wh2_dlc10_def_mon_war_hydra_01	0	0		none	wh2_dlc10_uniform_def_mon_war_hydra_boss			wh2_main_campaign_def_ship_army	wh2_main_campaign_def_ship_army	cam_dr2_hydra	cam_medium_ship_06	cam_medium_ship_06	1011013955		0	0	0
wh2_dlc09_art_set_tmb_settra	0	0		none	wh2_dlc09_uniform_tmb_settra			wh2_dlc09_campaign_tmb_ship_transport	wh2_dlc09_campaign_tmb_ship_transport	cam_lord_hu1_settra_2handed_halberd	cam_transport_ship_06	cam_transport_ship_06	1034628616		45	0	0
wh2_dlc11_art_set_cst_admiral_female_vampires_01	0	0		none	wh2_dlc11_uniform_cst_vampire_fleet_admiral_female_01			wh2_dlc11_campaign_cst_ship_transport	wh2_dlc11_campaign_cst_ship_transport	cam_lord_hu1b_cst_admiral_cutlass_and_pistol	cam_cst_transport_ship_01	cam_heavy_ship_01	1051890561		0	0	0
wh_main_art_set_ksl_general_02	0	0		none	wh_main_uniform_emp_general_campaign_02			wh_main_campaign_emp_ship_heavy	wh_main_campaign_emp_ship_heavy	cam_hu1_empire_sword_and_shield	cam_heavy_ship_01	cam_heavy_ship_01	1073696530		0	0	0
wh2_dlc11_art_set_cst_admiral_female_deep_01	0	0		none	wh2_dlc11_uniform_cst_vampire_fleet_admiral_female_01			wh2_dlc11_campaign_cst_ship_transport	wh2_dlc11_campaign_cst_ship_transport	cam_lord_hu1b_cst_admiral_cutlass_and_pistol	cam_cst_transport_ship_01	cam_heavy_ship_01	1081884417		0	0	0
wh2_dlc10_art_set_def_supreme_sorceress_dark_02	0	0		none	wh2_dlc10_uniform_def_supreme_sorceress_02			wh2_main_campaign_def_ship_army	wh2_main_campaign_def_ship_army	cam_lord_hu1b_elf_staff_and_sword	cam_light_ship_05	cam_light_ship_05	1084043446		0	0	0
wh2_dlc11_art_set_cst_admiral_tech_04_female	0	0		none	wh2_dlc11_uniform_cst_vampire_fleet_admiral_female_04			wh2_dlc11_campaign_cst_ship_transport	wh2_dlc11_campaign_cst_ship_transport	cam_lord_hu1b_cst_admiral_cutlass_and_pistol	cam_cst_transport_ship_01	cam_heavy_ship_01	1109791365		0	0	0
wh2_dlc09_art_set_tmb_liche_priest_04	0	0		none	wh2_dlc09_uniform_tmb_liche_priest_campaign_04			wh2_dlc09_campaign_tmb_ship_agent	wh_main_campaign_vmp_ship_heavy	cam_lord_hu1_liche_priest_staff_and_sword	cam_agent_ship_04	cam_heavy_ship_01	1112864574		44	0	0
wh2_dlc11_art_set_cst_harkon_1	0	0		none	wh2_dlc11_uniform_cst_harkon			wh2_dlc11_campaign_cst_ship_harkon_01	wh2_dlc11_campaign_cst_ship_harkon_01	cam_lord_hu1_cst_luthor_cutlass_and_pistol	cam_cst_luthor_harkon_ship_01	cam_heavy_ship_01	1165794969		0	0	0
wh2_dlc10_art_set_def_supreme_sorceress_death_05	0	0		none	wh2_dlc10_uniform_def_supreme_sorceress_05			wh2_main_campaign_def_ship_army	wh2_main_campaign_def_ship_army	cam_lord_hu1b_elf_staff_and_sword	cam_light_ship_05	cam_light_ship_05	1173716988		0	0	0
