frontend_factions_tables	3
faction	video	sort_order
wh2_dlc09_skv_clan_rictus	front_end_faction_select/skv_faction	32
wh2_dlc09_tmb_exiles_of_nehek	front_end_faction_select/tmb_faction	51
wh2_dlc09_tmb_followers_of_nagash	front_end_faction_select/tmb_faction	53
wh2_dlc09_tmb_khemri	front_end_faction_select/tmb_faction	50
wh2_dlc09_tmb_lybaras	front_end_faction_select/tmb_faction	52
wh2_dlc11_cst_noctilus	Warhammer/faction_select_cst	41
wh2_dlc11_cst_pirates_of_sartosa	Warhammer/faction_select_cst	42
wh2_dlc11_cst_the_drowned	Warhammer/faction_select_cst	43
wh2_dlc11_cst_vampire_coast	Warhammer/faction_select_cst	40
wh2_dlc11_def_the_blessed_dread	front_end_faction_select/def_faction	23
wh2_dlc11_vmp_the_barrow_legion	Warhammer/faction_select_vmp	132
wh2_main_def_cult_of_pleasure	front_end_faction_select/def_faction	21
wh2_main_def_har_ganeth	front_end_faction_select/def_faction	22
wh2_main_def_naggarond	front_end_faction_select/def_faction	20
wh2_main_hef_avelorn	front_end_faction_select/hef_faction	2
wh2_main_hef_eataine	front_end_faction_select/hef_faction	0
wh2_main_hef_nagarythe	front_end_faction_select/hef_faction	3
wh2_main_hef_order_of_loremasters	front_end_faction_select/hef_faction	1
wh2_main_lzd_hexoatl	front_end_faction_select/lzd_faction	10
wh2_main_lzd_last_defenders	front_end_faction_select/lzd_faction	11
wh2_main_skv_clan_mors	front_end_faction_select/skv_faction	30
wh2_main_skv_clan_pestilens	front_end_faction_select/skv_faction	31
wh_dlc03_bst_beastmen	Warhammer/faction_select_bst	170
wh_dlc05_wef_argwylon	Warhammer/faction_select_argwylon	161
wh_dlc05_wef_wood_elves	Warhammer/faction_select_wef	160
wh_dlc08_nor_norsca	Warhammer/faction_select_nor_norsca	140
wh_dlc08_nor_wintertooth	Warhammer/faction_select_nor_wintertooth	141
wh_main_brt_bordeleaux	Warhammer/faction_select_brt_bordeleaux	151
wh_main_brt_bretonnia	Warhammer/faction_select_brt	150
wh_main_brt_carcassonne	Warhammer/faction_select_brt_carcassonne	152
wh_main_chs_chaos	Warhammer/faction_select_chs	180
wh_main_dwf_dwarfs	Warhammer/faction_select_dwf	110
wh_main_dwf_karak_izor	Warhammer/faction_select_belegar	111
wh_main_dwf_karak_kadrin	Warhammer/faction_select_dwf	112
wh_main_emp_empire	Warhammer/faction_select_emp	100
wh_main_grn_crooked_moon	Warhammer/faction_select_skarsnik	121
wh_main_grn_greenskins	Warhammer/faction_select_grn	120
wh_main_grn_orcs_of_the_bloody_hand	Warhammer/faction_select_wurrzag	122
wh_main_vmp_schwartzhafen	Warhammer/faction_select_vmp_von_carstein	131
wh_main_vmp_vampire_counts	Warhammer/faction_select_vmp	130
