units_custom_battle_mounts_tables	1
base_unit	icon_name	mounted_unit
wh2_dlc09_tmb_cha_arkhan_0	ui/campaign ui/mounts/mount_skeletal_steed_tmb.png	wh2_dlc09_tmb_cha_arkhan_1
wh2_dlc09_tmb_cha_arkhan_0	ui/campaign ui/mounts/mount_skeleton_chariot.png	wh2_dlc09_tmb_cha_arkhan_2
wh2_dlc09_tmb_cha_khalida_0	ui/campaign ui/mounts/mount_necroserpent.png	wh2_dlc09_tmb_cha_khalida_1
wh2_dlc09_tmb_cha_khalida_0	ui/campaign ui/mounts/mount_skeleton_chariot.png	wh2_dlc09_tmb_cha_khalida_2
wh2_dlc09_tmb_cha_khatep_0	ui/campaign ui/mounts/mount_skeletal_steed_tmb.png	wh2_dlc09_tmb_cha_khatep_1
wh2_dlc09_tmb_cha_khatep_0	ui/campaign ui/mounts/mount_skeleton_chariot.png	wh2_dlc09_tmb_cha_khatep_2
wh2_dlc09_tmb_cha_khatep_0	ui/campaign ui/mounts/mount_casket_of_souls.png	wh2_dlc09_tmb_cha_khatep_3
wh2_dlc09_tmb_cha_liche_priest_death_0	ui/campaign ui/mounts/mount_skeletal_steed_tmb.png	wh2_dlc09_tmb_cha_liche_priest_death_1
wh2_dlc09_tmb_cha_liche_priest_light_0	ui/campaign ui/mounts/mount_skeletal_steed_tmb.png	wh2_dlc09_tmb_cha_liche_priest_light_1
wh2_dlc09_tmb_cha_liche_priest_nehekhara_0	ui/campaign ui/mounts/mount_skeletal_steed_tmb.png	wh2_dlc09_tmb_cha_liche_priest_nehekhara_1
wh2_dlc09_tmb_cha_necrotect_0	ui/campaign ui/mounts/mount_skeleton_chariot.png	wh2_dlc09_tmb_cha_necrotect_1
wh2_dlc09_tmb_cha_settra_0	ui/campaign ui/mounts/mount_skeletal_steed_tmb.png	wh2_dlc09_tmb_cha_settra_1
wh2_dlc09_tmb_cha_settra_0	ui/campaign ui/mounts/mount_chariot_of_the_gods.png	wh2_dlc09_tmb_cha_settra_2
wh2_dlc09_tmb_cha_settra_0	ui/campaign ui/mounts/mount_warsphinx.png	wh2_dlc09_tmb_cha_settra_3
wh2_dlc09_tmb_cha_tomb_king_0	ui/campaign ui/mounts/mount_skeletal_steed_tmb.png	wh2_dlc09_tmb_cha_tomb_king_1
wh2_dlc09_tmb_cha_tomb_king_0	ui/campaign ui/mounts/mount_skeleton_chariot.png	wh2_dlc09_tmb_cha_tomb_king_2
wh2_dlc09_tmb_cha_tomb_king_0	ui/campaign ui/mounts/mount_warsphinx.png	wh2_dlc09_tmb_cha_tomb_king_3
wh2_dlc09_tmb_cha_tomb_prince_0	ui/campaign ui/mounts/mount_skeletal_steed_tmb.png	wh2_dlc09_tmb_cha_tomb_prince_1
wh2_dlc09_tmb_cha_tomb_prince_0	ui/campaign ui/mounts/mount_skeleton_chariot.png	wh2_dlc09_tmb_cha_tomb_prince_2
wh2_dlc10_def_cha_crone_0	ui/campaign ui/mounts/mount_dark_steed.png	wh2_dlc10_def_cha_crone_1
wh2_dlc10_def_cha_crone_0	ui/campaign ui/mounts/mount_cauldron_of_blood.png	wh2_dlc10_def_cha_crone_4
wh2_dlc10_def_cha_crone_0	ui/campaign ui/mounts/mount_manticore.png	wh2_dlc10_def_cha_crone_5
wh2_dlc10_def_cha_sorceress_beasts_0	ui/campaign ui/mounts/mount_dark_steed.png	wh2_dlc10_def_cha_sorceress_beasts_1
wh2_dlc10_def_cha_sorceress_beasts_0	ui/campaign ui/mounts/mount_cold_one.png	wh2_dlc10_def_cha_sorceress_beasts_2
wh2_dlc10_def_cha_sorceress_beasts_0	ui/campaign ui/mounts/mount_dark_pegasus.png	wh2_dlc10_def_cha_sorceress_beasts_3
wh2_dlc10_def_cha_sorceress_death_0	ui/campaign ui/mounts/mount_dark_steed.png	wh2_dlc10_def_cha_sorceress_death_1
