campaign_tree_ids_tables	2
colour_b	colour_g	colour_r	tree_id	can_be_removed	season
127	127	175	brt_trees_large_1	false	ALL
127	127	175	brt_trees_large_2	false	ALL
127	127	175	brt_trees_large_3	false	ALL
127	127	175	brt_trees_large_4	false	ALL
160	160	200	brt_trees_med_1	false	ALL
160	160	200	brt_trees_med_2	false	ALL
160	160	200	brt_trees_med_3	false	ALL
160	160	200	brt_trees_med_4	false	ALL
180	110	180	def_desert_grass_1	true	ALL
180	110	180	def_desert_grass_2	true	ALL
180	110	180	def_desert_grass_3	true	ALL
180	110	180	def_desert_grass_4	true	ALL
230	175	230	def_desert_shrubs_1	true	ALL
230	175	230	def_desert_shrubs_2	true	ALL
230	175	230	def_desert_shrubs_3	true	ALL
100	60	100	def_desert_tree_1	false	ALL
100	60	100	def_desert_tree_2	false	ALL
100	60	100	def_desert_tree_3	false	ALL
100	60	100	def_desert_tree_4	false	ALL
210	10	180	def_tree_lsnow_1	false	ALL
210	10	180	def_tree_lsnow_2	false	ALL
210	10	180	def_tree_lsnow_3	false	ALL
210	10	180	def_tree_msnow_1	false	ALL
225	95	230	def_tree_ssnow_1	false	ALL
225	95	230	def_tree_ssnow_2	false	ALL
225	95	230	def_tree_ssnow_3	false	ALL
155	0	130	def_tree_xlsnow_1	false	ALL
155	0	130	def_tree_xlsnow_2	false	ALL
155	0	130	def_tree_xlsnow_3	false	ALL
155	0	130	def_tree_xmsnow_1	false	ALL
100	80	40	grass_1	false	ALL
100	80	40	grass_2	false	ALL
100	80	40	grass_3	false	ALL
100	80	40	grass_4	false	ALL
25	5	125	grn_grass_1	false	ALL
25	5	125	grn_grass_2	false	ALL
25	5	125	grn_grass_3	false	ALL
25	5	125	grn_grass_4	false	ALL
40	10	200	grn_shrub_1	false	ALL
40	10	200	grn_shrub_2	false	ALL
40	10	200	grn_shrub_3	false	ALL
26	125	125	grn_tree_extra_large_1	false	ALL
26	125	125	grn_tree_extra_large_2	false	ALL
26	125	125	grn_tree_extra_large_3	false	ALL
37	158	158	grn_tree_large_1	false	ALL
37	158	158	grn_tree_large_2	false	ALL
37	158	158	grn_tree_large_3	false	ALL
37	158	158	grn_tree_large_4	false	ALL
37	158	158	grn_tree_large_5	false	ALL
48	195	195	grn_tree_med_1	false	ALL
48	195	195	grn_tree_med_2	false	ALL
48	195	195	grn_tree_med_3	false	ALL
48	195	195	grn_tree_med_4	false	ALL
69	245	245	grn_tree_small_1	false	ALL
69	245	245	grn_tree_small_2	false	ALL
69	245	245	grn_tree_small_3	false	ALL
50	175	190	jungle_tree_large_1	false	ALL
50	175	190	jungle_tree_large_2	false	ALL
50	175	190	jungle_tree_large_3	false	ALL
50	175	190	jungle_tree_medium_1	false	ALL
40	220	245	jungle_tree_small_1	false	ALL
40	220	245	jungle_tree_small_2	false	ALL
40	220	245	jungle_tree_small_3	false	ALL
40	220	245	jungle_tree_small_4	false	ALL
70	70	70	lava_grass_1	false	ALL
70	70	70	lava_grass_2	false	ALL
70	70	70	lava_grass_3	false	ALL
70	70	70	lava_grass_4	false	ALL
100	100	100	lava_shrubs_1	false	ALL
100	100	100	lava_shrubs_2	false	ALL
100	100	100	lava_shrubs_3	false	ALL
70	100	100	marsh_1	false	ALL
70	100	100	marsh_2	false	ALL
70	100	100	marsh_3	false	ALL
70	100	100	marsh_4	false	ALL
130	180	180	marsh_shrubs_1	false	ALL
130	180	180	marsh_shrubs_2	false	ALL
0	126	255	mtn_grass_1	false	ALL
0	126	255	mtn_grass_2	false	ALL
0	126	255	mtn_grass_3	false	ALL
0	126	255	mtn_grass_4	false	ALL
0	63	127	mtn_trees_large_1	false	ALL
0	63	127	mtn_trees_large_2	false	ALL
0	63	127	mtn_trees_med_1	false	ALL
0	63	127	mtn_trees_med_2	false	ALL
76	165	255	mtn_trees_small_1	false	ALL
76	165	255	mtn_trees_small_2	false	ALL
76	165	255	mtn_trees_small_3	false	ALL
224	121	199	nagash_grass_1	false	ALL
224	121	199	nagash_grass_2	false	ALL
224	121	199	nagash_grass_3	false	ALL
224	121	199	nagash_grass_4	false	ALL
182	66	153	nagash_shrubs_grass_1	false	ALL
