campaign_payload_ui_details_tables	0
component	icon
add_mercenary_to_faction_pool	ui/campaign ui/effect_bundles/spawning.png
add_province_development_point	
adopt	
ambition_change	
assign_character_to_post	
become_retainer	
building_restriction_change	
character_experience_change	ui/campaign ui/effect_bundles/experience.png
damage_buildings	ui/campaign ui/effect_bundles/construction.png
damage_buildings_home_region	ui/campaign ui/effect_bundles/construction.png
damage_character	
demolish_building_chain	ui/campaign ui/effect_bundles/settlement.png
diplomatic_attitude_change	ui/campaign ui/effect_bundles/diplomacy.png
divorce	
dummy_chivalry_confederation_cost	ui/campaign ui/effect_bundles/chivalry_negative.png
dummy_chivalry_confederation_cost_low	ui/campaign ui/effect_bundles/chivalry_negative.png
dummy_chivalry_decrease	ui/campaign ui/effect_bundles/chivalry_negative.png
dummy_chivalry_increase	ui/campaign ui/effect_bundles/chivalry_positive.png
dummy_confederate_artois	ui/campaign ui/effect_bundles/confederation.png
dummy_confederate_bastonne	ui/campaign ui/effect_bundles/confederation.png
dummy_confederate_bordeleaux	ui/campaign ui/effect_bundles/confederation.png
dummy_confederate_bretonnia	ui/campaign ui/effect_bundles/confederation.png
dummy_confederate_carcassonne	ui/campaign ui/effect_bundles/confederation.png
dummy_confederate_lyonesse	ui/campaign ui/effect_bundles/confederation.png
dummy_confederate_parravon	ui/campaign ui/effect_bundles/confederation.png
dummy_confederate_wh2_main_nor_aghol	ui/campaign ui/effect_bundles/confederation.png
dummy_confederate_wh2_main_nor_mung	ui/campaign ui/effect_bundles/confederation.png
dummy_confederate_wh2_main_nor_skeggi	ui/campaign ui/effect_bundles/confederation.png
dummy_confederate_wh_dlc08_nor_goromadny_tribe	ui/campaign ui/effect_bundles/confederation.png
dummy_confederate_wh_dlc08_nor_helspire_tribe	ui/campaign ui/effect_bundles/confederation.png
dummy_confederate_wh_dlc08_nor_naglfarlings	ui/campaign ui/effect_bundles/confederation.png
dummy_confederate_wh_dlc08_nor_norsca	ui/campaign ui/effect_bundles/confederation.png
dummy_confederate_wh_dlc08_nor_vanaheimlings	ui/campaign ui/effect_bundles/confederation.png
dummy_confederate_wh_dlc08_nor_wintertooth	ui/campaign ui/effect_bundles/confederation.png
dummy_confederate_wh_main_nor_aesling	ui/campaign ui/effect_bundles/confederation.png
