battle_set_piece_frontend_groups_tables	1
key	sort_order	campaign_map
wh2_dlc09_skv_tretch	32	1564135558
wh2_dlc09_tmb_arkhan	43	1564135558
wh2_dlc09_tmb_khalida	41	1564135558
wh2_dlc09_tmb_khatep	42	1564135558
wh2_dlc09_tmb_settra	40	1564135558
wh2_dlc10_def_hellebron	21	1564135558
wh2_dlc10_hef_alarielle	2	1564135558
wh2_dlc10_hef_alith_anar	3	1564135558
wh2_dlc11_cst_aranessa_saltspite	52	1564135558
wh2_dlc11_cst_cylostra	53	1564135558
wh2_dlc11_cst_noctilus	51	1564135558
wh2_dlc11_def_lokhir	22	1564135558
wh2_dlc11_luthor_harkon	50	1564135558
wh2_dlc12_lzd_tehenhauin	12	1564135558
wh2_dlc12_lzd_tiktaqto	13	1564135558
wh2_dlc12_skv_ikit_claw	33	1564135558
wh2_main_def_malekith	19	1564135558
wh2_main_def_morathi	20	1564135558
wh2_main_hef_teclis	1	1564135558
wh2_main_hef_tyrion	0	1564135558
wh2_main_lzd_kroq_gar	11	1564135558
wh2_main_lzd_lord_mazdamundi	10	1564135558
wh2_main_skv_lord_skrolk	31	1564135558
wh2_main_skv_queek_headtaker	30	1564135558
wh_dlc01_chs_archaon	100	1564135556
wh_dlc01_chs_kholek	102	1564135556
wh_dlc01_chs_sigvald	101	1564135556
wh_dlc03_bst_khazrak	110	1564135556
wh_dlc03_bst_malagor	111	1564135556
wh_dlc04_emp_volkmar	62	1564135556
wh_dlc04_vmp_helman	92	1564135556
wh_dlc04_vmp_vlad	93	1564135556
wh_dlc05_bst_morghur	112	1564135556
wh_dlc05_wef_durthu	121	1564135556
wh_dlc05_wef_orion	120	1564135556
wh_dlc06_dwf_belegar	72	1564135556
wh_dlc06_grn_skarsnik	82	1564135556
wh_dlc06_grn_wurrzag	83	1564135556
wh_dlc07_brt_alberic	132	1564135556
wh_dlc07_brt_fay_enchantress	131	1564135556
wh_dlc07_brt_king_louen_leoncoeur	130	1564135556
wh_dlc08_nor_throgg	134	1564135556
wh_dlc08_nor_wulfrik	133	1564135556
wh_main_dwf_thorgrim	70	1564135556
wh_main_dwf_ungrim	73	1564135556
wh_main_emp_balthasar	61	1564135556
wh_main_emp_karl	60	1564135556
wh_main_grn_azhag	81	1564135556
wh_main_grn_grimgor	80	1564135556
wh_main_vmp_heinrich	91	1564135556
wh_main_vmp_mannfred	90	1564135556
wh_pro01_dwf_grombrindal	71	1564135556
wh_pro02_vmp_isabella	94	1564135556
