audio_entity_looping_sounds_tables	3
event_start	event_stop	key	limitation_scale	use_obstruction	use_reverb	rtpc_1_name	rtpc_1_assignment	rtpc_2_name	rtpc_2_assignment	switch_1	doppler_rtpc_name
Battle_Individual_Artillery_Arkhan_Chariot_Idle_Start	Battle_Individual_Artillery_Arkhan_Chariot_Idle_Stop	wh2_dlc09_chariot_arkhan_idle	1	false	true	Battle_War_Machine_Speed	Entity_Speed_Total			Battle_Ground_Type_Limited	
Battle_Individual_Artillery_Arkhan_Chariot_Movement_Start	Battle_Individual_Artillery_Arkhan_Chariot_Movement_Stop	wh2_dlc09_chariot_arkhan_movement	1	false	true	Battle_War_Machine_Speed	Entity_Speed_Total			Battle_Ground_Type_Limited	
Battle_Individual_Artillery_Arkhan_Chariot_Movement_Rotation_Start	Battle_Individual_Artillery_Arkhan_Chariot_Movement_Rotation_Stop	wh2_dlc09_chariot_arkhan_movement_rotation	1	false	true	Battle_War_Machine_Speed	Entity_Speed_Total			Battle_Ground_Type_Limited	
Battle_Individual_Artillery_Settra_Chariot_Idle_Start	Battle_Individual_Artillery_Settra_Chariot_Idle_Stop	wh2_dlc09_chariot_settra_idle	1	false	true	Battle_War_Machine_Speed	Entity_Speed_Total			Battle_Ground_Type_Limited	
Battle_Individual_Artillery_Settra_Chariot_Movement_Start	Battle_Individual_Artillery_Settra_Chariot_Movement_Stop	wh2_dlc09_chariot_settra_movement	1	false	true	Battle_War_Machine_Speed	Entity_Speed_Total			Battle_Ground_Type_Limited	
Battle_Individual_Artillery_Settra_Chariot_Movement_Rotation_Start	Battle_Individual_Artillery_Settra_Chariot_Movement_Rotation_Stop	wh2_dlc09_chariot_settra_movement_rotation	1	false	true	Battle_War_Machine_Speed	Entity_Speed_Total			Battle_Ground_Type_Limited	
Battle_Individual_Foley_Tomb_Kings_Constructs_Shimmer_Start	Battle_Individual_Foley_Tomb_Kings_Constructs_Shimmer_Stop	wh2_dlc09_constructs_shimmer_idle	1	false	true						
Battle_Individual_Foley_Tomb_Kings_Constructs_Shimmer_Small_Start	Battle_Individual_Foley_Tomb_Kings_Constructs_Shimmer_Small_Stop	wh2_dlc09_constructs_shimmer_small_idle	0	false	true						
Battle_Individual_Artillery_Metal_Chariot_Movement_Start	Battle_Individual_Artillery_Metal_Chariot_Movement_Stop	wh2_dlc_09_chariot_tmb_movement	0.1	false	true	Battle_War_Machine_Speed	Entity_Speed_Total			Battle_Ground_Type_Limited	
Battle_Individual_Artillery_Metal_Chariot_Movement_Rotation_Start	Battle_Individual_Artillery_Metal_Chariot_Movement_Rotation_Stop	wh2_dlc_09_chariot_tmb_movement_rotation	0.1	false	true	Battle_War_Machine_Speed	Entity_Speed_Total			Battle_Ground_Type_Limited	
Battle_IND_Magic_Persistent_VFX_Cylostra_aura_Start	Battle_IND_Magic_Persistent_VFX_Cylostra_aura_Stop	wh2_dlc_11_cylostra_aura	1	false	false	Battle_War_Machine_Speed	Entity_Speed_Total				
Battle_IND_Magic_Persistent_VFX_Tyrion_Flaming_Sword_Start	Battle_IND_Magic_Persistent_VFX_Tyrion_Flaming_Sword_Stop	wh2_flaming_sword	1	false	true						
Battle_Individual_Artillery_Siege_Tower_Lizardmen_Idle_Start	Battle_Individual_Artillery_Siege_Tower_Lizardmen_Idle_Stop	wh2_siege_tower_lizardmen_idle	1	false	true	Battle_War_Machine_Speed	Entity_Speed_Total			Battle_Ground_Type	
Battle_Individual_Artillery_Siege_Tower_Lizardmen_Movement_Start	Battle_Individual_Artillery_Siege_Tower_Lizardmen_Movement_Stop	wh2_siege_tower_lizardmen_movement	1	false	true	Battle_War_Machine_Speed	Entity_Speed_Total			Battle_Ground_Type	
Battle_Individual_Foley_Slann_Platform_Start	Battle_Individual_Foley_Slann_Platform_Stop	wh2_slann_platform_sound	1	false	true	Battle_Slann_Platform_Speed	Entity_Speed_Total				
Battle_Individual_Artillery_Screaming_Skull_Catapult_Movement_Start	Battle_Individual_Artillery_Screaming_Skull_Catapult_Movement_Stop	wh2_war_machine_skull_catapult_movement_medium	1	false	true	Battle_War_Machine_Speed	Entity_Speed_Total			Battle_Ground_Type	
Battle_Individual_Artillery_Casket_Of_Souls_Idle_Start	Battle_Individual_Artillery_Casket_Of_Souls_Idle_Stop	wh2_war_machine_tmb_casket_of_souls_idle	1	false	true	Battle_War_Machine_Speed	Entity_Speed_Total			Battle_Ground_Type	
Battle_Individual_Artillery_Casket_Of_Souls_Movement_Start	Battle_Individual_Artillery_Casket_Of_Souls_Movement_Stop	wh2_war_machine_tmb_casket_of_souls_movement	1	false	true	Battle_War_Machine_Speed	Entity_Speed_Total			Battle_Ground_Type	
Battle_Individual_Artillery_Cauldron_of_Blood_Idle_Start	Battle_Individual_Artillery_Cauldron_of_Blood_Idle_Stop	wh_cauldron_of_blood_idle	1	false	true	Battle_War_Machine_Speed	Entity_Speed_Total			Battle_Ground_Type_Limited	
