ancillary_salvage_resources_tables	0
category	min_uniqueness_score	salvage_resources
armour	200	wh2_dlc10_dwf_scrap_legendary_magic_item
armour	35	wh2_dlc10_dwf_scrap_uncommon_magic_item
armour	5	wh2_dlc10_dwf_scrap_common_magic_item
armour	75	wh2_dlc10_dwf_scrap_rare_magic_item
enchanted_item	200	wh2_dlc10_dwf_scrap_legendary_magic_item
enchanted_item	35	wh2_dlc10_dwf_scrap_uncommon_magic_item
enchanted_item	5	wh2_dlc10_dwf_scrap_common_magic_item
enchanted_item	75	wh2_dlc10_dwf_scrap_rare_magic_item
talisman	200	wh2_dlc10_dwf_scrap_legendary_magic_item
talisman	35	wh2_dlc10_dwf_scrap_uncommon_magic_item
talisman	5	wh2_dlc10_dwf_scrap_common_magic_item
talisman	75	wh2_dlc10_dwf_scrap_rare_magic_item
weapon	200	wh2_dlc10_dwf_scrap_legendary_magic_item
weapon	35	wh2_dlc10_dwf_scrap_uncommon_magic_item
weapon	5	wh2_dlc10_dwf_scrap_common_magic_item
weapon	75	wh2_dlc10_dwf_scrap_rare_magic_item
