cdir_events_dilemma_choice_details_tables	0
choice_key	dilemma_key
FIRST	wh2_dlc08_confederate_wh2_main_nor_aghol
SECOND	wh2_dlc08_confederate_wh2_main_nor_aghol
THIRD	wh2_dlc08_confederate_wh2_main_nor_aghol
FIRST	wh2_dlc08_confederate_wh2_main_nor_mung
SECOND	wh2_dlc08_confederate_wh2_main_nor_mung
THIRD	wh2_dlc08_confederate_wh2_main_nor_mung
FIRST	wh2_dlc08_confederate_wh2_main_nor_skeggi
SECOND	wh2_dlc08_confederate_wh2_main_nor_skeggi
THIRD	wh2_dlc08_confederate_wh2_main_nor_skeggi
FIRST	wh2_dlc08_confederate_wh_dlc08_nor_goromadny_tribe
SECOND	wh2_dlc08_confederate_wh_dlc08_nor_goromadny_tribe
THIRD	wh2_dlc08_confederate_wh_dlc08_nor_goromadny_tribe
FIRST	wh2_dlc08_confederate_wh_dlc08_nor_helspire_tribe
SECOND	wh2_dlc08_confederate_wh_dlc08_nor_helspire_tribe
THIRD	wh2_dlc08_confederate_wh_dlc08_nor_helspire_tribe
FIRST	wh2_dlc08_confederate_wh_dlc08_nor_naglfarlings
SECOND	wh2_dlc08_confederate_wh_dlc08_nor_naglfarlings
THIRD	wh2_dlc08_confederate_wh_dlc08_nor_naglfarlings
FIRST	wh2_dlc08_confederate_wh_dlc08_nor_norsca
SECOND	wh2_dlc08_confederate_wh_dlc08_nor_norsca
FIRST	wh2_dlc08_confederate_wh_dlc08_nor_vanaheimlings
SECOND	wh2_dlc08_confederate_wh_dlc08_nor_vanaheimlings
THIRD	wh2_dlc08_confederate_wh_dlc08_nor_vanaheimlings
FIRST	wh2_dlc08_confederate_wh_dlc08_nor_wintertooth
SECOND	wh2_dlc08_confederate_wh_dlc08_nor_wintertooth
FIRST	wh2_dlc08_confederate_wh_main_nor_aesling
SECOND	wh2_dlc08_confederate_wh_main_nor_aesling
THIRD	wh2_dlc08_confederate_wh_main_nor_aesling
FIRST	wh2_dlc08_confederate_wh_main_nor_baersonling
SECOND	wh2_dlc08_confederate_wh_main_nor_baersonling
THIRD	wh2_dlc08_confederate_wh_main_nor_baersonling
FIRST	wh2_dlc08_confederate_wh_main_nor_bjornling
SECOND	wh2_dlc08_confederate_wh_main_nor_bjornling
THIRD	wh2_dlc08_confederate_wh_main_nor_bjornling
FIRST	wh2_dlc08_confederate_wh_main_nor_graeling
SECOND	wh2_dlc08_confederate_wh_main_nor_graeling
THIRD	wh2_dlc08_confederate_wh_main_nor_graeling
FIRST	wh2_dlc08_confederate_wh_main_nor_sarl
SECOND	wh2_dlc08_confederate_wh_main_nor_sarl
THIRD	wh2_dlc08_confederate_wh_main_nor_sarl
FIRST	wh2_dlc08_confederate_wh_main_nor_skaeling
SECOND	wh2_dlc08_confederate_wh_main_nor_skaeling
THIRD	wh2_dlc08_confederate_wh_main_nor_skaeling
FIRST	wh2_dlc08_confederate_wh_main_nor_varg
SECOND	wh2_dlc08_confederate_wh_main_nor_varg
