cdir_events_incident_option_junctions_tables	2
id	incident_key	option_key	value
1000764016	wh2_main_incident_all_public_order_down_greatly_recruitment_cost_down_greatly	GEN_CND_NOT_REGION	wh_dlc05_oak_of_ages
1001725850	wh2_main_incident_all_ranged_weapon_damage_up	GEN_TARGET_NONE	
1007267798	wh2_dlc11_incident_neo_encounter_at_sea_2_a_tmb	VAR_CHANCE	100
1007623480	wh2_dlc09_great_vortex_tmb_arkhan_the_tomb_blade_of_arkhan_stage_3a	VAR_CHANCE	100
1010811142	wh2_main_dilemma_treasure_hunt_skaven_ambush_4_a	CND_NOT_CULTURE	wh2_dlc09_tmb_tomb_kings
1011473471	wh2_main_incident_def_growth_down	CND_ROUNDS_UNTIL_NEXT	20
101156090	wh2_main_incident_skv_morale_up_against_dwf	CND_ROUNDS_UNTIL_NEXT	30
1013110530	wh_dlc08_incident_nor_useless_contraptions	CND_FIRST_ROUND	12
1013524421	wh2_main_incident_lzd_melee_infantry_melee_defense_up	GEN_TARGET_NONE	
1013904176	wh2_main_incident_lzd_morale_up_againt_chs_nors_bst_vmp	VAR_CHANCE	5
1014891070	wh2_dlc11_cst_incident_perfect_cover	GEN_CND_SUBCULTURE	wh2_dlc11_sc_cst_vampire_coast
1015908404	wh_dlc03_incident_bst_the_black_harvest	GEN_CND_ARMY_IN_REGION	
1016194627	wh2_main_incident_def_growth_down	GEN_CND_NOT_REGION	wh_dlc05_oak_of_ages
101903820	wh2_main_incident_intrigue_lzd_negative_1a	VAR_CHANCE	100
1022048596	wh_main_incident_all_the_glower_of_morrslieb	GEN_CND_NOT_SUBCULTURE	wh2_dlc11_sc_cst_vampire_coast
1022258797	wh2_dlc11_cst_incident_rotten_weather	GEN_CND_SUBCULTURE	wh2_dlc11_sc_cst_vampire_coast
1023879477	wh2_main_incident_lzd_morale_up_againt_chs_nors_bst_vmp	GEN_TARGET_NONE	
1024562943	wh2_main_incident_all_wom_up	CND_FIRST_ROUND	5
1025635288	wh2_dlc11_cst_incident_overflowing_with_power	CND_ROUNDS_UNTIL_NEXT	40
1027820978	wh2_dlc11_cst_incident_dissenting_voices	CND_MIN_REGIONS_OWNED	1
1029771230	wh2_main_incident_encounter_at_sea_1_c	VAR_CHANCE	100
1029841342	wh2_main_incident_lzd_recruitment_morale_up_against_def_skv	VAR_CHANCE	5
1030899395	wh2_main_incident_lzd_recruitment_cost_up_starting_exp_up	CND_FIRST_ROUND	5
1031995413	wh2_main_incident_skv_agent_engineer	CND_UNIQUE	
1032202770	wh2_main_incident_lzd_morale_up_public_order_up	GEN_TARGET_REGION	
1032219655	wh2_dlc09_tmb_incident_unearthed_knowledge	GEN_TARGET_NONE	
1034201737	wh2_dlc11_treasure_hunt_puzzle_success_puzzle_1_8	GEN_TARGET_PARENT	
1034992884	wh2_main_incident_hef_morale_up_melee_defense_up_against_def	CND_FIRST_ROUND	5
1035145611	wh2_main_incident_skv_siege_time_down	CND_FIRST_ROUND	5
1035370476	wh2_main_incident_all_construction_cost_up	GEN_TARGET_NONE	
1036902679	wh2_main_incident_def_cold_one_melee_attack_up	VAR_CHANCE	5
1036998359	wh2_dlc10_incident_def_death_night_no_slaves	GEN_TARGET_NONE	
1038853552	wh2_dlc09_tmb_incident_memories_of_the_past	CND_FIRST_ROUND	35
1040091847	wh2_dlc09_tmb_incident_paychest_mercenaries	CND_CULTURE	wh2_dlc09_tmb_tomb_kings
1041035013	wh2_main_incident_intrigue_skv_positive_2a	VAR_CHANCE	100
1041415359	wh2_dlc11_incident_neo_encounter_at_sea_3_c	VAR_FOLLOWUP_CHANCE	100
1041527076	wh2_main_incident_all_morale_down	CND_NOT_CULTURE	wh2_main_dlc09_sc_tmb_tomb_kings
1041558494	wh2_dlc11_cst_incident_stolen_schematics	CND_CULTURE	wh2_dlc11_cst_vampire_coast
1041598535	wh2_dlc11_incident_neo_encounter_at_sea_1_b_tmb	GEN_TARGET_NONE	
1042204171	wh2_main_incident_skv_morale_up_public_order_up	GEN_CND_NOT_REGION	wh_dlc05_oak_of_ages
1044047335	wh2_dlc11_incident_neo_encounter_at_sea_1_a_tmb	VAR_FOLLOWUP_CHANCE	100
1045100717	wh2_main_incident_all_replenish_rate_down_recruitment_cost_down	CND_FIRST_ROUND	5
1045294879	wh2_main_incident_skv_public_order_down	CND_FIRST_ROUND	5
1045944328	wh2_main_incident_all_campaign_movement_up	GEN_TARGET_NONE	
1050462407	wh2_dlc11_incident_neo_encounter_at_sea_2_b	GEN_TARGET_NONE	
1050600114	wh2_main_incident_def_army_morale_up_public_oder_increses	GEN_CND_NOT_REGION	wh_dlc05_oak_of_ages
1052293649	wh2_main_incident_lzd_morale_down_recruitment_cost_up	GEN_TARGET_MILITARY_FORCE	
1054843695	wh2_main_incident_hef_morale_up_public_order_up	GEN_CND_NOT_REGION	wh_dlc05_oak_of_ages
1058974463	wh2_main_incident_intrigue_hef_positive_2b	VAR_CHANCE	100
1061898425	wh2_main_incident_all_recruitment_cost_up_unit_exp_up	VAR_CHANCE	5
1062491498	wh2_main_incident_hef_agent_wizard	CND_FIRST_ROUND	12
1064317133	wh2_main_incident_lzd_damage_building	GEN_TARGET_REGION	
1064531389	wh2_main_encounter_at_sea_combat_5_nor	VAR_CHANCE	100
1065115686	wh2_dlc11_treasure_hunt_puzzle_success_puzzle_4_6	GEN_TARGET_PARENT	
1066905605	wh2_dlc11_treasure_hunt_puzzle_success_puzzle_3_1	GEN_TARGET_PARENT	
1067240353	wh2_dlc11_cst_harkon_mind_change_lucid	VAR_FOLLOWUP_CHANCE	100
1069688788	wh2_dlc11_treasure_hunt_puzzle_success_puzzle_2_7	GEN_TARGET_PARENT	
107426304	wh2_dlc11_treasure_hunt_puzzle_success_puzzle_4_4	GEN_TARGET_PARENT	
1075376151	wh2_main_incident_intrigue_any_positive_3a	GEN_TARGET_MODEL	
1076044162	wh2_main_incident_intrigue_lzd_positive_1a	GEN_TARGET_MODEL	
1076322095	wh2_main_incident_encounter_at_sea_2_c_tmb	VAR_CHANCE	100
1077022587	wh2_dlc09_tmb_incident_boiling_point	CND_CULTURE	wh2_dlc09_tmb_tomb_kings
1078610177	wh2_main_incident_def_growth_down	GEN_CND_OWNS	
107997965	wh2_main_incident_hef_trade_income_up	CND_ROUNDS_UNTIL_NEXT	30
1080040900	wh2_dlc11_treasure_hunt_puzzle_success_puzzle_3_1	VAR_CHANCE	100
108438989	wh2_dlc09_tmb_incident_paychest_mercenaries	GEN_CND_SUBCULTURE	wh2_dlc09_sc_tmb_tomb_kings
1085404922	wh2_dlc09_tmb_incident_liquid_sand	GEN_TARGET_REGION	
1086065211	wh2_main_incident_skv_melee_infantry_melee_attack_up_morale_up	GEN_TARGET_NONE	
1086406395	wh2_main_encounter_at_sea_campaign_4_nor	VAR_FOLLOWUP_CHANCE	100
108911210	wh2_dlc11_incident_neo_encounter_at_sea_4_a_nor	VAR_CHANCE	100
1090146025	wh2_main_incident_intrigue_hef_negative_1c	VAR_CHANCE	100
1091186265	wh2_main_incident_all_damage_building	CND_ROUNDS_UNTIL_NEXT	20
1095913539	wh2_dlc11_treasure_hunt_puzzle_success_puzzle_2_5	GEN_TARGET_PARENT	
1097133609	wh2_dlc11_cst_incident_unnatural_talent	CND_CULTURE	wh2_dlc11_cst_vampire_coast
1098183143	wh2_dlc09_tmb_incident_raining_magma	CND_ROUNDS_UNTIL_NEXT	40
1099066721	wh2_main_incident_all_construction_cost_up	VAR_CHANCE	5
1099428325	wh2_main_incident_intrigue_hef_negative_3a	VAR_CHANCE	100
1099681033	wh2_main_incident_hef_research_rate_up	CND_FIRST_ROUND	5
1099909723	wh2_main_incident_hef_public_order_down	VAR_CHANCE	5
1102023387	wh2_main_dilemma_treasure_hunt_graveyard_2_a	CND_NOT_CULTURE	wh2_dlc09_tmb_tomb_kings
1102371730	wh2_main_incident_encounter_at_sea_1_a	GEN_TARGET_NONE	
110266238	wh2_dlc09_tmb_incident_boiling_point	CND_FIRST_ROUND	20
1103023036	wh2_dlc11_incident_neo_encounter_at_sea_3_a_nor	VAR_CHANCE	100
1105310133	wh_dlc08_incident_nor_phar_away_gold	CND_FIRST_ROUND	20
1106471710	wh2_main_incident_encounter_at_sea_3_c	VAR_CHANCE	100
110682375	wh2_main_incident_all_growth_up	GEN_TARGET_NONE	
1110432777	wh2_main_incident_hef_replenish_rate_up	CND_ROUNDS_UNTIL_NEXT	20
1111616137	wh2_dlc11_cst_harkon_mind_change_prideful	GEN_TARGET_NONE	
1111726382	wh_dlc08_incident_nor_dark_winnowing	CND_ROUNDS_UNTIL_NEXT	45
1113281569	wh2_dlc10_incident_hef_alarielle_torment_increase	GEN_TARGET_NONE	
1113680132	wh2_main_incident_def_death_hag_witch_elves_recruitment_cost_down_exp_up	CND_ROUNDS_UNTIL_NEXT	20
1117208853	wh2_main_incident_def_agent_spy	CND_CULTURE	wh2_main_def_dark_elves
1119558894	wh2_main_incident_skv_agent_engineer	GEN_CND_HUMAN	
1119590335	wh2_dlc09_tmb_incident_undead_pirates	VAR_CHANCE	6
1120291045	wh_dlc05_incident_wef_vengeance_of_the_asrai	CND_CULTURE	wh_dlc05_wef_wood_elves
1122971039	wh2_main_incident_lzd_morale_down_recruitment_cost_up	GEN_CND_HUMAN	
1124190380	wh2_dlc10_monster_hunt_9_stage_2	VAR_CHANCE	100
1125210529	wh2_dlc09_incident_tmb_campaign_won	VAR_FOLLOWUP_CHANCE	100
1125672935	wh2_main_incident_def_army_morale_up_public_oder_increses	VAR_CHANCE	5
1126013386	wh2_dlc09_tmb_incident_memories_of_the_past	VAR_CHANCE	4
1127017861	wh2_dlc11_incident_neo_encounter_at_sea_1_b_nor	GEN_TARGET_NONE	
1128027021	wh2_dlc11_treasure_hunt_puzzle_success_puzzle_3_10	VAR_CHANCE	100
