region_to_province_junctions_tables	1
province	region	is_capital
wh2_main_aghol_wastelands	wh2_main_aghol_wastelands_fortress_of_the_damned	true
wh2_main_aghol_wastelands	wh2_main_aghol_wastelands_palace_of_princes	false
wh2_main_aghol_wastelands	wh2_main_aghol_wastelands_the_palace_of_ruin	false
wh2_main_albion	wh2_main_albion_albion	true
wh2_main_ash_river	wh2_main_ash_river_numas	true
wh2_main_ash_river	wh2_main_ash_river_quatar	false
wh2_main_ash_river	wh2_main_ash_river_springs_of_eternal_life	false
wh2_main_atalan_mountains	wh2_main_atalan_mountains_eye_of_the_panther	false
wh2_main_atalan_mountains	wh2_main_atalan_mountains_martek	false
wh2_main_atalan_mountains	wh2_main_atalan_mountains_vulture_mountain	true
wh2_main_avelorn	wh2_main_avelorn_evershale	false
wh2_main_avelorn	wh2_main_avelorn_gaean_vale	true
wh2_main_avelorn	wh2_main_avelorn_tor_saroir	false
wh2_main_blackspine_mountains	wh2_main_blackspine_mountains_plain_of_dogs	false
wh2_main_blackspine_mountains	wh2_main_blackspine_mountains_plain_of_spiders	false
wh2_main_blackspine_mountains	wh2_main_blackspine_mountains_red_desert	true
wh2_main_caledor	wh2_main_caledor_tor_sethai	false
wh2_main_caledor	wh2_main_caledor_vauls_anvil	true
wh2_main_charnel_valley	wh2_main_charnel_valley_granite_massif	false
wh2_main_charnel_valley	wh2_main_charnel_valley_karag_orrud	true
wh2_main_chrace	wh2_main_chrace_elisia	false
wh2_main_chrace	wh2_main_chrace_tor_achare	true
wh2_main_coast_of_araby	wh2_main_coast_of_araby_al_haikk	true
wh2_main_coast_of_araby	wh2_main_coast_of_araby_copher	false
wh2_main_coast_of_araby	wh2_main_coast_of_araby_fyrus	false
wh2_main_cothique	wh2_main_cothique_mistnar	false
wh2_main_cothique	wh2_main_cothique_tor_koruali	true
wh2_main_crater_of_the_walking_dead	wh2_main_crater_of_the_walking_dead_doom_glade	false
wh2_main_crater_of_the_walking_dead	wh2_main_crater_of_the_walking_dead_rasetra	true
wh2_main_deadwood	wh2_main_deadwood_dargoth	false
wh2_main_deadwood	wh2_main_deadwood_nagrar	false
wh2_main_deadwood	wh2_main_deadwood_shagrath	false
wh2_main_deadwood	wh2_main_deadwood_the_frozen_city	true
wh2_main_devils_backbone	wh2_main_devils_backbone_lahmia	true
wh2_main_devils_backbone	wh2_main_devils_backbone_lybaras	false
wh2_main_devils_backbone	wh2_main_devils_backbone_mahrak	false
wh2_main_doom_glades	wh2_main_doom_glades_hag_hall	true
wh2_main_doom_glades	wh2_main_doom_glades_ice_rock_gorge	false
wh2_main_doom_glades	wh2_main_doom_glades_temple_of_addaioth	false
wh2_main_doom_glades	wh2_main_doom_glades_vauls_anvil	false
wh2_main_eagle_gate	wh2_main_eagle_gate	true
wh2_main_eataine	wh2_main_eataine_angerrial	false
wh2_main_eataine	wh2_main_eataine_lothern	true
wh2_main_eataine	wh2_main_eataine_shrine_of_asuryan	false
wh2_main_eataine	wh2_main_eataine_tower_of_lysean	false
wh2_main_ellyrion	wh2_main_ellyrion_tor_elyr	true
wh2_main_ellyrion	wh2_main_ellyrion_whitefire_tor	false
wh2_main_great_desert_of_araby	wh2_main_great_desert_of_araby_bel_aliad	false
wh2_main_great_desert_of_araby	wh2_main_great_desert_of_araby_black_tower_of_arkhan	true
wh2_main_great_desert_of_araby	wh2_main_great_desert_of_araby_el-kalabad	false
wh2_main_great_desert_of_araby	wh2_main_great_desert_of_araby_pools_of_despair	false
wh2_main_great_mortis_delta	wh2_main_great_mortis_delta_black_pyramid_of_nagash	true
wh2_main_griffon_gate	wh2_main_griffon_gate	true
wh2_main_headhunters_jungle	wh2_main_headhunters_jungle_chupayotl	false
wh2_main_headhunters_jungle	wh2_main_headhunters_jungle_mangrove_coast	false
wh2_main_headhunters_jungle	wh2_main_headhunters_jungle_marks_of_the_old_ones	false
wh2_main_headhunters_jungle	wh2_main_headhunters_jungle_oyxl	true
wh2_main_heart_of_the_jungle	wh2_main_heart_of_the_jungle_oreons_camp	true
wh2_main_hell_pit	wh2_main_hell_pit_hell_pit	true
wh2_main_huahuan_desert	wh2_main_huahuan_desert_chamber_of_visions	false
wh2_main_huahuan_desert	wh2_main_huahuan_desert_sentinels_of_xeti	true
