unit_abilities_to_additional_ui_effects_juncs_tables	0
ability	effect
wh2_dlc09_army_abilities_barrage_of_the_legion	wh2_main_all_good_against_armour
wh2_dlc09_army_abilities_barrage_of_the_legion	wh2_main_all_magical_damage_moderate
wh2_dlc09_army_abilities_barrage_of_the_legion	wh2_main_spell_medium_wind
wh2_dlc09_army_abilities_barrage_of_the_legion	wh_main_all_can_disrupt_formation
wh2_dlc09_army_abilities_barrage_of_the_legion	wh_main_all_strong_against_units
wh2_dlc09_army_abilities_realm_of_souls_ushabti	wh2_dlc09_all_summon_ushabti
wh2_dlc09_army_abilities_realm_of_souls_ushabti	wh2_dlc09_all_unlocks_at_realm_of_souls
wh2_dlc09_army_abilities_realm_of_souls_ushabti	wh_dlc04_all_summon_melee_expert
wh2_dlc09_army_abilities_realm_of_souls_ushabti	wh_main_all_direct_damage_unbinding
wh2_dlc09_army_abilities_sand_veil	wh2_main_all_flanking
wh2_dlc09_army_abilities_sand_veil	wh2_main_all_hiding
wh2_dlc09_army_abilities_tomb_swarm	wh_main_all_direct_damage
wh2_dlc09_army_abilities_tomb_swarm	wh_main_all_direct_damage_resist_high
wh2_dlc09_army_abilities_tomb_swarm	wh_main_all_strong_against_multiple
wh2_dlc09_army_abilities_tomb_swarm	wh_main_all_weak_against_single
wh2_dlc09_character_abilities_restore	wh_main_all_replenish
wh2_dlc09_character_abilities_stay_here_ill_get_help	wh2_dlc09_miscast_full_hide
wh2_dlc09_character_abilities_tomb_king_rally_upgraded	wh_main_all_replenish
wh2_dlc09_character_passive_befalling_curse	wh_dlc06_automatic
wh2_dlc09_character_passive_befalling_curse	wh_main_all_direct_damage
wh2_dlc09_character_passive_befalling_curse	wh_main_all_strong_against_multiple
wh2_dlc09_character_passive_befalling_curse	wh_main_all_weak_against_single
wh2_dlc09_faction_passive_realm_of_souls_tier_1	wh_main_all_replenish
wh2_dlc09_faction_passive_realm_of_souls_tier_1	wh_main_all_resurrect_hp
wh2_dlc09_faction_passive_realm_of_souls_tier_2	wh_main_all_replenish
wh2_dlc09_faction_passive_realm_of_souls_tier_2	wh_main_all_resurrect_hp
wh2_dlc09_faction_passive_realm_of_souls_tier_3	wh_main_all_replenish
wh2_dlc09_faction_passive_realm_of_souls_tier_3	wh_main_all_resurrect_hp
wh2_dlc09_item_abilities_hieratic_jar	wh_main_all_replenish
wh2_dlc09_item_abilities_neferras_scrolls_of_mighty_incantations	wh2_dlc09_all_increases_with_friends_in_range
wh2_dlc09_item_abilities_neferras_scrolls_of_mighty_incantations	wh_main_all_improved_recharge_rate
wh2_dlc09_item_abilities_neferras_scrolls_of_mighty_incantations	wh_main_all_increased_max_power
wh2_dlc09_item_abilities_staff_of_nagash	wh_main_all_improved_recharge_rate
wh2_dlc09_lord_abilities_sand_storm	wh2_main_all_good_against_armour
wh2_dlc09_lord_abilities_sand_storm	wh2_main_all_magical_damage_moderate
wh2_dlc09_lord_abilities_sand_storm	wh2_main_spell_huge_vortex
wh2_dlc09_lord_abilities_venom_wave	wh2_main_all_magical_damage_moderate
wh2_dlc09_lord_abilities_venom_wave	wh2_main_spell_friendly_fire_explosion
wh2_dlc09_lord_abilities_venom_wave	wh_main_all_can_disrupt_formation
wh2_dlc09_lord_abilities_venom_wave	wh_main_all_strong_against_unit
wh2_dlc09_lord_abilities_venom_wave	wh_main_vortex_large_static_aoe
wh2_dlc09_lord_abilities_wrath_of_ptra	wh2_main_all_magical_and_flaming_medium
wh2_dlc09_lord_abilities_wrath_of_ptra	wh2_main_all_weak_against_armour
wh2_dlc09_lord_abilities_wrath_of_ptra	wh2_main_spell_friendly_fire_explosion
wh2_dlc09_lord_abilities_wrath_of_ptra	wh_main_all_can_disrupt_formation
wh2_dlc09_lord_abilities_wrath_of_ptra	wh_main_vortex_large_static_aoe
wh2_dlc09_lord_passive_the_curse	wh_dlc06_automatic
wh2_dlc09_lord_passive_the_curse	wh_main_all_direct_damage
wh2_dlc09_lord_passive_the_curse	wh_main_all_strong_against_multiple
wh2_dlc09_lord_passive_the_curse	wh_main_all_weak_against_single
wh2_dlc09_lore_passive_the_restless_dead	wh_main_all_replenish_high
wh2_dlc09_lore_passive_the_restless_dead	wh_main_all_resurrect
wh2_dlc09_lore_passive_the_restless_dead	wh_main_all_resurrect_hp
wh2_dlc09_spell_death_spirit_leech_bound	wh_main_all_direct_damage
wh2_dlc09_spell_death_spirit_leech_bound	wh_main_all_direct_damage_resist
wh2_dlc09_spell_death_spirit_leech_bound	wh_main_all_strong_against_single
wh2_dlc09_spell_death_spirit_leech_bound	wh_main_all_weak_against_multiple
wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades_upgraded	wh2_dlc09_spell_upgraded_bonus_vs_large
wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection_upgraded	wh_main_spell_upgraded_duration
wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting_upgraded	wh2_main_spell_upgraded_reloading
wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm_upgraded	wh2_main_all_magical_damage_major
wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm_upgraded	wh2_main_spell_medium_vortex
wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm_upgraded	wh_main_all_strong_against_units
wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm_upgraded	wh_main_all_weak_against_single
wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm_upgraded	wh_main_spell_upgraded_area
wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm	wh2_main_all_magical_damage_major
wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm	wh2_main_spell_medium_vortex
wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm	wh_main_all_strong_against_units
wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm	wh_main_all_weak_against_single
wh2_dlc09_spell_nehekhara_usekhps_incantation_of_desiccation_upgraded	wh_main_spell_upgraded_melee_attack
wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance_upgraded	wh_dlc03_spell_upgraded_speed_reduction
wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance_upgraded	wh_main_all_direct_damage
wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance_upgraded	wh_main_all_direct_damage_resist_high
wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance_upgraded	wh_main_all_weak_against_single
wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance	wh_main_all_direct_damage
wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance	wh_main_all_direct_damage_resist_high
wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance	wh_main_all_weak_against_single
wh2_dlc09_unit_abilities_death_from_above	wh_main_all_strong_against_multiple
wh2_dlc09_unit_abilities_death_from_above	wh_main_all_weak_against_single
wh2_dlc09_unit_abilities_death_from_above	wh_main_bombardment_large_strike_aoe
wh2_dlc09_unit_passive_covenant_of_power	wh_main_all_increased_max_power_high
wh2_dlc09_unit_passive_spirit_conduit	wh_main_all_improved_recharge_rate
wh2_dlc09_unit_passive_spirit_conduit	wh_main_all_increased_max_power
wh2_dlc09_unit_passive_unbinding_skeleton_warriors	wh_main_all_direct_damage_unbinding
wh2_dlc09_unit_passive_unbinding_ushabti	wh_main_all_direct_damage_unbinding
wh2_dlc09_weapon_abilities_tomb_blade_of_arkhan	wh_dlc09_all_summon_skeleton_warriors
wh2_dlc09_weapon_abilities_tomb_blade_of_arkhan	wh_main_all_defend_vs_charge
wh2_dlc09_weapon_abilities_tomb_blade_of_arkhan	wh_main_all_direct_damage_unbinding
wh2_dlc09_weapon_abilities_venom_staff	wh_dlc06_projectile_shrapnels
wh2_dlc09_weapon_abilities_venom_staff	wh_main_all_strong_against_units
wh2_dlc09_weapon_abilities_venom_staff	wh_main_all_weak_against_single
wh2_dlc09_weapon_abilities_venom_staff	wh_main_projectile_effective_long_range
wh2_dlc10_item_abilities_horn_of_the_ancestors	wh2_dlc10_all_summon_ancestor_ghost
wh2_dlc10_item_abilities_horn_of_the_ancestors	wh_main_all_direct_damage_unbinding
wh2_dlc10_item_abilities_sceptre_of_stone	wh2_main_all_magical_damage_major
