campaign_character_art_sets_tables	6
agent_type	art_set_id	culture	subculture	faction	is_custom	is_male	agent_subtype	campaign_map_scale
general	wh2_dlc09_art_set_skv_tretch_craventail	wh2_main_skv_skaven			false	true	wh2_dlc09_skv_tretch_craventail	1
general	wh2_dlc09_art_set_tmb_arkhan	wh2_dlc09_tmb_tomb_kings			false	true	wh2_dlc09_tmb_arkhan	1
general	wh2_dlc09_art_set_tmb_khalida	wh2_dlc09_tmb_tomb_kings			false	true	wh2_dlc09_tmb_khalida	1
general	wh2_dlc09_art_set_tmb_khatep	wh2_dlc09_tmb_tomb_kings			false	true	wh2_dlc09_tmb_khatep	1
wizard	wh2_dlc09_art_set_tmb_liche_priest_01	wh2_dlc09_tmb_tomb_kings			false	true		1
wizard	wh2_dlc09_art_set_tmb_liche_priest_02	wh2_dlc09_tmb_tomb_kings			false	true		1
wizard	wh2_dlc09_art_set_tmb_liche_priest_03	wh2_dlc09_tmb_tomb_kings			false	true		1
wizard	wh2_dlc09_art_set_tmb_liche_priest_04	wh2_dlc09_tmb_tomb_kings			false	true		1
wizard	wh2_dlc09_art_set_tmb_liche_priest_05	wh2_dlc09_tmb_tomb_kings			false	true		1
engineer	wh2_dlc09_art_set_tmb_necrotect_01	wh2_dlc09_tmb_tomb_kings			false	true		1
engineer	wh2_dlc09_art_set_tmb_necrotect_02	wh2_dlc09_tmb_tomb_kings			false	true		1
engineer	wh2_dlc09_art_set_tmb_necrotect_03	wh2_dlc09_tmb_tomb_kings			false	true		1
engineer	wh2_dlc09_art_set_tmb_necrotect_04	wh2_dlc09_tmb_tomb_kings			false	true		1
general	wh2_dlc09_art_set_tmb_settra	wh2_dlc09_tmb_tomb_kings			false	true	wh2_dlc09_tmb_settra	1
general	wh2_dlc09_art_set_tmb_tomb_king_01	wh2_dlc09_tmb_tomb_kings			false	true		1
general	wh2_dlc09_art_set_tmb_tomb_king_02	wh2_dlc09_tmb_tomb_kings			false	true		1
general	wh2_dlc09_art_set_tmb_tomb_king_03	wh2_dlc09_tmb_tomb_kings			false	true		1
general	wh2_dlc09_art_set_tmb_tomb_king_04	wh2_dlc09_tmb_tomb_kings			false	true		1
general	wh2_dlc09_art_set_tmb_tomb_king_05	wh2_dlc09_tmb_tomb_kings			false	true		1
champion	wh2_dlc09_art_set_tmb_tomb_prince_01	wh2_dlc09_tmb_tomb_kings			false	true	wh2_dlc09_tmb_tomb_prince	1
champion	wh2_dlc09_art_set_tmb_tomb_prince_02	wh2_dlc09_tmb_tomb_kings			false	true	wh2_dlc09_tmb_tomb_prince	1
champion	wh2_dlc09_art_set_tmb_tomb_prince_03	wh2_dlc09_tmb_tomb_kings			false	true	wh2_dlc09_tmb_tomb_prince	1
champion	wh2_dlc09_art_set_tmb_tomb_prince_04	wh2_dlc09_tmb_tomb_kings			false	true	wh2_dlc09_tmb_tomb_prince	1
champion	wh2_dlc09_art_set_tmb_tomb_prince_05	wh2_dlc09_tmb_tomb_kings			false	true	wh2_dlc09_tmb_tomb_prince	1
general	wh2_dlc10_art_set_carnosuar_01	wh2_main_lzd_lizardmen			false	true	wh2_dlc10_lzd_mon_carnosaur_boss	0.7
general	wh2_dlc10_art_set_def_crone_hellebron	wh2_main_def_dark_elves			false	true	wh2_dlc10_def_crone_hellebron	1
