advice_threads_tables	1
thread	game_expansion_key
dlc03.camp.advice.bst.beast_paths.001	beastmen_owners
dlc03.camp.advice.bst.beastmen.001	beastmen_owners
dlc03.camp.advice.bst.bestial_rage.001	beastmen_owners
dlc03.camp.advice.bst.bestial_rage.002	beastmen_owners
dlc03.camp.advice.bst.brayherds.001	beastmen_owners
dlc03.camp.advice.bst.encampment.001	beastmen_owners
dlc03.camp.advice.bst.hordes.001	beastmen_owners
dlc03.camp.prelude.bst.intro.001	beastmen_owners
dlc03.camp.prelude.bst.intro.002	beastmen_owners
dlc03.camp.prelude.bst.intro.003	beastmen_owners
dlc03.camp.prelude.bst.intro.004	beastmen_owners
dlc03.camp.prelude.bst.intro.005	beastmen_owners
dlc03.camp.prelude.bst.intro.006	beastmen_owners
dlc03.camp.prelude.bst.intro.007	beastmen_owners
dlc03.camp.prelude.bst.intro.008	beastmen_owners
dlc03.camp.prelude.bst.intro.009	beastmen_owners
dlc03.camp.prelude.bst.intro.010	beastmen_owners
dlc03.camp.prelude.bst.intro.011	beastmen_owners
dlc03.mini.prelude.bst.intro.001	beastmen_owners
dlc03.mini.prelude.bst.intro.002	beastmen_owners
dlc03.mini.prelude.bst.intro.003	beastmen_owners
dlc03.mini.prelude.bst.intro.004	beastmen_owners
dlc03.mini.prelude.bst.intro.005	beastmen_owners
dlc04.camp.Helman.intro.001	lord_and_units_1_owners
dlc04.camp.Helman.intro.002	lord_and_units_1_owners
dlc04.camp.Helman.intro.004	lord_and_units_1_owners
dlc04.camp.Helman.intro.005	lord_and_units_1_owners
dlc04.camp.Vlad.intro.001	lord_and_units_1_owners
dlc04.camp.Vlad.intro.002	lord_and_units_1_owners
dlc04.camp.Vlad.intro.003	lord_and_units_1_owners
dlc04.camp.Vlad.intro.004	lord_and_units_1_owners
dlc04.camp.Volk.intro.001	lord_and_units_1_owners
dlc04.camp.Volk.intro.002	lord_and_units_1_owners
dlc04.camp.Volk.intro.003	lord_and_units_1_owners
dlc04.camp.Volk.intro.004	lord_and_units_1_owners
dlc05.battle.advice.final.wef.01	wood_elves_owners
dlc05.battle.advice.final.wef.02	wood_elves_owners
dlc05.battle.advice.final.wef.03	wood_elves_owners
dlc05.camp.Durthu.intro.001	wood_elves_owners
dlc05.camp.Durthu.intro.002	wood_elves_owners
dlc05.camp.Durthu.intro.003	wood_elves_owners
dlc05.camp.Durthu.intro.004	wood_elves_owners
dlc05.camp.Durthu.intro.005	wood_elves_owners
dlc05.camp.Durthu.intro.006	wood_elves_owners
dlc05.camp.Orion.intro.001	wood_elves_owners
dlc05.camp.Orion.intro.002	wood_elves_owners
dlc05.camp.Orion.intro.003	wood_elves_owners
