campaign_group_pooled_resources_tables	1
campaign_group	resource	initial_amount
wh2_dlc09_feature_tomb_kings	tmb_canopic_jars	0
wh2_dlc11_infamy_factions	cst_infamy	0
wh2_dlc12_lzd_cult_of_sotek	lzd_sacrificial_offerings	0
wh2_dlc12_skv_clan_skyre	skv_nuke	1
wh2_dlc12_skv_clan_skyre	skv_reactor_core	5
wh2_main_feature_skaven	skaven_food	52
wh2_main_ritual_def_playable	wh2_main_ritual_currency	0
wh2_main_ritual_hef_playable	wh2_main_ritual_currency	0
wh2_main_ritual_lzd_playable	wh2_main_ritual_currency	0
wh2_main_ritual_skv_playable	wh2_main_ritual_currency	0
wh_feature_dwarfs	dwf_oathgold	0
wh_feature_vampire_counts	vmp_blood_kiss	0
