culture_settlement_occupation_options_tables	8
option	acting_army_faction_effect_bundle	acting_army_faction_effect_bundle_turns	target_settlement_faction_effect_bundle	target_settlement_faction_effect_bundle_turns	group	acting_army_effect_bundle	acting_army_effect_bundle_turns	id	tooltip	icon	base_loot	building_loot_mod
occupation_decision_colonise		0		0	wh2_dlc09_rogue_eyes_of_the_jungle_occupation_decision_colonise		0	1007846341	Colonise||Settle your troops.	colonise	0	1
occupation_decision_raze_without_occupy		0		0	wh2_main_sc_rogue_pirates_of_the_southern_ocean_occupation_decision_raze_without_occupy		0	1011188887	Raze||All buildings are destroyed and the settlement is torched.	raze	100	0.2
occupation_decision_colonise		0		0	wh2_main_sc_def_dark_elves_occupation_decision_colonise		0	1018	Colonise||Settle your troops.	colonise	0	1
occupation_decision_do_nothing		0		0	wh2_main_sc_def_dark_elves_occupation_decision_do_nothing		0	1023	Do Nothing||Leave the settlement as it stands.	desolation	0	1
occupation_decision_loot		0		0	wh2_main_sc_def_dark_elves_occupation_decision_loot		0	1024	Loot & Occupy||You gain wealth from looting, but buildings in the settlement are damaged. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is greatly reduced, and your diplomatic relations with the previous owner also suffer greatly.	loot	0	1
occupation_decision_occupy		0		0	wh2_main_sc_def_dark_elves_occupation_decision_occupy		0	1027	Occupy||{{tr:occupation_decision_occupy}}	occupy	0	1
occupation_decision_raze_without_occupy		0		0	wh2_main_sc_def_dark_elves_occupation_decision_raze_without_occupy		0	1032	Raze||All buildings are destroyed and the settlement is torched.	wh2_main_def_dark_elves_raze	100	0.2
occupation_decision_resettle		0		0	wh2_main_sc_def_dark_elves_occupation_decision_resettle		0	1034	Resettle||With no regions currently under your control, you have the option to settle your army here.	colonise	0	1
occupation_decision_sack		0		0	wh2_main_sc_def_dark_elves_occupation_decision_sack		0	1036	Sack||You do not capture the settlement but instead steal wealth and damage buildings. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is reduced, and the previous owners will like you a lot less.	sack	0	1
occupation_decision_do_nothing		0		0	wh2_dlc09_rogue_dwellers_of_zardok_occupation_decision_do_nothing		0	1039534208	Do Nothing||Leave the settlement as it stands.	desolation	0	1
occupation_decision_colonise		0		0	wh2_main_sc_hef_high_elves_occupation_decision_colonise		0	1043	Colonise||Settle your troops.	colonise	0	1
occupation_decision_occupy		0		0	wh_occupation_decision_norsca_occupy_outpost		0	1043553186	Establish Outpost||You occupy this settlement and establish a Norscan Outpost there.	outpost	0	1
occupation_decision_raze_without_occupy		0		0	wh2_main_sc_rogue_beastcatchas_occupation_decision_raze_without_occupy		0	1044364106	Raze||All buildings are destroyed and the settlement is torched.	raze	100	0.2
occupation_decision_do_nothing		0		0	wh2_main_sc_rogue_teef_snatchaz_occupation_decision_do_nothing		0	1046022784	Do Nothing||Leave the settlement as it stands.	desolation	0	1
occupation_decision_do_nothing		0		0	wh2_main_sc_hef_high_elves_occupation_decision_do_nothing		0	1051	Do Nothing||Leave the settlement as it stands.	desolation	0	1
occupation_decision_loot		0		0	wh2_main_sc_hef_high_elves_occupation_decision_loot		0	1058	Loot & Occupy||You gain wealth from looting, but buildings in the settlement are damaged. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is greatly reduced, and your diplomatic relations with the previous owner also suffer greatly.	loot	0	1
occupation_decision_occupy		0		0	wh2_main_sc_hef_high_elves_occupation_decision_occupy		0	1063	Occupy||{{tr:occupation_decision_occupy}}	occupy	0	1
occupation_decision_colonise		0		0	wh2_dlc09_sc_tmb_tomb_kings_occupation_decision_colonise		0	1067077346	Colonise||Settle your troops.	colonise	0	1
occupation_decision_raze_without_occupy		0		0	wh2_main_sc_rogue_pirates_of_trantio_occupation_decision_raze_without_occupy		0	1069680572	Raze||All buildings are destroyed and the settlement is torched.	raze	100	0.2
occupation_decision_raze_without_occupy		0		0	wh2_main_sc_hef_high_elves_occupation_decision_raze_without_occupy		0	1070	Raze||All buildings are destroyed and the settlement is torched.	wh2_main_hef_high_elves_raze	100	0.2
occupation_decision_resettle		0		0	wh2_main_sc_hef_high_elves_occupation_decision_resettle		0	1071	Resettle||With no regions currently under your control, you have the option to settle your army here.	colonise	0	1
occupation_decision_sack		0		0	wh2_main_sc_rogue_mangy_houndz_occupation_decision_sack		0	1071724693	Sack||You do not capture the settlement but instead steal wealth and damage buildings. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is reduced, and the previous owners will like you a lot less.	sack	0	1
occupation_decision_do_nothing		0		0	wh2_main_sc_rogue_pirates_of_the_southern_ocean_occupation_decision_do_nothing		0	1074998157	Do Nothing||Leave the settlement as it stands.	desolation	0	1
occupation_decision_treasure_hunt		0		0	wh2_main_sc_rogue_doomseekers_occupation_decision_treasure_hunt		0	1077702156	Search Ruins||You will be presented with a puzzle to solve, rewarding you if successfully deciphered.	search_ruins	0	1
occupation_decision_sack		0		0	wh2_main_sc_hef_high_elves_occupation_decision_sack		0	1078	Sack||You do not capture the settlement but instead steal wealth and damage buildings. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is reduced, and the previous owners will like you a lot less.	sack	0	1
occupation_decision_colonise		0		0	wh2_main_sc_lzd_lizardmen_occupation_decision_colonise		0	1083	Colonise||Settle your troops.	colonise	0	1
occupation_decision_colonise		0		0	wh2_main_sc_rogue_pirates_of_the_southern_ocean_occupation_decision_colonise		0	1088457096	Colonise||Settle your troops	colonise	0	1
occupation_decision_do_nothing		0		0	wh2_main_sc_lzd_lizardmen_occupation_decision_do_nothing		0	1093	Do Nothing||Leave the settlement as it stands.	desolation	0	1
occupation_decision_treasure_hunt		0		0	wh2_main_sc_rogue_vauls_expedition_occupation_decision_treasure_hunt		0	1093752699	Search Ruins||You will be presented with a puzzle to solve, rewarding you if successfully deciphered.	search_ruins	0	1
occupation_decision_loot		0		0	wh2_main_sc_lzd_lizardmen_occupation_decision_loot		0	1096	Loot & Occupy||You gain wealth from looting, but buildings in the settlement are damaged. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is greatly reduced, and your diplomatic relations with the previous owner also suffer greatly.	loot	0	1
occupation_decision_sack		0		0	wh2_main_sc_rogue_pirates_of_the_southern_ocean_occupation_decision_sack		0	1098319305	Sack||You do not capture the settlement but instead steal wealth and damage buildings. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is reduced, and the previous owners will like you a lot less.	sack	0	1
occupation_decision_resettle		0		0	wh2_main_sc_rogue_morrsliebs_howlers_occupation_decision_resettle		0	1098670633	Resettle||With no regions currently under your control, you have the option to settle your army here.	colonise	0	1
occupation_decision_occupy		0		0	wh2_main_sc_lzd_lizardmen_occupation_decision_occupy		0	1103	Occupy||{{tr:occupation_decision_occupy}}	occupy	0	1
occupation_decision_raze_without_occupy		0		0	wh2_main_sc_lzd_lizardmen_occupation_decision_raze_without_occupy		0	1110	Raze||All buildings are destroyed and the settlement is torched.	wh2_main_lzd_lizardmen_raze	100	0.2
occupation_decision_resettle		0		0	wh2_main_sc_lzd_lizardmen_occupation_decision_resettle		0	1115	Resettle||With no regions currently under your control, you have the option to settle your army here.	colonise	0	1
occupation_decision_treasure_hunt		0		0	wh2_main_sc_rogue_troll_skullz_occupation_decision_treasure_hunt		0	1117484992	Search Ruins||You will be presented with a puzzle to solve, rewarding you if successfully deciphered.	search_ruins	0	1
