ritual_payload_spawn_mercenaries_tables	0
id	payload	spawnable_unit
1021316592	wh2_dlc12_tehenhauin_sacrifice_tier2_ror_colossadon_hunters	wh2_dlc12_lzd_cav_ripperdactyl_riders_ror_0
1049908466	wh2_dlc12_tehenhauin_sacrifice_tier2_ror_pok_hopak_cohort	wh2_dlc12_lzd_cav_cold_one_spearriders_ror_0
1064272982	wh2_dlc11_ritual_cst_queens_cannon	wh2_dlc11_cst_art_queen_bess
11757298	wh2_dlc12_ikit_workshop_warpfire_ror_unit_0	wh2_dlc12_skv_inf_warpfire_thrower_ror_tech_lab_0
1330820311	wh2_dlc09_ritual_crafting_tmb_nehekhara_horsemen	wh2_dlc09_tmb_cav_nehekhara_horsemen_ror
1632071288	wh2_dlc12_ikit_workshop_jezail_ror_unit_0	wh2_dlc12_skv_art_warplock_jezzails_ror_tech_lab_0
168108617	wh2_dlc12_tehenhauin_sacrifice_tier1_ror_cohort_of_sotek	wh2_dlc12_lzd_inf_skink_red_crested_ror_0
1693890582	wh2_dlc09_ritual_crafting_tmb_carrion	wh2_dlc09_tmb_mon_carrion_ror
1829740730	wh2_dlc12_tehenhauin_sacrifice_tier3_ror_the_umbral_tide	wh2_dlc12_lzd_mon_salamander_pack_ror_0
1997349340	wh2_dlc12_ikit_workshop_doomwheel_ror_unit_0	wh2_dlc12_skv_veh_doomwheel_ror_tech_lab_0
249940168	wh2_dlc12_tehenhauin_sacrifice_tier1_ror_legion_of_chaqua	wh2_dlc12_lzd_inf_saurus_warriors_ror_0
374876847	wh2_dlc12_tehenhauin_sacrifice_tier4_ror_star_chamber_guardians	wh2_dlc12_lzd_inf_temple_guards_ror_0
40493896	wh2_dlc09_ritual_crafting_tmb_necropolis_knights	wh2_dlc09_tmb_cav_necropolis_knights_ror
59318881	wh2_dlc09_ritual_crafting_tmb_nehekhara_warriors	wh2_dlc09_tmb_inf_nehekhara_warriors_ror
62444620	wh2_dlc09_ritual_tmb_tahoth	wh2_dlc09_tmb_art_casket_of_souls_0
656690244	wh2_dlc12_ikit_workshop_gatling_ror_unit_0	wh2_dlc12_skv_inf_ratling_gun_ror_tech_lab_0
785533711	wh2_dlc12_tehenhauin_sacrifice_tier4_ror_the_thunderous_one	wh2_dlc12_lzd_mon_ancient_stegadon_ror_0
844460243	wh2_dlc12_tehenhauin_sacrifice_tier3_ror_pahuax_sentinels	wh2_dlc12_lzd_cav_terradon_riders_ror_0
902545239	wh2_dlc12_ikit_workshop_doomflayer_ror_unit_0	wh2_dlc12_skv_veh_doom_flayer_ror_tech_lab_0
