ritual_payload_effect_bundles_tables	1
effect_bundle	payload	duration
wh2_dlc09_ritual_crafting_tmb_army_capacity	wh2_dlc09_ritual_crafting_tmb_army_capacity	0
wh2_dlc09_ritual_skv_thirteen_rictus	wh2_dlc09_ritual_skv_thirteen_rictus	13
wh2_dlc09_ritual_tmb_geheb	wh2_dlc09_ritual_tmb_geheb	10
wh2_dlc09_ritual_tmb_khsar	wh2_dlc09_ritual_tmb_khsar	5
wh2_dlc09_ritual_tmb_tahoth	wh2_dlc09_ritual_tmb_tahoth	5
wh2_dlc10_ritual_def_drakira	wh2_dlc10_ritual_def_drakira	10
wh2_dlc10_ritual_hef_lileath	wh2_dlc10_ritual_hef_lileath	5
wh2_dlc11_ritual_cst_eternal_service	wh2_dlc11_ritual_cst_eternal_service	5
wh2_dlc11_ritual_cst_queens_cannon	wh2_dlc11_ritual_cst_queens_cannon	10
wh2_dlc11_ritual_cst_sea_mist	wh2_dlc11_ritual_cst_sea_mist	5
wh2_dlc11_ritual_def_anath_raema	wh2_dlc11_ritual_def_anath_raema	10
wh2_dlc11_vmp_ritual_bloodline_awaken_blood_dragon_bundle_01	wh2_dlc11_vmp_ritual_bloodline_awaken_blood_dragon_01	0
wh2_dlc11_vmp_ritual_bloodline_awaken_blood_dragon_bundle_02	wh2_dlc11_vmp_ritual_bloodline_awaken_blood_dragon_02	0
wh2_dlc11_vmp_ritual_bloodline_awaken_blood_dragon_bundle_03	wh2_dlc11_vmp_ritual_bloodline_awaken_blood_dragon_03	0
wh2_dlc11_vmp_ritual_bloodline_awaken_lahmian_bundle_01	wh2_dlc11_vmp_ritual_bloodline_awaken_lahmian_01	0
wh2_dlc11_vmp_ritual_bloodline_awaken_lahmian_bundle_02	wh2_dlc11_vmp_ritual_bloodline_awaken_lahmian_02	0
wh2_dlc11_vmp_ritual_bloodline_awaken_lahmian_bundle_03	wh2_dlc11_vmp_ritual_bloodline_awaken_lahmian_03	0
wh2_dlc11_vmp_ritual_bloodline_awaken_necrarch_bundle_01	wh2_dlc11_vmp_ritual_bloodline_awaken_necrarch_01	0
wh2_dlc11_vmp_ritual_bloodline_awaken_necrarch_bundle_02	wh2_dlc11_vmp_ritual_bloodline_awaken_necrarch_02	0
