campaign_group_member_criteria_factions_tables	0
faction	member
wh2_main_def_cult_of_excess	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess
wh2_main_def_cult_of_excess	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_Negative
wh2_main_def_cult_of_excess	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionBeastmen
wh2_main_def_cult_of_excess	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionBeastmen_&_Negative
wh2_main_def_cult_of_excess	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionBeastmen_&_Positive
wh2_main_def_cult_of_excess	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionBretonnia
wh2_main_def_cult_of_excess	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionBretonnia_&_Negative
wh2_main_def_cult_of_excess	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionBretonnia_&_Positive
wh2_main_def_cult_of_excess	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionChaos
wh2_main_def_cult_of_excess	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionChaos_&_Negative
wh2_main_def_cult_of_excess	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionChaos_&_Positive
wh2_main_def_cult_of_excess	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionDarkElves
wh2_main_def_cult_of_excess	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionDarkElves_&_Negative
wh2_main_def_cult_of_excess	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionDarkElves_&_Positive
wh2_main_def_cult_of_excess	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionDwarf
wh2_main_def_cult_of_excess	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionDwarf_&_Negative
wh2_main_def_cult_of_excess	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionDwarf_&_Positive
wh2_main_def_cult_of_excess	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionEmpire
wh2_main_def_cult_of_excess	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionEmpire_&_Negative
wh2_main_def_cult_of_excess	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionEmpire_&_Positive
wh2_main_def_cult_of_excess	diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionGreenskin
