warscape_animated_lod_tables	1
key	filename	range	animated
-1059578823	RigidModels\campaign\trade_models\camel_trader01_anim.rigid_model_v2	0	campaign_trader_villager
-1631058337	RigidModels\Naval\Variant\oar_R_raise_anim.rigid_model_v2	0	oar_R_anim_raise
-1683851084	RigidModels\Naval\Variant\oar_R_lower_anim.rigid_model_v2	0	oar_R_anim_lower
-1855534954	RigidModels\Naval\Variant\oar_L_lower_anim.rigid_model_v2	0	oar_L_anim_lower
-1910630381	RigidModels\CampaignTradeRoutes\trade_camel_lead.rigid_model_animation	0	trade_camel_lead
103113809	warmachines\chariot\hef_tiranoc_chariot\hef_tiranoc_chariot01_destruct.rigid_model_v2	0	hef_tiranoc_chariot_destruct
1036032304	warmachines\engines\cst_carrionade\cst_carrionade_01_destruct.wsmodel	0	cst_carrionade_destruct
1120436859	warmachines/engines/cst_mortar/cst_mortar_destruct_01.wsmodel	0	cst_mortar_destruct
1173720424	warmachines\chariot\lzd_slann_platform\lzd_mazdamundi_01_destruct.wsmodel	0	lzd_mazdamundi_palanquin_destruct
1192635548	RigidModels/3DIndicators/target_marker.rigid_model_animation	0	target_marker
1207788347	warmachines\engines\cst_carrionade\cst_carrionade_01.wsmodel	0	cst_carrionade
1208454631	RigidModels/CampaignPieces/campaign_ship_model_2.animatable_rigid_model	0	campaign_ship2
1214560264	RigidModels\campaign\trade_models\sea_trade_anim.rigid_model_v2	0	campaign_trader_trade_ship
1219078168	RigidModels\campaign\trade_models\camel_trader01_anim.rigid_model_v2	0	campaign_trader_trade_cart
1229678891	RigidModels\Naval\Variant\oar_L_loop_anim.rigid_model_v2	0	oar_L_anim_loop
1230050569	RigidModels\Naval\Variant\oar_L_raise_anim.rigid_model_v2	0	oar_L_anim_raise
1251984794	RigidModels\CampaignTradeRoutes\trade_camel.rigid_model_animation	0	trade_camel
1307294587	warmachines\chariot\tmb_chariot_of_the_gods\tmb_chariot_of_the_gods_01.rigid_model_v2	0	tmb_tomb_chariot_settra
131258551	warmachines\chariot\tmb_basic_chariot\tmb_basic_chariot_01_destruct.rigid_model_v2	0	tmb_tomb_chariot_destruct
