main_units_tables	36
additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	unit	upkeep_cost	weight	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	audio_voiceover_culture	ui_unit_group_land	ui_unit_group_naval	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	unit_scaling	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element
	-1	lord	1	false	wh2_dlc09_skv_cha_tretch_craventail	1	0	850	wh_main_shp_transport	1	1	1	0	900			wh2_dlc09_skv_cha_tretch_craventail	225	medium		false	false	0	2079610498	true		wh2_main_vo_culture_Skaven	wh2_dlc09_lord_infantry_spear	wh2_dlc09_lord_infantry_spear	0	true	skv_clan_rats		true	false		850	0	false	wh2_main_vo_culture_Skaven	true	wh2_dlc09_vo_actor_Skaven_Tretch_Craventail	0	true	false	0	false	false	
	-1	chariot	2	false	wh2_dlc09_tmb_art_casket_of_souls_0	1	0	1300	wh_main_shp_transport	1	1	1	0	0			wh2_dlc09_tmb_art_casket_of_souls_0	0	heavy		false	false	0	1387946144	true		wh2_dlc09_vo_culture_Tomb_Kings	wh2_dlc09_tmb_casket_of_souls	wh2_dlc09_tmb_casket_of_souls	4	true	default		true	true	composite_scene\porthole\tmb_casket_of_souls_porthole_01.csc	140	1260	true	vo_culture_None	false	wh2_dlc09_vo_actor_Tomb_Kings_Liche_Priest	0	true	false	6	false	false	
	0	warmachine	1	false	wh2_dlc09_tmb_art_screaming_skull_catapult_0	44	0	700	wh_main_shp_transport	1	1	44	0	0			wh2_dlc09_tmb_art_screaming_skull_catapult_0	0	very_heavy		false	false	0	948578458	true		wh2_dlc09_vo_culture_Tomb_Kings	catapult	catapult	3	false	tmb_skeleton_warriors		false	true		80	720	true	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	false	wh_main_vo_actor_default	0	true	false	6	false	false	
	0	melee_cavalry	3	false	wh2_dlc09_tmb_cav_hexwraiths	60	0	1475	wh_main_shp_transport	1	1	60	0	0			wh2_dlc09_tmb_cav_hexwraiths	0	heavy		false	false	0	1802062021	true		wh2_dlc09_vo_culture_Tomb_Kings_Hexwraith	vmp_cavalry_scythe	vmp_cavalry_scythe	4	false	vamp_hex_wraith		false	true		1400	0	false	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	6	false	false	
	0	monstrous_cavalry	3	false	wh2_dlc09_tmb_cav_necropolis_knights_0	24	0	1300	wh_main_shp_transport	1	1	24	0	0			wh2_dlc09_tmb_cav_necropolis_knights_0	0	medium		false	false	0	1335977863	true		wh2_dlc09_vo_culture_Tomb_Kings	wh2_dlc09_tmb_necroserpent_spear	wh2_dlc09_tmb_necroserpent_spear	4	false	tmb_necro_knights		false	true		1300	0	false	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	false	wh_main_vo_actor_default	0	true	false	6	false	false	
	0	monstrous_cavalry	3	false	wh2_dlc09_tmb_cav_necropolis_knights_1	24	0	1400	wh_main_shp_transport	1	1	24	0	0			wh2_dlc09_tmb_cav_necropolis_knights_1	0	medium		false	false	0	820981901	true		wh2_dlc09_vo_culture_Tomb_Kings	wh2_dlc09_tmb_necroserpent_halberd	wh2_dlc09_tmb_necroserpent_halberd	5	false	tmb_necro_knights		false	true		1400	0	false	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	false	wh_main_vo_actor_default	0	true	false	6	false	false	
	1	monstrous_cavalry	3	false	wh2_dlc09_tmb_cav_necropolis_knights_ror	24	1	1500	wh_main_shp_transport	1	1	24	0	0			wh2_dlc09_tmb_cav_necropolis_knights_ror	0	medium		false	false	0	1013496807	true		wh2_dlc09_vo_culture_Tomb_Kings	wh2_dlc09_tmb_necroserpent_spear	wh2_dlc09_tmb_necroserpent_spear	5	false	tmb_necro_knights		false	true		1500	0	false	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	true	wh_main_vo_actor_default	0	true	false	1	false	false	
	0	melee_cavalry	1	false	wh2_dlc09_tmb_cav_nehekhara_horsemen_0	60	0	650	wh_main_shp_transport	1	1	60	0	0			wh2_dlc09_tmb_cav_nehekhara_horsemen_0	0	heavy		false	false	0	787952245	true		wh2_dlc09_vo_culture_Tomb_Kings	cavalry_skeleton	cavalry_skeleton	3	false	emp_reiksguard		false	true		650	0	false	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	6	false	false	
	1	melee_cavalry	1	false	wh2_dlc09_tmb_cav_nehekhara_horsemen_ror	60	1	900	wh_main_shp_transport	1	1	60	0	0			wh2_dlc09_tmb_cav_nehekhara_horsemen_ror	0	heavy		false	false	0	960966772	true		wh2_dlc09_vo_culture_Tomb_Kings	cavalry_skeleton	cavalry_skeleton	5	false	emp_reiksguard		false	true		1000	0	false	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	true	wh_main_vo_actor_default	0	false	false	1	false	false	
	0	melee_cavalry	1	false	wh2_dlc09_tmb_cav_skeleton_horsemen_0	60	0	400	wh_main_shp_transport	1	1	60	0	0			wh2_dlc09_tmb_cav_skeleton_horsemen_0	0	medium		false	false	0	1000222117	true		wh2_dlc09_vo_culture_Tomb_Kings	cavalry_spear_skeleton	cavalry_spear_skeleton	2	false	emp_reiksguard		false	true		400	0	false	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	6	false	false	
	0	missile_cavalry	1	false	wh2_dlc09_tmb_cav_skeleton_horsemen_archers_0	60	0	500	wh_main_shp_transport	1	1	60	0	0			wh2_dlc09_tmb_cav_skeleton_horsemen_archers_0	0	medium		false	false	0	374470454	true		wh2_dlc09_vo_culture_Tomb_Kings	missile_cavalry_bow_skeleton	missile_cavalry_bow_skeleton	2	false	emp_reiksguard		false	true		100	400	false	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	false	wh_main_vo_actor_default	0	true	false	5	false	false	
	-1	lord	1	false	wh2_dlc09_tmb_cha_arkhan_0	1	0	1100	wh_main_shp_transport	1	1	1	0	0			wh2_dlc09_tmb_cha_arkhan_0	0	medium		false	false	0	1202105519	false		wh2_dlc09_vo_culture_Tomb_Kings	lord_wizard_death	lord_wizard_death	0	true	tmb_general		true	false		1100	0	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Arkhan	0	true	false	0	false	false	
	-1	lord	1	false	wh2_dlc09_tmb_cha_arkhan_1	1	0	1200	wh_main_shp_transport	1	1	1	0	0			wh2_dlc09_tmb_cha_arkhan_1	0	medium		false	false	0	700391768	false		wh2_dlc09_vo_culture_Tomb_Kings	lord_wizard_death	lord_wizard_death	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_skeletal_steed	true	false		1000	0	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Arkhan	0	true	false	0	false	false	
	-1	lord	1	false	wh2_dlc09_tmb_cha_arkhan_2	6	0	1400	wh_main_shp_transport	1	1	1	0	0			wh2_dlc09_tmb_cha_arkhan_2	0	heavy		false	false	0	2075660816	false		wh2_dlc09_vo_culture_Tomb_Kings	lord_wizard_death	lord_wizard_death	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_arkhan_chariot	true	false		1400	0	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Arkhan	0	true	false	0	false	false	
	-1	lord	1	false	wh2_dlc09_tmb_cha_khalida_0	1	0	1200	wh_main_shp_transport	1	1	1	0	0			wh2_dlc09_tmb_cha_khalida_0	0	medium		false	false	0	1864659176	false		wh2_dlc09_vo_culture_Tomb_Kings	lord_infantry_sword	lord_infantry_sword	0	true	tmb_general		true	false		1200	0	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_High_Queen_Khalida	0	true	false	0	false	false	
	-1	lord	1	false	wh2_dlc09_tmb_cha_khalida_1	1	0	1550	wh_main_shp_transport	1	1	1	0	0			wh2_dlc09_tmb_cha_khalida_1	0	medium		false	false	0	1100194768	false		wh2_dlc09_vo_culture_Tomb_Kings	lord_cavalry	lord_cavalry	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_necroserpent	true	false		1550	0	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_High_Queen_Khalida	0	true	false	0	false	false	
	-1	lord	1	false	wh2_dlc09_tmb_cha_khalida_2	2	0	1400	wh_main_shp_transport	1	1	1	0	0			wh2_dlc09_tmb_cha_khalida_2	0	heavy		false	false	0	2145574207	false		wh2_dlc09_vo_culture_Tomb_Kings	lord_chariot	lord_chariot	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_general_chariot	true	false		1400	0	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_High_Queen_Khalida	0	true	false	0	false	false	
	-1	lord	1	false	wh2_dlc09_tmb_cha_khatep_0	1	0	650	wh_main_shp_transport	1	1	1	0	0			wh2_dlc09_tmb_cha_khatep_0	0	medium		false	false	0	1322697392	false		wh2_dlc09_vo_culture_Tomb_Kings	lord_wizard_nehekhara	lord_wizard_nehekhara	0	true	tmb_general		true	false		450	0	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Khatep	0	true	false	0	false	false	
	-1	lord	1	false	wh2_dlc09_tmb_cha_khatep_1	1	0	750	wh_main_shp_transport	1	1	1	0	0			wh2_dlc09_tmb_cha_khatep_1	0	medium		false	false	0	715548438	false		wh2_dlc09_vo_culture_Tomb_Kings	lord_wizard_nehekhara	lord_wizard_nehekhara	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_skeletal_steed	true	false		550	0	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Khatep	0	true	false	0	false	false	
	-1	lord	1	false	wh2_dlc09_tmb_cha_khatep_2	2	0	1050	wh_main_shp_transport	1	1	1	0	0			wh2_dlc09_tmb_cha_khatep_2	0	heavy		false	false	0	1694307052	false		wh2_dlc09_vo_culture_Tomb_Kings	lord_wizard_nehekhara	lord_wizard_nehekhara	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_general_chariot	true	false		850	0	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Khatep	0	true	false	0	false	false	
	-1	lord	1	false	wh2_dlc09_tmb_cha_khatep_3	1	0	1350	wh_main_shp_transport	1	1	1	0	0			wh2_dlc09_tmb_cha_khatep_3	0	heavy		false	false	0	387179668	false		wh2_dlc09_vo_culture_Tomb_Kings	lord_wizard_nehekhara	lord_wizard_nehekhara	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_khatep_casket_of_souls	true	false		180	1170	true	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Khatep	0	true	false	0	false	false	
	-1	lord	1	false	wh2_dlc09_tmb_cha_liche_priest_death_0	1	0	300	wh_main_shp_transport	1	1	1	0	0			wh2_dlc09_tmb_cha_liche_priest_death_0	0	medium		false	false	0	205408182	false		wh2_dlc09_vo_culture_Tomb_Kings	wizard_death	wizard_death	0	true	tmb_general		true	false		300	0	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Liche_Priest	0	true	false	2	false	false	
	-1	hero	1	false	wh2_dlc09_tmb_cha_liche_priest_death_1	1	0	400	wh_main_shp_transport	1	1	1	0	0			wh2_dlc09_tmb_cha_liche_priest_death_1	0	heavy		false	false	0	1125638005	false		wh2_dlc09_vo_culture_Tomb_Kings	wizard_death_cavalry	wizard_death_cavalry	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_skeletal_steed	true	false		400	0	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Liche_Priest	0	true	false	2	false	false	
	-1	lord	1	false	wh2_dlc09_tmb_cha_liche_priest_light_0	1	0	300	wh_main_shp_transport	1	1	1	0	0			wh2_dlc09_tmb_cha_liche_priest_light_0	0	medium		false	false	0	528199630	false		wh2_dlc09_vo_culture_Tomb_Kings	wizard_light	wizard_light	0	true	tmb_general		true	false		300	0	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Liche_Priest	0	true	false	2	false	false	
	-1	hero	1	false	wh2_dlc09_tmb_cha_liche_priest_light_1	1	0	400	wh_main_shp_transport	1	1	1	0	0			wh2_dlc09_tmb_cha_liche_priest_light_1	0	heavy		false	false	0	2004217582	false		wh2_dlc09_vo_culture_Tomb_Kings	wizard_light_cavalry	wizard_light_cavalry	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_skeletal_steed	true	false		400	0	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Liche_Priest	0	true	false	2	false	false	
	-1	lord	1	false	wh2_dlc09_tmb_cha_liche_priest_nehekhara_0	1	0	300	wh_main_shp_transport	1	1	1	0	0			wh2_dlc09_tmb_cha_liche_priest_nehekhara_0	0	medium		false	false	0	1094399405	false		wh2_dlc09_vo_culture_Tomb_Kings	wizard_nehekhara	wizard_nehekhara	0	true	tmb_general		true	false		300	0	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Liche_Priest	0	true	false	2	false	false	
	-1	hero	1	false	wh2_dlc09_tmb_cha_liche_priest_nehekhara_1	1	0	400	wh_main_shp_transport	1	1	1	0	0			wh2_dlc09_tmb_cha_liche_priest_nehekhara_1	0	heavy		false	false	0	1183035257	false		wh2_dlc09_vo_culture_Tomb_Kings	wizard_nehekhara_cavalry	wizard_nehekhara_cavalry	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_skeletal_steed	true	false		400	0	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Liche_Priest	0	true	false	2	false	false	
	-1	lord	1	false	wh2_dlc09_tmb_cha_liche_priest_shadow_0	1	0	300	wh_main_shp_transport	1	1	1	0	0			wh2_dlc09_tmb_cha_liche_priest_shadow_0	0	medium		false	false	0	1003185422	false		wh2_dlc09_vo_culture_Tomb_Kings	wizard_shadows	wizard_shadows	0	true	tmb_general		true	false		300	0	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Liche_Priest	0	true	false	2	false	false	
	-1	hero	1	false	wh2_dlc09_tmb_cha_liche_priest_shadow_1	1	0	400	wh_main_shp_transport	1	1	1	0	0			wh2_dlc09_tmb_cha_liche_priest_shadow_1	0	heavy		false	false	0	1389037952	false		wh2_dlc09_vo_culture_Tomb_Kings	wizard_shadows_cavalry	wizard_shadows_cavalry	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_skeletal_steed	true	false		400	0	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Liche_Priest	0	true	false	2	false	false	
	-1	lord	1	false	wh2_dlc09_tmb_cha_necrotect_0	1	0	500	wh_main_shp_transport	1	1	1	0	0			wh2_dlc09_tmb_cha_necrotect_0	0	medium		false	false	0	1865750942	false		wh2_dlc09_vo_culture_Tomb_Kings	wh2_dlc09_tmb_necrotect	wh2_dlc09_tmb_necrotect	0	true	tmb_general		true	false		500	0	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Necrotect	0	true	false	2	false	false	
	-1	hero	1	false	wh2_dlc09_tmb_cha_necrotect_1	2	0	900	wh_main_shp_transport	1	1	1	0	0			wh2_dlc09_tmb_cha_necrotect_1	0	heavy		false	false	0	942930854	false		wh2_dlc09_vo_culture_Tomb_Kings	wh2_dlc09_tmb_necrotect	wh2_dlc09_tmb_necrotect	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_basic_chariot	true	false		900	0	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Necrotect	0	true	false	2	false	false	
	-1	lord	1	false	wh2_dlc09_tmb_cha_settra_0	1	0	1550	wh_main_shp_transport	1	1	1	0	0			wh2_dlc09_tmb_cha_settra_0	0	medium		false	false	0	1521492725	false		wh2_dlc09_vo_culture_Tomb_Kings	lord_halberd	lord_halberd	0	true	tmb_general		true	false		1550	0	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Settra_the_Imperishable	0	true	false	0	false	false	
	-1	lord	1	false	wh2_dlc09_tmb_cha_settra_1	1	0	1650	wh_main_shp_transport	1	1	1	0	0			wh2_dlc09_tmb_cha_settra_1	0	medium		false	false	0	297888458	false		wh2_dlc09_vo_culture_Tomb_Kings	lord_cavalry	lord_cavalry	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_skeletal_steed	true	false		1650	0	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Settra_the_Imperishable	0	true	false	0	false	false	
	-1	lord	1	false	wh2_dlc09_tmb_cha_settra_2	2	0	2200	wh_main_shp_transport	1	1	1	0	0			wh2_dlc09_tmb_cha_settra_2	0	heavy		false	false	0	1162437915	false		wh2_dlc09_vo_culture_Tomb_Kings	lord_chariot	lord_chariot	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_settra_chariot	true	false		2200	0	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Settra_the_Imperishable	0	true	false	0	false	false	
	-1	lord	1	false	wh2_dlc09_tmb_cha_settra_3	1	0	2100	wh_main_shp_transport	1	1	1	0	0			wh2_dlc09_tmb_cha_settra_3	0	very_heavy		false	false	0	1607638015	false		wh2_dlc09_vo_culture_Tomb_Kings	wh2_dlc09_lord_tmb_warsphinx	wh2_dlc09_lord_tmb_warsphinx	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_khemrian_warsphinx	true	false		2100	0	true	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Settra_the_Imperishable	0	true	true	0	false	false	
	-1	lord	1	false	wh2_dlc09_tmb_cha_tomb_king_0	1	0	1200	wh_main_shp_transport	1	1	1	0	0			wh2_dlc09_tmb_cha_tomb_king_0	0	medium		false	false	0	406836789	false		wh2_dlc09_vo_culture_Tomb_Kings	lord_infantry_sword	lord_infantry_sword	0	true	tmb_general		true	false		1000	0	false	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_King	0	true	false	0	false	false	
