intrigue_actions_incidents_junctions_tables	0
culture	incident	is_positive	key	weight
wh2_main_hef_high_elves	wh2_main_incident_intrigue_any_positive_1b	true	1006764938	5
wh_dlc03_bst_beastmen	wh2_main_incident_intrigue_any_positive_3b	true	1036183721	3
wh2_main_hef_high_elves	wh2_main_incident_intrigue_any_negative_3a	false	1051843800	3
wh2_main_def_dark_elves	wh2_main_incident_intrigue_any_negative_1b	false	1066461839	5
wh2_main_skv_skaven	wh2_main_incident_intrigue_any_negative_2b	false	1067065896	6
wh_main_dwf_dwarfs	wh2_main_incident_intrigue_any_negative_3b	false	1069630594	3
wh_dlc05_wef_wood_elves	wh2_main_incident_intrigue_any_positive_3b	true	1088067834	3
wh2_dlc09_tmb_tomb_kings	wh2_main_incident_intrigue_any_positive_2a	true	1099410657	6
wh2_main_skv_skaven	wh2_main_incident_intrigue_any_negative_1c	false	1107111615	5
wh_main_grn_greenskins	wh2_main_incident_intrigue_any_negative_2b	false	1134415562	6
wh2_main_hef_high_elves	wh2_main_incident_intrigue_hef_positive_2a	true	1137404312	17
wh2_main_lzd_lizardmen	wh2_main_incident_intrigue_lzd_negative_2a	false	1147726981	15
wh2_main_skv_skaven	wh2_main_incident_intrigue_any_negative_1a	false	1150283810	5
wh_main_chs_chaos	wh2_main_incident_intrigue_any_negative_3a	false	1150834235	3
wh_main_brt_bretonnia	wh2_main_incident_intrigue_any_positive_1b	true	1151650571	5
wh_main_emp_empire	wh2_main_incident_intrigue_any_positive_2a	true	1157321093	6
wh_dlc03_bst_beastmen	wh2_main_incident_intrigue_any_negative_2b	false	115824747	6
wh2_main_skv_skaven	wh2_main_incident_intrigue_skv_negative_1a	false	1166350003	10
wh_main_brt_bretonnia	wh2_main_incident_intrigue_any_negative_1d	false	1167749910	5
wh_main_brt_bretonnia	wh2_main_incident_intrigue_any_positive_3a	true	1180741714	3
wh2_main_lzd_lizardmen	wh2_main_incident_intrigue_any_negative_2a	false	1198797451	6
wh_main_dwf_dwarfs	wh2_main_incident_intrigue_any_negative_1c	false	1200793020	5
wh_main_emp_empire	wh2_main_incident_intrigue_any_positive_3b	true	1203590653	3
wh_main_grn_greenskins	wh2_main_incident_intrigue_any_negative_1d	false	1220857162	5
wh2_main_lzd_lizardmen	wh2_main_incident_intrigue_any_negative_2b	false	1228442101	6
wh_main_vmp_vampire_counts	wh2_main_incident_intrigue_any_negative_1b	false	122877013	5
wh_dlc03_bst_beastmen	wh2_main_incident_intrigue_any_negative_1c	false	1238309471	5
wh_main_grn_greenskins	wh2_main_incident_intrigue_any_positive_2b	true	124387872	6
