campaign_rogue_army_spawn_regions_tables	0
group	key	region
wh2_main_vor_rogue_spawn_lustria_east	1011082150	wh2_main_vor_northern_great_jungle_itza
wh2_main_grand_rogue_spawn_naggaroth_central	1012028074	wh2_main_blackspine_mountains_red_desert
wh2_main_vor_rogue_spawn_ulthuan_east	1012891728	wh2_main_vor_albion_troll_fjord
wh2_main_vor_rogue_spawn_naggaroth_south	1013039151	wh2_main_vor_the_broken_land_slavers_point
wh2_main_grand_rogue_spawn_oldworld_central	1013941168	wh_main_ostermark_bechafen
wh2_main_grand_rogue_spawn_oldworld_central	1015431989	wh_main_ostermark_essen
wh2_main_vor_rogue_spawn_lustria_west	1027778498	wh2_main_vor_the_dragon_isles_the_blood_hall
wh2_main_grand_rogue_spawn_norsca	1028389663	wh_main_helspire_mountains_serpent_jetty
wh2_main_grand_rogue_spawn_naggaroth_central	1028632709	wh2_main_doom_glades_temple_of_addaioth
wh2_main_grand_rogue_spawn_oldworld_central	1036960614	wh_main_the_wasteland_gorssel
wh2_main_vor_rogue_spawn_southlands_west	1037968490	wh2_main_vor_coast_of_araby_martek
wh2_main_grand_rogue_spawn_lustria_east	1039249915	wh2_main_iron_mountains_rackdo_gorge
wh2_main_vor_rogue_spawn_ulthuan_central	1040882444	wh2_main_vor_eataine_shrine_of_asuryan
wh2_main_grand_rogue_spawn_norsca	1048691926	wh_main_helspire_mountains_the_monolith_of_katam
wh2_main_grand_rogue_spawn_oldworld_west	1049761803	wh_main_parravon_et_quenelles_quenelles
wh2_main_grand_rogue_spawn_badlands_north	1053792612	wh_main_the_silver_road_the_pillars_of_grungni
wh2_main_vor_rogue_spawn_lustria_east	1055410475	wh2_main_vor_southern_great_jungle_gwakmol_crater
wh2_main_grand_rogue_spawn_naggaroth_central	1055602952	wh2_main_obsidian_peaks_clar_karond
wh2_main_grand_rogue_spawn_lustria_north	1056323514	wh2_main_northern_great_jungle_chaqua
wh2_main_grand_rogue_spawn_oldworld_central	106129181	wh_main_the_wasteland_marienburg
wh2_main_grand_rogue_spawn_naggaroth_central	1063241146	wh2_main_doom_glades_hag_hall
wh2_main_grand_rogue_spawn_lustria_east	106429842	wh2_main_headhunters_jungle_oyxl
wh2_main_vor_rogue_spawn_istmus	1072094616	wh2_main_vor_jungle_of_pahualaxa_monument_of_the_moon
wh2_main_vor_rogue_spawn_naggaroth_north	10733105	wh2_main_vor_deadwood_shagrath
wh2_main_grand_rogue_spawn_ulthuan_central	1075365521	wh2_main_avelorn_evershale
wh2_main_grand_rogue_spawn_lustria_north	1080345055	wh2_main_southern_jungle_of_pahualaxa_the_high_sentinel
wh2_main_vor_rogue_spawn_istmus	1085358396	wh2_main_vor_forest_of_the_viper_fallen_gates
wh2_main_grand_rogue_spawn_oldworld_east	1088163705	wh2_main_hell_pit_hell_pit
wh2_main_grand_rogue_spawn_norsca	1092449387	wh_main_goromandy_mountains_baersonlings_camp
wh2_main_vor_rogue_spawn_naggaroth_south	1097402085	wh2_main_vor_the_clawed_coast_the_monoliths
wh2_main_grand_rogue_spawn_istmus	1104150968	wh2_main_northern_jungle_of_pahualaxa_macu_peaks
wh2_main_vor_rogue_spawn_ulthuan_west	1109819726	wh2_main_vor_phoenix_gate
wh2_main_vor_rogue_spawn_southlands_east	1111878086	wh2_main_vor_southlands_world_edge_mountains_karak_zorn
wh2_main_grand_rogue_spawn_naggaroth_north	1113384653	wh2_main_the_road_of_skulls_the_black_pillar
wh2_main_vor_rogue_spawn_lustria_east	1115668360	wh2_main_vor_the_vampire_coast_the_star_tower
wh2_main_vor_rogue_spawn_southlands_south	1121736516	wh2_main_vor_copper_desert_the_forgotten_isles
wh2_main_grand_rogue_spawn_southlands_west	1127356653	wh2_main_coast_of_araby_fyrus
wh2_main_grand_rogue_spawn_oldworld_west	1130672884	wh_main_athel_loren_yn_edryl_korian
wh2_main_grand_rogue_spawn_norsca	1132240808	wh_main_mountains_of_hel_aeslings_conclave
wh2_main_grand_rogue_spawn_lustria_north	1138487117	wh2_main_northern_great_jungle_xlanhuapec
wh2_main_grand_rogue_spawn_naggaroth_north	1149277821	wh2_main_the_road_of_skulls_har_ganeth
wh2_main_grand_rogue_spawn_lustria_north	1150059827	wh2_main_northern_great_jungle_temple_of_tlencan
wh2_main_vor_rogue_spawn_naggaroth_north	1151619249	wh2_main_vor_iron_mountains_cragroth_deep
wh2_main_grand_rogue_spawn_naggaroth_north	1156298037	wh2_main_aghol_wastelands_the_palace_of_ruin
wh2_main_grand_rogue_spawn_lustria_west	1159367898	wh2_main_jungles_of_green_mists_spektazuma
wh2_main_grand_rogue_spawn_ulthuan_east	115988523	wh2_main_chrace_tor_achare
wh2_main_vor_rogue_spawn_naggaroth_west	1174811134	wh2_main_vor_ashen_coast_scarpels_lair
wh2_main_grand_rogue_spawn_lustria_north	1182572510	wh2_main_southern_jungle_of_pahualaxa_pahuax
wh2_main_grand_rogue_spawn_lustria_east	1187463609	wh2_main_iron_mountains_har_kaldra
wh2_main_vor_rogue_spawn_lustria_south	1192774296	wh2_main_vor_the_capes_citadel_of_dusk
wh2_main_grand_rogue_spawn_naggaroth_central	1196842205	wh2_main_the_broken_land_blacklight_tower
wh2_main_vor_rogue_spawn_ulthuan_west	1205252888	wh2_main_vor_griffon_gate
wh2_main_vor_rogue_spawn_ulthuan_west	1205858876	wh2_main_vor_tiranoc_salvation_isle
wh2_main_vor_rogue_spawn_ulthuan_east	120774554	wh2_main_vor_northern_yvresse_tor_yvresse
wh2_main_vor_rogue_spawn_naggaroth_north	1209529860	wh2_main_vor_deadwood_the_frozen_city
wh2_main_grand_rogue_spawn_ulthuan_central	1210068898	wh2_main_ellyrion_whitefire_tor
wh2_main_vor_rogue_spawn_lustria_east	121346537	wh2_main_vor_volcanic_islands_fuming_serpent
wh2_main_vor_rogue_spawn_ulthuan_west	1213980365	wh2_main_vor_caledor_tor_sethai
wh2_main_vor_rogue_spawn_lustria_east	1214063286	wh2_main_vor_mosquito_swamps_xlanhuapec
wh2_main_vor_rogue_spawn_ulthuan_east	1220085290	wh2_main_vor_southern_yvresse_shrine_of_loec
wh2_main_vor_rogue_spawn_ulthuan_central	1222860428	wh2_main_vor_saphery_port_elistor
wh2_main_grand_rogue_spawn_southlands_central	122784306	wh2_main_land_of_the_dervishes_plain_of_tuskers
wh2_main_vor_rogue_spawn_lustria_east	1230388582	wh2_main_vor_the_vampire_coast_the_blood_swamps
wh2_main_grand_rogue_spawn_oldworld_west	1234604310	wh_main_northern_grey_mountains_karak_ziflin
wh2_main_grand_rogue_spawn_istmus	1237640036	wh2_main_northern_jungle_of_pahualaxa_port_reaver
wh2_main_grand_rogue_spawn_southlands_central	123819508	wh2_main_land_of_the_dead_zandri
wh2_main_vor_rogue_spawn_southlands_west	1245077632	wh2_main_vor_coast_of_araby_fyrus
wh2_main_vor_rogue_spawn_ulthuan_east	1245513947	wh2_main_vor_northern_yvresse_tralinia
wh2_main_vor_rogue_spawn_naggaroth_north	1247532789	wh2_main_vor_the_road_of_skulls_kauark
wh2_main_vor_rogue_spawn_naggaroth_north	1255336197	wh2_main_vor_deadwood_nagrar
wh2_main_vor_rogue_spawn_lustria_west	126135225	wh2_main_vor_western_jungles_tlaqua
wh2_main_vor_rogue_spawn_southlands_east	1261979663	wh2_main_vor_land_of_the_dead_khemri
wh2_main_grand_rogue_spawn_istmus	1262608676	wh2_main_northern_jungle_of_pahualaxa_shrine_of_sotek
wh2_main_grand_rogue_spawn_oldworld_central	1270752231	wh_main_talabecland_krugenheim
wh2_main_grand_rogue_spawn_lustria_east	1270761351	wh2_main_iron_mountains_naggarond
wh2_main_grand_rogue_spawn_ulthuan_central	1281282110	wh2_main_ellyrion_tor_elyr
wh2_main_vor_rogue_spawn_southlands_west	128357646	wh2_main_vor_coast_of_araby_al_haikk
wh2_main_grand_rogue_spawn_oldworld_west	1288126172	wh_main_bordeleaux_et_aquitaine_bordeleaux
wh2_main_grand_rogue_spawn_badlands_west	1293499345	wh_main_southern_badlands_gronti_mingol
wh2_main_grand_rogue_spawn_oldworld_south	1293829514	wh_main_black_mountains_karak_hirn
wh2_main_grand_rogue_spawn_oldworld_south	1294368784	wh_main_southern_grey_mountains_karak_norn
wh2_main_vor_rogue_spawn_ulthuan_east	129563777	wh2_main_vor_sartosa_sartosa
wh2_main_grand_rogue_spawn_oldworld_east	1296797844	wh_main_troll_country_erengrad
wh2_main_grand_rogue_spawn_oldworld_east	1298475062	wh_main_northern_oblast_fort_ostrosk
wh2_main_grand_rogue_spawn_oldworld_central	1299998820	wh_main_stirland_the_moot
wh2_main_grand_rogue_spawn_oldworld_south	1304570563	wh_main_the_vaults_karak_bhufdar
wh2_main_grand_rogue_spawn_oldworld_south	1306930941	wh_main_eastern_border_princes_akendorf
wh2_main_grand_rogue_spawn_lustria_east	1309599329	wh2_main_southern_great_jungle_itza
wh2_main_vor_rogue_spawn_ulthuan_west	1311112819	wh2_main_vor_nagarythe_tor_dranil
wh2_main_grand_rogue_spawn_norsca	1320352975	wh_main_gianthome_mountains_sjoktraken
wh2_main_grand_rogue_spawn_lustria_north	1322070810	wh2_main_the_creeping_jungle_temple_of_kara
wh2_main_grand_rogue_spawn_oldworld_central	1325952709	wh_main_reikland_helmgart
wh2_main_vor_rogue_spawn_istmus	1327917888	wh2_main_vor_settlers_coast_port_reaver
wh2_main_grand_rogue_spawn_southlands_west	1331911368	wh2_main_atalan_mountains_eye_of_the_panther
wh2_main_vor_rogue_spawn_ulthuan_central	1332207111	wh2_main_vor_avelorn_gaean_vale
wh2_main_grand_rogue_spawn_badlands_east	133508646	wh_main_eastern_badlands_dringorackaz
wh2_main_vor_rogue_spawn_istmus	1340545875	wh2_main_vor_coast_of_squalls_macu_peaks
wh2_main_vor_rogue_spawn_naggaroth_north	13451519	wh2_main_vor_aghol_wastelands_fortress_of_the_damned
wh2_main_grand_rogue_spawn_oldworld_central	1349692699	wh_main_wissenland_pfeildorf
wh2_main_grand_rogue_spawn_badlands_west	1351041054	wh_main_western_badlands_stonemine_tower
wh2_main_vor_rogue_spawn_ulthuan_central	1357631911	wh2_main_vor_avelorn_tor_saroir
wh2_main_grand_rogue_spawn_oldworld_west	1365527508	wh_main_forest_of_arden_castle_artois
wh2_main_vor_rogue_spawn_istmus	1365637650	wh2_main_vor_settlers_coast_skeggi
wh2_main_grand_rogue_spawn_naggaroth_central	1370638933	wh2_main_the_broken_land_slavers_point
wh2_main_vor_rogue_spawn_naggaroth_south	1371352023	wh2_main_vor_grey_guardians_ssildra_tor
wh2_main_vor_rogue_spawn_southlands_east	1374435944	wh2_main_vor_land_of_the_dead_zandri
wh2_main_vor_rogue_spawn_lustria_east	1379448189	wh2_main_vor_the_vampire_coast_pox_marsh
wh2_main_grand_rogue_spawn_naggaroth_central	1381559409	wh2_main_obsidian_peaks_venom_glade
wh2_main_grand_rogue_spawn_badlands_east	1389570730	wh_main_couronne_et_languille_languille
wh2_main_grand_rogue_spawn_oldworld_south	1392544234	wh_main_eastern_border_princes_matorca
wh2_main_grand_rogue_spawn_southlands_west	1393372837	wh2_main_coast_of_araby_copher
wh2_main_vor_rogue_spawn_istmus	1396861601	wh2_main_vor_settlers_coast_swamp_town
wh2_main_grand_rogue_spawn_lustria_north	1401076344	wh2_main_vampire_coast_the_awakening
wh2_main_vor_rogue_spawn_lustria_south	1415247133	wh2_main_vor_the_lost_valleys_oyxl
wh2_main_grand_rogue_spawn_badlands_east	1416738860	wh_main_eastern_badlands_valayas_sorrow
wh2_main_grand_rogue_spawn_oldworld_south	1423626600	wh_main_southern_grey_mountains_karak_azgaraz
wh2_main_grand_rogue_spawn_norsca	1425716704	wh_main_gianthome_mountains_kraka_drak
wh2_main_grand_rogue_spawn_southlands_west	1430437623	wh2_main_land_of_assassins_lashiek
wh2_main_vor_rogue_spawn_lustria_west	1435613570	wh2_main_vor_central_spine_of_sotek_caverns_of_the_great_bat
wh2_main_vor_rogue_spawn_naggaroth_north	1439527354	wh2_main_vor_ironfrost_glacier_dagraks_end
wh2_main_grand_rogue_spawn_ulthuan_central	1443561820	wh2_main_avelorn_gaean_vale
wh2_main_vor_rogue_spawn_lustria_west	1444433456	wh2_main_vor_western_jungles_deaths-head_monoliths
wh2_main_grand_rogue_spawn_naggaroth_central	1465681221	wh2_main_doom_glades_vauls_anvil
wh2_main_grand_rogue_spawn_ulthuan_central	1472076378	wh2_main_eataine_angerrial
wh2_main_grand_rogue_spawn_southlands_east	1472822831	wh2_main_charnel_valley_granite_massif
wh2_main_grand_rogue_spawn_oldworld_south	1477244727	wh_main_western_border_princes_zvorak
wh2_main_grand_rogue_spawn_oldworld_central	1479428939	wh_main_ostland_wolfenburg
wh2_main_grand_rogue_spawn_ulthuan_east	1479910656	wh2_main_cothique_mistnar
wh2_main_grand_rogue_spawn_lustria_north	1481241364	wh2_main_the_creeping_jungle_tlaxtlan
wh2_main_vor_rogue_spawn_southlands_west	1486411509	wh2_main_vor_land_of_assassins_palace_of_the_wizard_caliph
wh2_main_grand_rogue_spawn_badlands_west	1493452677	wh_main_western_badlands_dragonhorn_mines
wh2_main_grand_rogue_spawn_southlands_west	1493791585	wh2_main_great_desert_of_araby_pools_of_despair
wh2_main_vor_rogue_spawn_naggaroth_south	1494724091	wh2_main_vor_shadow_wood_venom_glade
wh2_main_grand_rogue_spawn_naggaroth_central	1496788772	wh2_main_the_clawed_coast_the_monoliths
wh2_main_grand_rogue_spawn_southlands_east	1498451	wh2_main_crater_of_the_walking_dead_rasetra
wh2_main_grand_rogue_spawn_badlands_north	1502488084	wh_main_death_pass_karag_dron
wh2_main_grand_rogue_spawn_lustria_east	1507105818	wh2_main_volcanic_islands_fuming_serpent
wh2_main_grand_rogue_spawn_oldworld_south	1515632065	wh_main_tilea_luccini
wh2_main_grand_rogue_spawn_badlands_north	1521841620	wh_main_blood_river_valley_barag_dawazbag
wh2_main_grand_rogue_spawn_lustria_east	1535520913	wh2_main_iron_mountains_altar_of_ultimate_darkness
wh2_main_grand_rogue_spawn_naggaroth_south	1535704738	wh2_main_the_black_coast_bleak_hold_fortress
wh2_main_grand_rogue_spawn_oldworld_east	1541691235	wh_main_zhufbar_oakenhammer
wh2_main_grand_rogue_spawn_oldworld_east	1545541435	wh_main_northern_worlds_edge_mountains_karak_ungor
wh2_main_vor_rogue_spawn_lustria_west	1548216450	wh2_main_vor_the_turtle_isles_golden_ziggurat
wh2_main_vor_rogue_spawn_lustria_west	1551298364	wh2_main_vor_the_turtle_isles_mud_isle
wh2_main_vor_rogue_spawn_southlands_east	1553080864	wh2_main_vor_southlands_world_edge_mountains_karag_orrud
wh2_main_grand_rogue_spawn_oldworld_central	1553244112	wh_main_reikland_altdorf
wh2_main_vor_rogue_spawn_southlands_south	1553736751	wh2_main_vor_southern_spine_of_sotek_thrice-cursed_peak
wh2_main_grand_rogue_spawn_oldworld_west	1556207639	wh_main_bastonne_et_montfort_castle_bastonne
wh2_main_grand_rogue_spawn_southlands_east	1565207481	wh2_main_charnel_valley_karag_orrud
wh2_main_vor_rogue_spawn_lustria_west	1570461275	wh2_main_vor_western_jungles_statues_of_the_gods
wh2_main_vor_rogue_spawn_lustria_west	1572055304	wh2_main_vor_jungles_of_green_mist_pillars_of_unseen_constellations
wh2_main_vor_rogue_spawn_southlands_east	1573138589	wh2_main_vor_ash_river_numas
wh2_main_grand_rogue_spawn_oldworld_central	1576673820	wh_main_western_sylvania_schwartzhafen
wh2_main_grand_rogue_spawn_oldworld_south	1577812072	wh_main_western_sylvania_castle_templehof
wh2_main_grand_rogue_spawn_southlands_west	1581843448	wh2_main_great_desert_of_araby_bel_aliad
wh2_main_grand_rogue_spawn_ulthuan_east	1584319773	wh2_main_yvresse_elessaeli
wh2_main_vor_rogue_spawn_southlands_south	1585759979	wh2_main_vor_the_red_rivers_golden_tower_of_the_gods
wh2_main_vor_rogue_spawn_lustria_east	159028183	wh2_main_vor_the_creeping_jungle_tlaxtlan
wh2_main_vor_rogue_spawn_lustria_east	1591402499	wh2_main_vor_northern_great_jungle_quetza
wh2_main_grand_rogue_spawn_badlands_north	1594209666	wh_main_rib_peaks_grom_peak
wh2_main_vor_rogue_spawn_lustria_east	1601290514	wh2_main_vor_southern_great_jungle_mortuary_of_tzulaqua
wh2_main_grand_rogue_spawn_naggaroth_north	1601379263	wh2_main_the_road_of_skulls_kauark
wh2_main_grand_rogue_spawn_naggaroth_south	1601454037	wh2_main_the_black_coast_arnheim
wh2_main_grand_rogue_spawn_southlands_central	1605754742	wh2_main_ash_river_springs_of_eternal_life
wh2_main_grand_rogue_spawn_southlands_central	16145229	wh2_main_ash_river_quatar
wh2_main_vor_rogue_spawn_lustria_east	1620950403	wh2_main_vor_northern_great_jungle_quittax
wh2_main_vor_rogue_spawn_lustria_south	1627378402	wh2_main_vor_headhunters_jungle_altar_of_the_horned_rat
wh2_main_vor_rogue_spawn_naggaroth_north	1634089692	wh2_main_vor_iron_mountains_shroktak_mount
wh2_main_grand_rogue_spawn_badlands_east	1636048017	wh_main_eastern_badlands_crooked_fang_fort
wh2_main_grand_rogue_spawn_naggaroth_north	163864733	wh2_main_deadwood_the_frozen_city
wh2_main_vor_rogue_spawn_ulthuan_east	164156797	wh2_main_vor_cothique_tor_koruali
wh2_main_grand_rogue_spawn_norsca	1642299977	wh_main_mountains_of_naglfari_varg_camp
wh2_main_vor_rogue_spawn_ulthuan_central	1653094328	wh2_main_vor_ellyrion_reavers_mark
wh2_main_vor_rogue_spawn_lustria_east	1655915760	wh2_main_vor_the_lost_valleys_subatuun
wh2_main_vor_rogue_spawn_southlands_west	1656849646	wh2_main_vor_coast_of_araby_copher
wh2_main_grand_rogue_spawn_oldworld_south	166503384	wh2_main_skavenblight_skavenblight
wh2_main_grand_rogue_spawn_lustria_north	1667185172	wh2_main_vampire_coast_pox_marsh
wh2_main_vor_rogue_spawn_naggaroth_south	1679903755	wh2_main_vor_the_broken_land_karond_kar
wh2_main_vor_rogue_spawn_naggaroth_west	1682269069	wh2_main_vor_plain_of_spiders_pits_of_zardok
wh2_main_vor_rogue_spawn_naggaroth_north	1682627935	wh2_main_vor_the_road_of_skulls_har_ganeth
wh2_main_grand_rogue_spawn_norsca	1683002386	wh2_main_albion_albion
wh2_main_vor_rogue_spawn_naggaroth_west	168446103	wh2_main_vor_obsidian_peaks_keshta_vault
wh2_main_grand_rogue_spawn_oldworld_central	1687659191	wh_main_reikland_grunburg
