unit_special_abilities_tables	46
key	active_time	recharge_time	num_uses	effect_range	affect_self	num_effected_friendly_units	num_effected_enemy_units	update_targets_every_frame	initial_recharge	activated_projectile	target_friends	target_enemies	target_ground	target_intercept_range	assume_specific_behaviour	clear_current_order	wind_up_time	passive	unique_id	bombardment	spawned_unit	wind_up_stance	mana_cost	min_range	targetting_aoe	passive_aoe	active_aoe	activation_effect	vortex	miscast_chance	miscast_explosion	ai_usage	audio	special_ability_display	voiceover_state	additional_melee_cp	additional_missile_cp	parent_ability	spawn_type	spawn_proxy_vfx	target_ground_under_allies	target_ground_under_enemies	miscast_global_bonus	target_self	composite_scene_group_on_wind_up	composite_scene_group_on_active
wh2_dlc09_army_abilities_barrage_of_the_legion	4	90	3	0	false	0	0	false	45		false	true	true	-1		false	3	false	1633311388				0	0	wh_army_abilities_generic_wind	wh_army_abilities_generic_wind			wh2_dlc09_army_abilities_barrage_of_the_legion	0		vortex_wind	wh2_dlc09_abilities_barrage_of_the_legion		vo_battle_special_ability_generic_response	0	167				false	false	true	false		
wh2_dlc09_army_abilities_realm_of_souls_ushabti	1	0	0	0	false	0	0	false	0		false	true	true	-1		false	5	false	2020898731		wh2_dlc09_tmb_mon_ushabti_0_summoned		0	0	wh_army_abilities_generic_spawn	wh_army_abilities_generic_spawn	wh2_dlc09_ushabti_summon			0		hex_ranged_summon	wh_group_unit		vo_battle_special_ability_generic_response	126	126			wh_main_targeting_pre_aa_spawn_group_ui_central	false	false	true	false		
wh2_dlc09_army_abilities_rictus_clanstone	48	120	3	40	false	-1	0	true	45		false	false	true	-1		false	0	false	727092085				0	0	wh_army_abilities_generic_augment	wh_army_abilities_generic_augment	wh2_dlc09_army_abilities_rictus_clanstone			0		augment_melee	wh_group_unit		vo_battle_special_ability_generic_response	121	121				true	false	true	false		
wh2_dlc09_army_abilities_sand_veil	73	90	3	0	false	1	0	false	45		true	false	false	-1		false	0	false	1954521345				0	0	wh_army_abilities_generic_full_hide	wh_army_abilities_generic_full_hide				0		full_hide	wh_group_unit		vo_battle_special_ability_spell_cast_positive	79	79				false	false	true	false		
wh2_dlc09_army_abilities_tomb_swarm	18	120	2	30	false	0	-1	true	45		false	false	true	-1		false	5	false	303781859				0	0	wh_army_abilities_generic_direct_damage_area	wh_army_abilities_generic_direct_damage_area	wh2_dlc09_army_abilities_tomb_swarm		wh2_dlc09_army_abilities_tomb_swarm	0		aoe	wh_group_unit		vo_battle_special_ability_spell_cast_negative	0	238				false	true	true	false		
wh2_dlc09_army_passive_realm_of_souls_ushabti_trigger	-1	-1	1	-1	false	-1	0	true	-1		false	false	false	0	realm_of_souls_add_uses	false	0	true	1986968111				0	0	wh_abilities_generic_regeneration_no_ring					0					vo_battle_special_ability_generic_response	0	0				false	false	true	false		
wh2_dlc09_character_abilities_curse_of_djaf	22	0	1	40	false	0	-1	false	0		false	true	true	100		false	0	false	403521628				0	0	wh_abilities_generic_debuff	wh_abilities_generic_debuff				0		hex_melee_area	wh_group_character		vo_battle_special_ability_generic_response	54	26				false	false	true	false		
wh2_dlc09_character_abilities_curse_of_khsar	25	0	1	40	false	0	-1	false	0		false	true	true	100		false	0	false	182218154				0	0	wh_abilities_generic_debuff	wh_abilities_generic_debuff				0		hex_armour_area	wh_group_character		vo_battle_special_ability_generic_response	40	40				false	false	true	false		
wh2_dlc09_character_abilities_restore	20	60	2	0	false	1	0	false	0		true	false	false	100		false	0	false	97532114				0	0	wh_abilities_generic_regeneration_no_ring	wh_abilities_generic_regeneration_no_ring				0		healing	wh_group_character		vo_battle_special_ability_generic_response	0	79				false	false	true	false		
wh2_dlc09_character_abilities_stay_here_ill_get_help	31	90	3	40	true	-1	0	false	0		true	false	true	60		false	0	false	1864089004				0	0	wh_abilities_generic_buff	wh_abilities_generic_buff				1	wh2_dlc_09_character_abilities_stay_here_ill_get_help_miscast	augment_melee_morale	wh_group_character		vo_battle_special_ability_generic_response	81	81				false	false	false	true		
wh2_dlc09_character_abilities_strike_of_nagash	27	120	-1	0	true	1	0	false	0		false	false	false	0		false	0	false	427496907				0	0	wh_abilities_generic_buff	wh_abilities_generic_buff				0		augment_melee	wh_group_character		vo_battle_special_ability_generic_response	238	0				false	false	true	false		
wh2_dlc09_character_abilities_strike_of_nehekhara	23	120	-1	0	true	1	0	false	0		false	false	false	0		false	0	false	1128437952				0	0	wh_abilities_generic_buff	wh_abilities_generic_buff				0		augment_melee	wh_group_character		vo_battle_special_ability_generic_response	236	0				false	false	true	false		
wh2_dlc09_character_abilities_strike_of_tombs	23	90	-1	0	true	1	0	false	0		false	false	false	0		false	0	false	295904993				0	0	wh_abilities_generic_buff	wh_abilities_generic_buff				0		augment_melee	wh_group_character		vo_battle_special_ability_generic_response	160	0				false	false	true	false		
wh2_dlc09_character_abilities_tomb_king_rally	14	60	-1	40	true	-1	0	true	0		false	false	false	0		false	0	false	539961168				0	0	wh_abilities_generic_buff	wh_abilities_generic_buff	wh_abilities_generic_buff			0		augment_morale_area	wh_group_character		vo_battle_special_ability_generic_response	40	40				false	false	true	false		
wh2_dlc09_character_abilities_tomb_king_rally_upgraded	10	90	-1	40	true	-1	0	true	0		false	false	false	0		false	0	false	1869855934				0	0	wh_abilities_generic_buff	wh_abilities_generic_buff	wh_abilities_generic_buff			0		augment_morale_area	wh_group_character		vo_battle_special_ability_generic_response	81	81				false	false	true	false		
wh2_dlc09_character_passive_befalling_curse	23	0	1	40	false	0	-1	false	0		false	false	false	0		false	0	true	467767746				0	0	wh_abilities_generic_direct_damage	wh_abilities_generic_direct_damage				0					vo_battle_special_ability_generic_response	53	108				false	false	true	false		
wh2_dlc09_character_passive_blessing_of_asaph	-1	-1	-1	40	true	-1	0	true	-1		false	false	false	0		false	0	true	589945270				0	0	wh_abilities_generic_buff	wh_abilities_generic_buff				0					vo_battle_special_ability_generic_response	0	159				false	false	true	false		
wh2_dlc09_character_passive_stone_shaper	-1	-1	-1	30	true	-1	0	true	-1		false	false	false	0		false	0	true	755144789				0	0	wh_abilities_generic_buff	wh_abilities_generic_buff				0					vo_battle_special_ability_generic_response	52	105				false	false	true	false		
wh2_dlc09_character_passive_tretchs_raiders	-1	0	-1	40	true	-1	0	true	0		false	false	false	0		false	0	true	170791629				0	0						0					vo_battle_special_ability_generic_response	163	0				false	false	true	false		
wh2_dlc09_character_passive_true_blessing_of_asaph	-1	-1	-1	40	true	-1	0	true	-1		false	false	false	0		false	0	true	1415234138				0	0	wh_abilities_generic_buff	wh_abilities_generic_buff				0					vo_battle_special_ability_generic_response	0	0				false	false	true	false		
wh2_dlc09_character_passive_unyielding_will	-1	-1	-1	55	false	-1	0	true	-1		false	false	false	0		false	0	true	461672149				0	0	wh_abilities_generic_buff	wh_abilities_generic_buff				0					vo_battle_special_ability_generic_response	240	0				false	false	true	false		
wh2_dlc09_character_passive_wrath_of_the_creator	-1	-1	-1	30	true	-1	0	true	-1		false	false	false	0		false	0	true	2100335294				0	0	wh_abilities_generic_buff	wh_abilities_generic_buff				0					vo_battle_special_ability_generic_response	79	0				false	false	true	false		
wh2_dlc09_faction_passive_realm_of_souls_tier_1	7	-1	1	0	true	0	0	false	-1		false	false	false	0		false	0	true	1666879478				0	0	wh_abilities_generic_regeneration_no_ring					0					vo_battle_special_ability_generic_response	0	0				false	false	true	false		
wh2_dlc09_faction_passive_realm_of_souls_tier_2	14	-1	1	0	true	0	0	false	-1		false	false	false	0		false	0	true	2103028697				0	0	wh_abilities_generic_regeneration_no_ring					0					vo_battle_special_ability_generic_response	0	0				false	false	true	false		
wh2_dlc09_faction_passive_realm_of_souls_tier_3	21	-1	1	0	true	0	0	false	-1		false	false	false	0		false	0	true	1702998879				0	0	wh_abilities_generic_regeneration_no_ring					0					vo_battle_special_ability_generic_response	0	0				false	false	true	false		
wh2_dlc09_item_abilities_amulet_of_phastah	22	120	-1	55	false	0	-1	false	0		false	true	true	100		false	0	false	947546154				0	0	wh_abilities_generic_debuff	wh_abilities_generic_debuff				0		hex_armour_area	wh_group_item		vo_battle_special_ability_generic_response	79	161				false	false	true	false		
wh2_dlc09_item_abilities_cloak_of_the_dunes	44	90	-1	0	true	1	0	false	0		false	false	false	0		false	0	false	280000900				0	0	wh_abilities_generic_buff	wh_abilities_generic_buff				0			wh_group_item		vo_battle_special_ability_generic_response	81	81				false	false	true	false		
wh2_dlc09_item_abilities_elixir_of_might	36	60	1	0	false	0	0	false	0		true	false	false	100		false	0	false	796987742				0	0	wh_abilities_generic_buff_no_ring					0		augment_melee	wh_group_item		vo_battle_special_ability_generic_response	80	0				false	false	true	true		
wh2_dlc09_item_abilities_enkhils_kanopi	24	120	-1	40	true	-1	0	false	0		false	false	false	0		false	0	false	467291395				0	0	wh_abilities_generic_buff	wh_abilities_generic_buff				0		augment_defense_area	wh_group_item		vo_battle_special_ability_generic_response	117	117				false	false	true	false		
wh2_dlc09_item_abilities_hieratic_jar	33	60	1	0	true	0	0	false	0		false	false	false	0		false	0	false	1473553609				0	0	wh_abilities_generic_regeneration_no_ring					0		healing_single_use	wh_group_item		vo_battle_special_ability_generic_response	39	39				false	false	true	false		
wh2_dlc09_item_abilities_neferras_scrolls_of_mighty_incantations	11	90	-1	40	true	5	0	true	0		false	false	false	0		false	0	false	1923132460				0	0	wh_abilities_generic_buff	wh_abilities_generic_buff				0		augment_spellcasting	wh_group_item		vo_battle_special_ability_generic_response	106	52				false	false	true	false		
wh2_dlc09_item_abilities_staff_of_nagash	33	120	-1	0	true	1	0	false	0		false	false	false	0		false	0	false	44824209				0	0	wh_abilities_generic_buff_wom_no_ring					0		augment_spellcasting	wh_group_character		vo_battle_special_ability_generic_response	80	162				false	false	true	false		
wh2_dlc09_item_passive_crown_of_nehekhara	-1	-1	-1	55	false	-1	0	true	-1		false	false	false	0		false	0	true	588272527				0	0	wh_abilities_generic_buff	wh_abilities_generic_buff				0			wh_group_character		vo_battle_special_ability_generic_response	250	0				false	false	true	false		
wh2_dlc09_item_passive_lucky_skullhelm	-1	0	-1	0	true	1	0	false	0		false	false	false	0		false	0	true	552267152				0	0						0					vo_battle_special_ability_generic_response	118	118				false	false	true	false		
wh2_dlc09_item_passive_scorpion_armour	-1	-1	-1	0	true	1	0	false	-1		false	false	false	0		false	0	true	392139477				0	0						0					vo_battle_special_ability_generic_response	124	124				false	false	true	false		
wh2_dlc09_item_passive_vambraces_of_the_sun	-1	-1	-1	40	false	0	-1	true	-1		false	false	false	100		false	0	true	1649340261				0	0	wh_abilities_generic_debuff	wh_abilities_generic_debuff				0			wh_group_item		vo_battle_special_ability_generic_response	160	79				false	false	true	false		
wh2_dlc09_lord_abilities_sand_storm	14	90	3	0	false	0	0	false	0		false	true	true	100		false	3	false	509122463				0	0	wh_abilities_generic_vortex	wh_abilities_generic_vortex			wh2_dlc09_abilities_sand_storm	0		vortex	wh_group_unit_click		vo_battle_special_ability_generic_response	78	78				false	false	true	false		
wh2_dlc09_lord_abilities_the_liber_mortis	15	90	3	40	true	-1	0	true	0		false	false	true	150		false	0	false	1753515469				0	0	wh_abilities_generic_buff	wh_abilities_generic_buff	wh2_dlc09_abilities_the_liber_mortis			0		augment_defense_area	wh_group_character		vo_battle_special_ability_generic_response	81	81				true	false	true	true		
wh2_dlc09_lord_abilities_venom_wave	3	90	3	0	true	0	0	false	0		false	false	false	0		false	0	false	127992330				0	0	wh_abilities_generic_explosion				wh2_dlc09_abilities_venom_wave	0		aoe_centred_on_self	wh_group_character		vo_battle_special_ability_generic_response	54	110				false	false	true	false		
wh2_dlc09_lord_abilities_wrath_of_ptra	3	90	3	0	true	0	0	false	0		false	false	false	0		false	0	false	1217626509				0	0	wh_abilities_generic_explosion	wh_abilities_generic_explosion			wh2_dlc09_abilities_wrath_of_ptra	0		aoe_centred_on_self	wh_group_character		vo_battle_special_ability_generic_response	52	105				false	false	true	false		
wh2_dlc09_lord_passive_my_will_be_done	-1	-1	-1	30	false	-1	0	true	-1		false	false	false	0		false	0	true	643905977				0	0	wh_abilities_generic_buff	wh_abilities_generic_buff				0					vo_battle_special_ability_generic_response	160	0				false	false	true	false		
wh2_dlc09_lord_passive_the_curse	15	0	1	40	false	0	-1	false	0		false	false	false	0		false	0	true	683123835				0	0	wh_abilities_generic_direct_damage	wh_abilities_generic_direct_damage				0					vo_battle_special_ability_generic_response	0	77				false	false	true	false		
wh2_dlc09_lore_passive_the_restless_dead	-1	-1	-1	-1	true	-1	0	true	-1		false	false	false	0		false	0	true	781314920				0	0	wh_abilities_generic_regeneration_no_ring	wh_abilities_generic_regeneration_no_ring				0					vo_battle_special_ability_generic_response	39	39				false	false	true	false		
wh2_dlc09_quest_passive_full_hide	-1	-1	-1	-1	true	-1	0	true	-1		false	false	false	0		false	0	true	415956067				0	0						0					vo_battle_special_ability_generic_response	41	41				false	false	true	false		
wh2_dlc09_spell_death_spirit_leech_bound	13	45	1	0	false	0	1	false	0		false	true	false	100		false	3	false	485114562			cast_up_medium	0	0	wh_abilities_generic_direct_damage_no_ring	wh_abilities_generic_direct_damage_no_ring				0		hex_melee	wh_main_spell_death_spirit_leech	death_short	vo_battle_special_ability_spell_cast_negative	39	39				false	false	true	false		
wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades	25	28	-1	0	true	1	0	false	0		true	false	false	200		false	1	false	534003155			cast_up_short	3	0	wh_abilities_generic_buff_no_ring	wh_abilities_generic_buff_no_ring				0		augment_melee	wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades	nehekhara_short	vo_battle_special_ability_spell_cast_tmb_augment	80	0				false	false	true	true		
