resource_costs_tables	2
id	treasury_cost	expenditure_type	income_type
wh2_dlc09_resource_cost_tmb_harvest_organs	0	ACTIONS	BATTLE_KILLS
wh2_dlc09_ritual_crafting_tmb_arcane_item_blue_khepra	0	RITUAL	RITUAL
wh2_dlc09_ritual_crafting_tmb_arcane_item_enkhils_kanopi	0	RITUAL	RITUAL
wh2_dlc09_ritual_crafting_tmb_arcane_item_neferras_scrolls_of_mighty_incantations	0	RITUAL	RITUAL
wh2_dlc09_ritual_crafting_tmb_arcane_item_power_scroll	0	RITUAL	RITUAL
wh2_dlc09_ritual_crafting_tmb_arcane_item_scroll_of_leeching	0	RITUAL	RITUAL
wh2_dlc09_ritual_crafting_tmb_arcane_item_scroll_of_shielding	0	RITUAL	RITUAL
wh2_dlc09_ritual_crafting_tmb_armour_armour_of_dawn	0	RITUAL	RITUAL
wh2_dlc09_ritual_crafting_tmb_armour_armour_of_eternity	0	RITUAL	RITUAL
wh2_dlc09_ritual_crafting_tmb_armour_armour_of_the_ages	0	RITUAL	RITUAL
wh2_dlc09_ritual_crafting_tmb_armour_helmet_of_khsar	0	RITUAL	RITUAL
wh2_dlc09_ritual_crafting_tmb_armour_mortuary_robes	0	RITUAL	RITUAL
wh2_dlc09_ritual_crafting_tmb_armour_scorpion_armour	0	RITUAL	RITUAL
wh2_dlc09_ritual_crafting_tmb_armour_shield_of_ptra	0	RITUAL	RITUAL
wh2_dlc09_ritual_crafting_tmb_armour_skull_cap_of_the_moon	0	RITUAL	RITUAL
wh2_dlc09_ritual_crafting_tmb_army_capacity	-10000	RITUAL	RITUAL
wh2_dlc09_ritual_crafting_tmb_carrion	-450	RITUAL	RITUAL
wh2_dlc09_ritual_crafting_tmb_enchanted_item_brooch_of_the_great_desert	0	RITUAL	RITUAL
wh2_dlc09_ritual_crafting_tmb_enchanted_item_death_mask_of_kharnut	0	RITUAL	RITUAL
wh2_dlc09_ritual_crafting_tmb_enchanted_item_elixir_of_might	0	RITUAL	RITUAL
wh2_dlc09_ritual_crafting_tmb_enchanted_item_hieratic_jar	0	RITUAL	RITUAL
wh2_dlc09_ritual_crafting_tmb_enchanted_item_icon_of_rulership	0	RITUAL	RITUAL
wh2_dlc09_ritual_crafting_tmb_enchanted_item_ouroboros	0	RITUAL	RITUAL
wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_foolhardiness	0	RITUAL	RITUAL
wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_speed	0	RITUAL	RITUAL
wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_strength	0	RITUAL	RITUAL
wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_toughness	0	RITUAL	RITUAL
wh2_dlc09_ritual_crafting_tmb_enchanted_item_shroud_of_sokth	0	RITUAL	RITUAL
wh2_dlc09_ritual_crafting_tmb_enchanted_item_vambraces_of_the_sun	0	RITUAL	RITUAL
wh2_dlc09_ritual_crafting_tmb_necropolis_knights	-1850	RITUAL	RITUAL
wh2_dlc09_ritual_crafting_tmb_nehekhara_horsemen	-1000	RITUAL	RITUAL
wh2_dlc09_ritual_crafting_tmb_nehekhara_warriors	-600	RITUAL	RITUAL
wh2_dlc09_ritual_crafting_tmb_talisman_amulet_of_pha_stah	0	RITUAL	RITUAL
wh2_dlc09_ritual_crafting_tmb_talisman_collar_of_shakkara	0	RITUAL	RITUAL
wh2_dlc09_ritual_crafting_tmb_talisman_dawnstone	0	RITUAL	RITUAL
wh2_dlc09_ritual_crafting_tmb_talisman_golden_ankhra	0	RITUAL	RITUAL
wh2_dlc09_ritual_crafting_tmb_talisman_golden_eye_of_rah_nutt	0	RITUAL	RITUAL
wh2_dlc09_ritual_crafting_tmb_talisman_obsidian_lodestone	0	RITUAL	RITUAL
wh2_dlc09_ritual_crafting_tmb_weapon_blade_of_antarhak	0	RITUAL	RITUAL
wh2_dlc09_ritual_crafting_tmb_weapon_blade_of_mourning_fire	0	RITUAL	RITUAL
wh2_dlc09_ritual_crafting_tmb_weapon_blade_of_setep	0	RITUAL	RITUAL
wh2_dlc09_ritual_crafting_tmb_weapon_crook_and_flail_of_radiance	0	RITUAL	RITUAL
wh2_dlc09_ritual_crafting_tmb_weapon_destroyer_of_eternities	0	RITUAL	RITUAL
wh2_dlc09_ritual_crafting_tmb_weapon_double_crescent_of_neru	0	RITUAL	RITUAL
wh2_dlc09_ritual_crafting_tmb_weapon_enchanted_lapis_mace	0	RITUAL	RITUAL
wh2_dlc09_ritual_crafting_tmb_weapon_fang_of_quaph	0	RITUAL	RITUAL
wh2_dlc09_ritual_crafting_tmb_weapon_golden_dagger	0	RITUAL	RITUAL
wh2_dlc09_ritual_crafting_tmb_weapon_inscribed_khopesh	0	RITUAL	RITUAL
wh2_dlc09_ritual_crafting_tmb_weapon_spear_of_pakth	0	RITUAL	RITUAL
wh2_dlc09_ritual_tmb_geheb	-2000	RITUAL	RITUAL
wh2_dlc09_ritual_tmb_khsar	-3000	RITUAL	RITUAL
wh2_dlc09_ritual_tmb_ptra	-4000	RITUAL	RITUAL
wh2_dlc09_ritual_tmb_tahoth	-5000	RITUAL	RITUAL
wh2_dlc09_tmb_tech_agent_unlock	0	TECHNOLOGY	TECHNOLOGY
wh2_dlc09_tmb_tech_follower_unlock	0	TECHNOLOGY	TECHNOLOGY
wh2_dlc09_tmb_tech_tomb_king_unlock	0	TECHNOLOGY	TECHNOLOGY
wh2_dlc10_dwf_ritual_armour_adamant_plate	0	RITUAL	RITUAL
wh2_dlc10_dwf_ritual_armour_anvil_of_the_deep	0	RITUAL	RITUAL
wh2_dlc10_dwf_ritual_armour_chainmail_of_speed	0	RITUAL	RITUAL
wh2_dlc10_dwf_ritual_armour_forgeproven_gromril_armour	0	RITUAL	RITUAL
wh2_dlc10_dwf_ritual_armour_guardians_plate	0	RITUAL	RITUAL
wh2_dlc10_dwf_ritual_armour_heavy_gromril_armour	0	RITUAL	RITUAL
wh2_dlc10_dwf_ritual_armour_helm_of_courage	0	RITUAL	RITUAL
wh2_dlc10_dwf_ritual_armour_helm_of_resistance	0	RITUAL	RITUAL
wh2_dlc10_dwf_ritual_armour_helm_of_sanctuary	0	RITUAL	RITUAL
wh2_dlc10_dwf_ritual_armour_mail_of_concealment	0	RITUAL	RITUAL
wh2_dlc10_dwf_ritual_armour_shield_of_preservation	0	RITUAL	RITUAL
wh2_dlc10_dwf_ritual_armour_shield_of_warding	0	RITUAL	RITUAL
wh2_dlc10_dwf_ritual_armour_wailing_mail	0	RITUAL	RITUAL
wh2_dlc10_dwf_ritual_enchanted_item_belt_of_fortitude	0	RITUAL	RITUAL
wh2_dlc10_dwf_ritual_enchanted_item_belt_of_survival	0	RITUAL	RITUAL
wh2_dlc10_dwf_ritual_enchanted_item_boots_of_swiftness	0	RITUAL	RITUAL
wh2_dlc10_dwf_ritual_enchanted_item_bracers_of_evasion	0	RITUAL	RITUAL
wh2_dlc10_dwf_ritual_enchanted_item_bracers_of_preservation	0	RITUAL	RITUAL
wh2_dlc10_dwf_ritual_enchanted_item_crown_of_courage	0	RITUAL	RITUAL
wh2_dlc10_dwf_ritual_enchanted_item_drinking_horn	0	RITUAL	RITUAL
wh2_dlc10_dwf_ritual_enchanted_item_everlasting_pint	0	RITUAL	RITUAL
wh2_dlc10_dwf_ritual_enchanted_item_gauntlets_of_urgency	0	RITUAL	RITUAL
wh2_dlc10_dwf_ritual_enchanted_item_horn_of_the_ancestors	0	RITUAL	RITUAL
wh2_dlc10_dwf_ritual_enchanted_item_rangers_brooch	0	RITUAL	RITUAL
wh2_dlc10_dwf_ritual_enchanted_item_sceptre_of_stone	0	RITUAL	RITUAL
wh2_dlc10_dwf_ritual_enchanted_item_spotters_spyglass	0	RITUAL	RITUAL
wh2_dlc10_dwf_ritual_talisman_amulet_of_stone	0	RITUAL	RITUAL
wh2_dlc10_dwf_ritual_talisman_amulet_of_wrath	0	RITUAL	RITUAL
wh2_dlc10_dwf_ritual_talisman_cloak_of_spellbreaking	0	RITUAL	RITUAL
wh2_dlc10_dwf_ritual_talisman_forgemasters_ring	0	RITUAL	RITUAL
wh2_dlc10_dwf_ritual_talisman_miners_charm	0	RITUAL	RITUAL
wh2_dlc10_dwf_ritual_talisman_protector_of_the_valiant	0	RITUAL	RITUAL
wh2_dlc10_dwf_ritual_talisman_ratcleaver_amulet	0	RITUAL	RITUAL
wh2_dlc10_dwf_ritual_talisman_ring_of_ancestral_wisdom	0	RITUAL	RITUAL
wh2_dlc10_dwf_ritual_talisman_ring_of_protection	0	RITUAL	RITUAL
wh2_dlc10_dwf_ritual_talisman_ring_of_spite	0	RITUAL	RITUAL
wh2_dlc10_dwf_ritual_talisman_ring_of_vengeance	0	RITUAL	RITUAL
wh2_dlc10_dwf_ritual_talisman_talisman_of_luck	0	RITUAL	RITUAL
wh2_dlc10_dwf_ritual_talisman_talisman_wardstone	0	RITUAL	RITUAL
wh2_dlc10_dwf_ritual_weapon_axe_of_frostfall	0	RITUAL	RITUAL
wh2_dlc10_dwf_ritual_weapon_axe_of_fury	0	RITUAL	RITUAL
wh2_dlc10_dwf_ritual_weapon_black_axe_of_cleaving	0	RITUAL	RITUAL
wh2_dlc10_dwf_ritual_weapon_elfbane	0	RITUAL	RITUAL
