cdir_events_mission_issuer_junctions_tables	0
issuer_key	mission_key
CLAN_ELDERS	wh2_dlc09_books_of_nagash
CLAN_ELDERS	wh2_dlc09_books_of_nagash_1
CLAN_ELDERS	wh2_dlc09_books_of_nagash_2
CLAN_ELDERS	wh2_dlc09_books_of_nagash_3
CLAN_ELDERS	wh2_dlc09_books_of_nagash_4
CLAN_ELDERS	wh2_dlc09_books_of_nagash_5
CLAN_ELDERS	wh2_dlc09_books_of_nagash_6
CLAN_ELDERS	wh2_dlc09_books_of_nagash_7
CLAN_ELDERS	wh2_dlc09_books_of_nagash_8
CLAN_ELDERS	wh2_dlc09_books_of_nagash_9
CLAN_ELDERS	wh2_dlc09_great_vortex_skv_tretch_lucky_skullhelm_stage_1
CLAN_ELDERS	wh2_dlc09_great_vortex_skv_tretch_lucky_skullhelm_stage_2
CLAN_ELDERS	wh2_dlc09_great_vortex_skv_tretch_lucky_skullhelm_stage_4
CLAN_ELDERS	wh2_dlc09_great_vortex_skv_tretch_lucky_skullhelm_stage_5
CLAN_ELDERS	wh2_dlc09_great_vortex_tmb_arkhan_the_staff_of_nagash_stage_5
CLAN_ELDERS	wh2_dlc09_great_vortex_tmb_arkhan_the_tomb_blade_of_arkhan_stage_1
CLAN_ELDERS	wh2_dlc09_great_vortex_tmb_arkhan_the_tomb_blade_of_arkhan_stage_4
CLAN_ELDERS	wh2_dlc09_great_vortex_tmb_khalida_venom_staff_stage_1
CLAN_ELDERS	wh2_dlc09_great_vortex_tmb_khalida_venom_staff_stage_2
CLAN_ELDERS	wh2_dlc09_great_vortex_tmb_khalida_venom_staff_stage_3
CLAN_ELDERS	wh2_dlc09_great_vortex_tmb_khatep_the_liche_staff_stage_5
CLAN_ELDERS	wh2_dlc09_great_vortex_tmb_settra_the_blessed_blade_of_ptra_stage_1
CLAN_ELDERS	wh2_dlc09_great_vortex_tmb_settra_the_blessed_blade_of_ptra_stage_2
CLAN_ELDERS	wh2_dlc09_great_vortex_tmb_settra_the_blessed_blade_of_ptra_stage_3
CLAN_ELDERS	wh2_dlc09_great_vortex_tmb_settra_the_crown_of_nehekhara_stage_1
CLAN_ELDERS	wh2_dlc09_great_vortex_tmb_settra_the_crown_of_nehekhara_stage_2
CLAN_ELDERS	wh2_dlc09_great_vortex_tmb_settra_the_crown_of_nehekhara_stage_5
CLAN_ELDERS	wh2_dlc09_mis_tmb_assassinate_character_agent_brt
CLAN_ELDERS	wh2_dlc09_mis_tmb_assassinate_character_agent_bst
CLAN_ELDERS	wh2_dlc09_mis_tmb_assassinate_character_agent_chs
CLAN_ELDERS	wh2_dlc09_mis_tmb_assassinate_character_agent_def
CLAN_ELDERS	wh2_dlc09_mis_tmb_assassinate_character_agent_dwf
CLAN_ELDERS	wh2_dlc09_mis_tmb_assassinate_character_agent_emp
CLAN_ELDERS	wh2_dlc09_mis_tmb_assassinate_character_agent_grn
CLAN_ELDERS	wh2_dlc09_mis_tmb_assassinate_character_agent_hef
CLAN_ELDERS	wh2_dlc09_mis_tmb_assassinate_character_agent_lzd
CLAN_ELDERS	wh2_dlc09_mis_tmb_assassinate_character_agent_skv
CLAN_ELDERS	wh2_dlc09_mis_tmb_assassinate_character_agent_tmb
CLAN_ELDERS	wh2_dlc09_mis_tmb_assassinate_character_agent_vmp
CLAN_ELDERS	wh2_dlc09_mis_tmb_assassinate_character_agent_wef
CLAN_ELDERS	wh2_dlc09_mis_tmb_capture_regions_brt
CLAN_ELDERS	wh2_dlc09_mis_tmb_capture_regions_def
CLAN_ELDERS	wh2_dlc09_mis_tmb_capture_regions_dwf
CLAN_ELDERS	wh2_dlc09_mis_tmb_capture_regions_emp
CLAN_ELDERS	wh2_dlc09_mis_tmb_capture_regions_grn
CLAN_ELDERS	wh2_dlc09_mis_tmb_capture_regions_hef
CLAN_ELDERS	wh2_dlc09_mis_tmb_capture_regions_lzd
CLAN_ELDERS	wh2_dlc09_mis_tmb_capture_regions_skv
CLAN_ELDERS	wh2_dlc09_mis_tmb_capture_regions_tmb
CLAN_ELDERS	wh2_dlc09_mis_tmb_capture_regions_vmp
CLAN_ELDERS	wh2_dlc09_mis_tmb_capture_regions_wef
CLAN_ELDERS	wh2_dlc09_mis_tmb_declare_war_brt
CLAN_ELDERS	wh2_dlc09_mis_tmb_declare_war_bst
CLAN_ELDERS	wh2_dlc09_mis_tmb_declare_war_chs
CLAN_ELDERS	wh2_dlc09_mis_tmb_declare_war_def
CLAN_ELDERS	wh2_dlc09_mis_tmb_declare_war_dwf
CLAN_ELDERS	wh2_dlc09_mis_tmb_declare_war_emp
CLAN_ELDERS	wh2_dlc09_mis_tmb_declare_war_grn
CLAN_ELDERS	wh2_dlc09_mis_tmb_declare_war_hef
CLAN_ELDERS	wh2_dlc09_mis_tmb_declare_war_lzd
CLAN_ELDERS	wh2_dlc09_mis_tmb_declare_war_skv
CLAN_ELDERS	wh2_dlc09_mis_tmb_declare_war_tmb
CLAN_ELDERS	wh2_dlc09_mis_tmb_declare_war_vmp
CLAN_ELDERS	wh2_dlc09_mis_tmb_declare_war_wef
CLAN_ELDERS	wh2_dlc09_mis_tmb_diplomatic_assassinate_character
CLAN_ELDERS	wh2_dlc09_mis_tmb_diplomatic_capture_region
CLAN_ELDERS	wh2_dlc09_mis_tmb_diplomatic_eliminate_character_in_battle
CLAN_ELDERS	wh2_dlc09_mis_tmb_diplomatic_engage_force
CLAN_ELDERS	wh2_dlc09_mis_tmb_diplomatic_raid_region
CLAN_ELDERS	wh2_dlc09_mis_tmb_diplomatic_raze_sack_settlement
CLAN_ELDERS	wh2_dlc09_mis_tmb_eliminate_character_in_battle_faction_leader_brt
CLAN_ELDERS	wh2_dlc09_mis_tmb_eliminate_character_in_battle_faction_leader_bst
CLAN_ELDERS	wh2_dlc09_mis_tmb_eliminate_character_in_battle_faction_leader_chs
CLAN_ELDERS	wh2_dlc09_mis_tmb_eliminate_character_in_battle_faction_leader_def
CLAN_ELDERS	wh2_dlc09_mis_tmb_eliminate_character_in_battle_faction_leader_dwf
CLAN_ELDERS	wh2_dlc09_mis_tmb_eliminate_character_in_battle_faction_leader_emp
CLAN_ELDERS	wh2_dlc09_mis_tmb_eliminate_character_in_battle_faction_leader_grn
CLAN_ELDERS	wh2_dlc09_mis_tmb_eliminate_character_in_battle_faction_leader_hef
CLAN_ELDERS	wh2_dlc09_mis_tmb_eliminate_character_in_battle_faction_leader_lzd
CLAN_ELDERS	wh2_dlc09_mis_tmb_eliminate_character_in_battle_faction_leader_skv
CLAN_ELDERS	wh2_dlc09_mis_tmb_eliminate_character_in_battle_faction_leader_tmb
CLAN_ELDERS	wh2_dlc09_mis_tmb_eliminate_character_in_battle_faction_leader_vmp
CLAN_ELDERS	wh2_dlc09_mis_tmb_eliminate_character_in_battle_faction_leader_wef
CLAN_ELDERS	wh2_dlc09_mis_tmb_eliminate_character_in_battle_high_rank_brt
CLAN_ELDERS	wh2_dlc09_mis_tmb_eliminate_character_in_battle_high_rank_bst
CLAN_ELDERS	wh2_dlc09_mis_tmb_eliminate_character_in_battle_high_rank_chs
CLAN_ELDERS	wh2_dlc09_mis_tmb_eliminate_character_in_battle_high_rank_def
CLAN_ELDERS	wh2_dlc09_mis_tmb_eliminate_character_in_battle_high_rank_dwf
CLAN_ELDERS	wh2_dlc09_mis_tmb_eliminate_character_in_battle_high_rank_emp
CLAN_ELDERS	wh2_dlc09_mis_tmb_eliminate_character_in_battle_high_rank_grn
CLAN_ELDERS	wh2_dlc09_mis_tmb_eliminate_character_in_battle_high_rank_hef
CLAN_ELDERS	wh2_dlc09_mis_tmb_eliminate_character_in_battle_high_rank_lzd
CLAN_ELDERS	wh2_dlc09_mis_tmb_eliminate_character_in_battle_high_rank_skv
CLAN_ELDERS	wh2_dlc09_mis_tmb_eliminate_character_in_battle_high_rank_tmb
CLAN_ELDERS	wh2_dlc09_mis_tmb_eliminate_character_in_battle_high_rank_vmp
CLAN_ELDERS	wh2_dlc09_mis_tmb_eliminate_character_in_battle_high_rank_wef
CLAN_ELDERS	wh2_dlc09_mis_tmb_engage_force_army_brt
CLAN_ELDERS	wh2_dlc09_mis_tmb_engage_force_army_bst
CLAN_ELDERS	wh2_dlc09_mis_tmb_engage_force_army_chs
CLAN_ELDERS	wh2_dlc09_mis_tmb_engage_force_army_def
CLAN_ELDERS	wh2_dlc09_mis_tmb_engage_force_army_dwf
CLAN_ELDERS	wh2_dlc09_mis_tmb_engage_force_army_emp
CLAN_ELDERS	wh2_dlc09_mis_tmb_engage_force_army_grn
CLAN_ELDERS	wh2_dlc09_mis_tmb_engage_force_army_hef
CLAN_ELDERS	wh2_dlc09_mis_tmb_engage_force_army_invading_brt
CLAN_ELDERS	wh2_dlc09_mis_tmb_engage_force_army_invading_bst
CLAN_ELDERS	wh2_dlc09_mis_tmb_engage_force_army_invading_chs
CLAN_ELDERS	wh2_dlc09_mis_tmb_engage_force_army_invading_def
CLAN_ELDERS	wh2_dlc09_mis_tmb_engage_force_army_invading_dwf
CLAN_ELDERS	wh2_dlc09_mis_tmb_engage_force_army_invading_emp
CLAN_ELDERS	wh2_dlc09_mis_tmb_engage_force_army_invading_grn
CLAN_ELDERS	wh2_dlc09_mis_tmb_engage_force_army_invading_hef
CLAN_ELDERS	wh2_dlc09_mis_tmb_engage_force_army_invading_lzd
CLAN_ELDERS	wh2_dlc09_mis_tmb_engage_force_army_invading_skv
CLAN_ELDERS	wh2_dlc09_mis_tmb_engage_force_army_invading_tmb
CLAN_ELDERS	wh2_dlc09_mis_tmb_engage_force_army_invading_vmp
CLAN_ELDERS	wh2_dlc09_mis_tmb_engage_force_army_invading_wef
CLAN_ELDERS	wh2_dlc09_mis_tmb_engage_force_army_lzd
CLAN_ELDERS	wh2_dlc09_mis_tmb_engage_force_army_skv
CLAN_ELDERS	wh2_dlc09_mis_tmb_engage_force_army_tmb
CLAN_ELDERS	wh2_dlc09_mis_tmb_engage_force_army_vmp
CLAN_ELDERS	wh2_dlc09_mis_tmb_engage_force_army_wef
CLAN_ELDERS	wh2_dlc09_mis_tmb_make_alliance_0
CLAN_ELDERS	wh2_dlc09_mis_tmb_raid_region_brt
CLAN_ELDERS	wh2_dlc09_mis_tmb_raid_region_def
CLAN_ELDERS	wh2_dlc09_mis_tmb_raid_region_dwf
CLAN_ELDERS	wh2_dlc09_mis_tmb_raid_region_emp
CLAN_ELDERS	wh2_dlc09_mis_tmb_raid_region_grn
CLAN_ELDERS	wh2_dlc09_mis_tmb_raid_region_hef
CLAN_ELDERS	wh2_dlc09_mis_tmb_raid_region_lzd
CLAN_ELDERS	wh2_dlc09_mis_tmb_raid_region_skv
CLAN_ELDERS	wh2_dlc09_mis_tmb_raid_region_tmb
CLAN_ELDERS	wh2_dlc09_mis_tmb_raid_region_vmp
CLAN_ELDERS	wh2_dlc09_mis_tmb_raid_region_wef
CLAN_ELDERS	wh2_dlc09_mis_tmb_raise_force_army
CLAN_ELDERS	wh2_dlc09_mis_tmb_raze_sack_settlement_brt
CLAN_ELDERS	wh2_dlc09_mis_tmb_raze_sack_settlement_def
CLAN_ELDERS	wh2_dlc09_mis_tmb_raze_sack_settlement_dwf
CLAN_ELDERS	wh2_dlc09_mis_tmb_raze_sack_settlement_emp
CLAN_ELDERS	wh2_dlc09_mis_tmb_raze_sack_settlement_grn
CLAN_ELDERS	wh2_dlc09_mis_tmb_raze_sack_settlement_hef
CLAN_ELDERS	wh2_dlc09_mis_tmb_raze_sack_settlement_lzd
CLAN_ELDERS	wh2_dlc09_mis_tmb_raze_sack_settlement_skv
CLAN_ELDERS	wh2_dlc09_mis_tmb_raze_sack_settlement_tmb
CLAN_ELDERS	wh2_dlc09_mis_tmb_raze_sack_settlement_vmp
CLAN_ELDERS	wh2_dlc09_mis_tmb_raze_sack_settlement_wef
CLAN_ELDERS	wh2_dlc09_mis_tmb_recruit_agent_champion
CLAN_ELDERS	wh2_dlc09_mis_tmb_recruit_agent_engineer
CLAN_ELDERS	wh2_dlc09_mis_tmb_recruit_agent_wizard
CLAN_ELDERS	wh2_dlc09_mis_tmb_recruit_unit_land_artillery
CLAN_ELDERS	wh2_dlc09_mis_tmb_recruit_unit_land_cavalry
CLAN_ELDERS	wh2_dlc09_mis_tmb_recruit_unit_land_infantry_melee
CLAN_ELDERS	wh2_dlc09_mis_tmb_recruit_unit_land_infantry_ranged
CLAN_ELDERS	wh2_dlc09_mis_tmb_recruit_unit_land_war_beast
CLAN_ELDERS	wh2_dlc09_mis_tmb_recruit_unit_land_war_machine
CLAN_ELDERS	wh2_dlc09_mortal_empires_tmb_khalida_venom_staff_stage_1
CLAN_ELDERS	wh2_dlc09_mortal_empires_tmb_khalida_venom_staff_stage_2
CLAN_ELDERS	wh2_dlc09_mortal_empires_tmb_khalida_venom_staff_stage_3
CLAN_ELDERS	wh2_dlc09_mortal_empires_tmb_khatep_the_liche_staff_1
CLAN_ELDERS	wh2_dlc09_mortal_empires_tmb_khatep_the_liche_staff_2
CLAN_ELDERS	wh2_dlc09_mortal_empires_tmb_khatep_the_liche_staff_3
CLAN_ELDERS	wh2_dlc09_qb_tmb_arkhan_the_staff_of_nagash_stage_5
CLAN_ELDERS	wh2_dlc09_qb_tmb_final_battle_arkhan
CLAN_ELDERS	wh2_dlc09_qb_tmb_final_battle_khalida
CLAN_ELDERS	wh2_dlc09_qb_tmb_final_battle_khatep
CLAN_ELDERS	wh2_dlc09_qb_tmb_final_battle_settra
CLAN_ELDERS	wh2_dlc09_skv_tretch_lucky_skullhelm_stage_1
CLAN_ELDERS	wh2_dlc09_skv_tretch_lucky_skullhelm_stage_2
CLAN_ELDERS	wh2_dlc09_skv_tretch_lucky_skullhelm_stage_4
CLAN_ELDERS	wh2_dlc09_skv_tretch_lucky_skullhelm_stage_5
CLAN_ELDERS	wh2_dlc09_tmb_arkhan_the_staff_of_nagash_stage_1
CLAN_ELDERS	wh2_dlc09_tmb_arkhan_the_staff_of_nagash_stage_2
CLAN_ELDERS	wh2_dlc09_tmb_arkhan_the_staff_of_nagash_stage_3
CLAN_ELDERS	wh2_dlc09_tmb_arkhan_the_staff_of_nagash_stage_4
CLAN_ELDERS	wh2_dlc09_tmb_arkhan_the_tomb_blade_of_arkhan_stage_1
CLAN_ELDERS	wh2_dlc09_tmb_arkhan_the_tomb_blade_of_arkhan_stage_4
CLAN_ELDERS	wh2_dlc09_tmb_khatep_the_liche_staff_stage_5
CLAN_ELDERS	wh2_dlc09_tmb_settra_the_blessed_blade_of_ptra_stage_1
CLAN_ELDERS	wh2_dlc09_tmb_settra_the_blessed_blade_of_ptra_stage_2
