pooled_resource_factor_junctions_tables	0
unique_id	factor	resource
blood_kiss_assassination	wh2_dlc11_vmp_resource_factor_enemy_character_assassinated	vmp_blood_kiss
blood_kiss_battles	wh2_dlc11_vmp_resource_factor_enemy_general_killed	vmp_blood_kiss
blood_kiss_bloodline_awoken	wh2_dlc11_vmp_resource_factor_bloodline_awoken	vmp_blood_kiss
blood_kiss_other	wh2_dlc11_vmp_resource_factor_other	vmp_blood_kiss
blood_kiss_vassal	wh2_dlc11_vmp_resource_factor_vassal	vmp_blood_kiss
canopic_jars_buildings	buildings	tmb_canopic_jars
canopic_jars_characters	wh2_main_resource_factor_characters	tmb_canopic_jars
canopic_jars_events	wh2_dlc09_resource_factor_events	tmb_canopic_jars
canopic_jars_events_negative	wh2_dlc09_resource_factor_events_negative	tmb_canopic_jars
canopic_jars_great_incantation_of_geheb	wh2_dlc09_resource_factor_great_incantation_of_geheb	tmb_canopic_jars
canopic_jars_harvest_organs	wh2_dlc09_resource_factor_harvest_organs	tmb_canopic_jars
canopic_jars_missions	wh2_main_resource_factor_missions	tmb_canopic_jars
canopic_jars_mortuary_cult	wh2_dlc09_resource_factor_mortuary_cult	tmb_canopic_jars
canopic_jars_other	wh2_main_resource_factor_other	tmb_canopic_jars
canopic_jars_technology	wh2_dlc09_resource_factor_technology_tree	tmb_canopic_jars
dwf_oathgold_buildings	buildings	dwf_oathgold
dwf_oathgold_characters	wh2_main_resource_factor_characters	dwf_oathgold
dwf_oathgold_forging_creating	wh2_main_resource_factor_forging_creating	dwf_oathgold
dwf_oathgold_forging_disassembling	wh2_main_resource_factor_forging_disassembling	dwf_oathgold
dwf_oathgold_missions	wh2_main_resource_factor_forging_grudges	dwf_oathgold
dwf_oathgold_quest_rewards	wh2_main_resource_factor_missions	dwf_oathgold
infamy_assassination	wh2_dlc11_resource_factor_assassination	cst_infamy
infamy_battles	wh2_dlc11_resource_factor_battles	cst_infamy
infamy_edicts	wh2_dlc11_resource_factor_edicts	cst_infamy
infamy_missions	wh2_main_resource_factor_missions	cst_infamy
infamy_other	wh2_dlc11_resource_factor_other	cst_infamy
infamy_pirate_coves	wh2_dlc11_resource_factor_pirate_coves	cst_infamy
infamy_razing	wh2_dlc11_resource_factor_razing	cst_infamy
infamy_sharing_loot	wh2_dlc11_resource_factor_sharing_loot	cst_infamy
infamy_technology	wh2_dlc11_resource_factor_technology	cst_infamy
skaven_food_bribes	bribes	skaven_food
skaven_food_buildings	buildings	skaven_food
skaven_food_canibalism	canibalism	skaven_food
skaven_food_captives	captives	skaven_food
skaven_food_colonisation	colonisation	skaven_food
skaven_food_commandments	commandments	skaven_food
skaven_food_force_upkeep	force_upkeep	skaven_food
skaven_food_looting	looting	skaven_food
skaven_food_menace_below	wh2_main_resource_factor_menace_below	skaven_food
skaven_food_raiding	raiding	skaven_food
skaven_food_regions	regions	skaven_food
skaven_food_rituals	wh2_main_resource_factor_rituals	skaven_food
skaven_food_scavenging	scavenging	skaven_food
skaven_food_technology	technology	skaven_food
skaven_food_the_dominating_scheme	wh2_main_resource_factor_the_dominating_scheme	skaven_food
wh2_main_ritual_currency_buildings	buildings	wh2_main_ritual_currency
wh2_main_ritual_currency_confederation	wh2_main_resource_factor_confederation	wh2_main_ritual_currency
wh2_main_ritual_currency_diplomacy	wh2_main_resource_factor_diplomacy	wh2_main_ritual_currency
wh2_main_ritual_currency_events	wh2_main_resource_factor_events	wh2_main_ritual_currency
wh2_main_ritual_currency_faction	wh2_main_resource_factor_faction	wh2_main_ritual_currency
wh2_main_ritual_currency_looting	looting	wh2_main_ritual_currency
wh2_main_ritual_currency_missions	wh2_main_resource_factor_missions	wh2_main_ritual_currency
wh2_main_ritual_currency_other	wh2_main_resource_factor_other	wh2_main_ritual_currency
wh2_main_ritual_currency_provinces	wh2_main_resource_factor_provinces	wh2_main_ritual_currency
wh2_main_ritual_currency_rituals	wh2_main_resource_factor_rituals	wh2_main_ritual_currency
wh2_main_ritual_currency_treasure_hunt	wh2_main_resource_factor_treasure_hunt	wh2_main_ritual_currency
