battle_personalities_tables	7
key	man_animations_table	type	missile_type	variant	battle_entity	rider_attachment_point	battle_entity_stats	autonomous_rider_hero
wh2_cst_vampire_fleet_admiral_female_promethean	hu1b_cst_admiral_cr1_promethean_wb_cutlass_and_pistol	autonomous_rider		wh2_dlc11_cst_ch_vampire_fleet_admiral_female	wh2_dlc11_cst_rotting_promethean_rider_360_blood	ap_promethean_rider_0	wh2_cst_vampire_fleet_admiral_female_promethean	true
wh2_cst_vampire_fleet_captain_promethean	hu1b_cst_admiral_cr1_promethean_wb_cutlass_and_pistol	autonomous_rider		wh2_dlc11_cst_ch_vampire_fleet_captain	wh2_dlc11_cst_rotting_promethean_rider_360_blood	ap_promethean_rider_0	wh2_cst_vampire_fleet_captain_promethean	true
wh2_def_dreadlord_dragon	hu1d_elf_dr1_dragon_wb_sword_and_crossbow	autonomous_rider		wh2_main_def_dreadlord	wh2_main_def_cavarly_rider_170_hero_blood		wh2_def_dreadlord_dragon	true
wh2_def_dreadlord_female_dragon	hu1b_elf_dr1_dragon_wb_sword_and_shield	autonomous_rider		wh2_main_def_dreadlord_female	wh_main_cavalry_rider_standard_blood			true
wh2_dlc09_tmb_arkhan_chariot_steed1	hr1_vmp_skeletal_steed_mortisengine	autonomous_rider		wh2_dlc09_tmb_skeletal_steed_chariot	wh_main_infantry_rider	ap_horseposition_0		false
wh2_dlc09_tmb_arkhan_chariot_steed2	hr1_vmp_skeletal_steed_mortisengine	autonomous_rider		wh2_dlc09_tmb_skeletal_steed_chariot	wh_main_infantry_rider	ap_horseposition_1		false
wh2_dlc09_tmb_arkhan_chariot_steed3	hr1_vmp_skeletal_steed_mortisengine	autonomous_rider		wh2_dlc09_tmb_skeletal_steed_chariot	wh_main_infantry_rider	ap_horseposition_2		false
wh2_dlc09_tmb_arkhan_chariot_steed4	hr1_vmp_skeletal_steed_mortisengine	autonomous_rider		wh2_dlc09_tmb_skeletal_steed_chariot	wh_main_infantry_rider	ap_horseposition_3		false
wh2_dlc09_tmb_casket_of_souls_khatep	hu1_liche_priest_wm_tomb_chariot01_staff_and_sword	autonomous_rider		wh2_dlc09_tmb_ch_khatep	wh2_dlc09_tmb_skeleton_infantry_hero_lord	ap_riderposition_0		false
wh2_dlc09_tmb_casket_of_souls_rider1	hu1_liche_priest_staff_and_sword	autonomous_rider		wh2_dlc09_tmb_liche_priest_casket	wh_main_infantry_rider	ap_riderposition_0		false
wh2_dlc09_tmb_chariot_rider_0	hu1_tomb_wm_tomb_chariot01_whip	autonomous_rider		wh2_dlc09_tmb_skeleton_charioteer_whip	wh2_dlc09_tmb_skeleton	ap_crewposition_0		false
wh2_dlc09_tmb_chariot_rider_1	hu1_tomb_wm_tomb_chariot01_2handed_halberd	autonomous_rider		wh2_dlc09_tmb_tomb_guard_halberd	wh2_dlc09_tmb_skeleton	ap_crewposition_1		false
wh2_dlc09_tmb_chariot_rider_1_archer	hu1_tomb_wm_tomb_chariot01_sword_and_bow	autonomous_rider		wh2_dlc09_tmb_skeleton_sword_bow	wh2_dlc09_tmb_chariot_rider_bow_360	ap_crewposition_1	wh2_dlc09_tmb_chariot_bow	false
wh2_dlc09_tmb_chariot_rider_1_arkhan	hu1_arkhan_wm_tomb_chariot01_staff_and_sword	autonomous_rider		wh2_dlc09_tmb_ch_arkhan	wh2_dlc09_tmb_skeleton_infantry_hero_lord	ap_crewposition_1		true
wh2_dlc09_tmb_chariot_rider_1_khalida	hu1b_tomb_wm_chariot01_staff_and_sword	autonomous_rider		wh2_dlc09_tmb_ch_khalida	wh2_dlc09_tmb_skeleton_infantry_hero_lord	ap_crewposition_1		false
wh2_dlc09_tmb_chariot_rider_1_khatep	hu1_liche_priest_wm_tomb_chariot01_staff_and_sword	autonomous_rider		wh2_dlc09_tmb_ch_khatep	wh2_dlc09_tmb_skeleton_infantry_hero_lord	ap_crewposition_1		false
