campaign_group_member_criteria_subcultures_tables	0
member	subculture
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionBeastmen	wh_dlc03_sc_bst_beastmen
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionBeastmen_&_Negative	wh_dlc03_sc_bst_beastmen
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionBeastmen_&_Positive	wh_dlc03_sc_bst_beastmen
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionBretonnia	wh_main_sc_brt_bretonnia
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionBretonnia_&_Negative	wh_main_sc_brt_bretonnia
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionBretonnia_&_Positive	wh_main_sc_brt_bretonnia
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionChaos	wh_main_sc_chs_chaos
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionChaos_&_Negative	wh_main_sc_chs_chaos
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionChaos_&_Positive	wh_main_sc_chs_chaos
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionDarkElves	wh2_main_sc_def_dark_elves
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionDarkElves_&_Negative	wh2_main_sc_def_dark_elves
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionDarkElves_&_Positive	wh2_main_sc_def_dark_elves
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionDwarf	wh_main_sc_dwf_dwarfs
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionDwarf_&_Negative	wh_main_sc_dwf_dwarfs
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionDwarf_&_Positive	wh_main_sc_dwf_dwarfs
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionEmpire	wh_main_sc_emp_empire
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionEmpire_&_Negative	wh_main_sc_emp_empire
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionEmpire_&_Positive	wh_main_sc_emp_empire
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionGreenskin	wh_main_sc_grn_greenskins
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionGreenskin_&_Negative	wh_main_sc_grn_greenskins
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionGreenskin_&_Positive	wh_main_sc_grn_greenskins
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionHighElves	wh2_main_sc_hef_high_elves
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionHighElves_&_Negative	wh2_main_sc_hef_high_elves
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionHighElves_&_Positive	wh2_main_sc_hef_high_elves
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionLizardmen	wh2_main_sc_lzd_lizardmen
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionLizardmen_&_Negative	wh2_main_sc_lzd_lizardmen
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionLizardmen_&_Positive	wh2_main_sc_lzd_lizardmen
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionSkaven	wh2_main_sc_skv_skaven
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionSkaven_&_Negative	wh2_main_sc_skv_skaven
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionSkaven_&_Positive	wh2_main_sc_skv_skaven
