cai_construction_system_synergies_tables	1
existing_building_chain_key	existing_building_level_inclusive_end	existing_building_level_inclusive_start	potential_buiding_chain_key	potential_building_level_inclusive_end	potential_building_level_inclusive_start	synergy_level_key	synergy_policy_key	existing_building_instance	existing_building_super_chain	potential_building_instance	potential_building_super_chain	synergy_scope_key
wh2_dlc09_special_settlement_altdorf_tmb	wh2_dlc09_special_settlement_altdorf_tmb_5	wh2_dlc09_special_settlement_altdorf_tmb_5	wh2_dlc09_tmb_growth	wh2_dlc09_tmb_growth_3	wh2_dlc09_tmb_growth_1	cai_cs_negative_level_high	cai_cs_synergy_policy_default		wh_main_sch_special_settlement_altdorf		wh2_dlc09_sch_tmb_growth	CAI_SYNERGY_SCOPE_PROVINCEWIDE
wh2_dlc09_special_settlement_altdorf_tmb	wh2_dlc09_special_settlement_altdorf_tmb_5	wh2_dlc09_special_settlement_altdorf_tmb_5	wh2_dlc09_tmb_income	wh2_dlc09_tmb_income_3	wh2_dlc09_tmb_income_1	cai_cs_negative_level_medium	cai_cs_synergy_policy_default		wh_main_sch_special_settlement_altdorf		wh2_dlc09_sch_tmb_income	CAI_SYNERGY_SCOPE_PROVINCEWIDE
wh2_dlc09_special_settlement_athel_loren_tmb	wh2_dlc09_special_settlement_athel_loren_tmb_5	wh2_dlc09_special_settlement_athel_loren_tmb_5	wh2_dlc09_tmb_growth	wh2_dlc09_tmb_growth_3	wh2_dlc09_tmb_growth_1	cai_cs_negative_level_high	cai_cs_synergy_policy_default		wh_dlc05_sch_wef_settlement_major_main		wh2_dlc09_sch_tmb_growth	CAI_SYNERGY_SCOPE_PROVINCEWIDE
wh2_dlc09_special_settlement_athel_loren_tmb	wh2_dlc09_special_settlement_athel_loren_tmb_5	wh2_dlc09_special_settlement_athel_loren_tmb_5	wh2_dlc09_tmb_income	wh2_dlc09_tmb_income_3	wh2_dlc09_tmb_income_1	cai_cs_negative_level_medium	cai_cs_synergy_policy_default		wh_dlc05_sch_wef_settlement_major_main		wh2_dlc09_sch_tmb_income	CAI_SYNERGY_SCOPE_PROVINCEWIDE
wh2_dlc09_special_settlement_black_crag_tmb	wh2_dlc09_special_settlement_black_crag_tmb_5	wh2_dlc09_special_settlement_black_crag_tmb_5	wh2_dlc09_tmb_growth	wh2_dlc09_tmb_growth_3	wh2_dlc09_tmb_growth_1	cai_cs_negative_level_high	cai_cs_synergy_policy_default		wh_main_sch_special_settlement_black_crag		wh2_dlc09_sch_tmb_growth	CAI_SYNERGY_SCOPE_PROVINCEWIDE
wh2_dlc09_special_settlement_black_crag_tmb	wh2_dlc09_special_settlement_black_crag_tmb_5	wh2_dlc09_special_settlement_black_crag_tmb_5	wh2_dlc09_tmb_income	wh2_dlc09_tmb_income_3	wh2_dlc09_tmb_income_1	cai_cs_negative_level_medium	cai_cs_synergy_policy_default		wh_main_sch_special_settlement_black_crag		wh2_dlc09_sch_tmb_income	CAI_SYNERGY_SCOPE_PROVINCEWIDE
wh2_dlc09_special_settlement_castle_drakenhof_tmb	wh2_dlc09_special_settlement_castle_drakenhof_tmb_5	wh2_dlc09_special_settlement_castle_drakenhof_tmb_5	wh2_dlc09_tmb_growth	wh2_dlc09_tmb_growth_3	wh2_dlc09_tmb_growth_1	cai_cs_negative_level_high	cai_cs_synergy_policy_default		wh_main_sch_special_settlement_castle_drakenhof		wh2_dlc09_sch_tmb_growth	CAI_SYNERGY_SCOPE_PROVINCEWIDE
wh2_dlc09_special_settlement_castle_drakenhof_tmb	wh2_dlc09_special_settlement_castle_drakenhof_tmb_5	wh2_dlc09_special_settlement_castle_drakenhof_tmb_5	wh2_dlc09_tmb_income	wh2_dlc09_tmb_income_3	wh2_dlc09_tmb_income_1	cai_cs_negative_level_medium	cai_cs_synergy_policy_default		wh_main_sch_special_settlement_castle_drakenhof		wh2_dlc09_sch_tmb_income	CAI_SYNERGY_SCOPE_PROVINCEWIDE
wh2_dlc09_special_settlement_couronne_tmb	wh2_dlc09_special_settlement_couronne_tmb_5	wh2_dlc09_special_settlement_couronne_tmb_5	wh2_dlc09_tmb_growth	wh2_dlc09_tmb_growth_3	wh2_dlc09_tmb_growth_1	cai_cs_negative_level_high	cai_cs_synergy_policy_default		wh_main_sch_special_settlement_couronne		wh2_dlc09_sch_tmb_growth	CAI_SYNERGY_SCOPE_PROVINCEWIDE
wh2_dlc09_special_settlement_couronne_tmb	wh2_dlc09_special_settlement_couronne_tmb_5	wh2_dlc09_special_settlement_couronne_tmb_5	wh2_dlc09_tmb_income	wh2_dlc09_tmb_income_3	wh2_dlc09_tmb_income_1	cai_cs_negative_level_medium	cai_cs_synergy_policy_default		wh_main_sch_special_settlement_couronne		wh2_dlc09_sch_tmb_income	CAI_SYNERGY_SCOPE_PROVINCEWIDE
wh2_dlc09_special_settlement_eight_peaks_tmb	wh2_dlc09_special_settlement_eight_peaks_tmb_5	wh2_dlc09_special_settlement_eight_peaks_tmb_5	wh2_dlc09_tmb_growth	wh2_dlc09_tmb_growth_3	wh2_dlc09_tmb_growth_1	cai_cs_negative_level_high	cai_cs_synergy_policy_default		wh_main_sch_special_settlement_eight_peaks		wh2_dlc09_sch_tmb_growth	CAI_SYNERGY_SCOPE_PROVINCEWIDE
wh2_dlc09_special_settlement_eight_peaks_tmb	wh2_dlc09_special_settlement_eight_peaks_tmb_5	wh2_dlc09_special_settlement_eight_peaks_tmb_5	wh2_dlc09_tmb_income	wh2_dlc09_tmb_income_3	wh2_dlc09_tmb_income_1	cai_cs_negative_level_medium	cai_cs_synergy_policy_default		wh_main_sch_special_settlement_eight_peaks		wh2_dlc09_sch_tmb_income	CAI_SYNERGY_SCOPE_PROVINCEWIDE
wh2_dlc09_special_settlement_gaean_vale_tmb	wh2_dlc09_special_settlement_gaean_vale_tmb_5	wh2_dlc09_special_settlement_gaean_vale_tmb_1	wh2_dlc09_tmb_growth	wh2_dlc09_tmb_growth_3	wh2_dlc09_tmb_growth_1	cai_cs_negative_level_high	cai_cs_synergy_policy_default		wh_main_sch_settlement_major		wh2_dlc09_sch_tmb_growth	CAI_SYNERGY_SCOPE_PROVINCEWIDE
wh2_dlc09_special_settlement_gaean_vale_tmb	wh2_dlc09_special_settlement_gaean_vale_tmb_5	wh2_dlc09_special_settlement_gaean_vale_tmb_1	wh2_dlc09_tmb_income	wh2_dlc09_tmb_income_3	wh2_dlc09_tmb_income_1	cai_cs_negative_level_medium	cai_cs_synergy_policy_default		wh_main_sch_settlement_major		wh2_dlc09_sch_tmb_income	CAI_SYNERGY_SCOPE_PROVINCEWIDE
wh2_dlc09_special_settlement_hexoatl_tmb	wh2_dlc09_special_settlement_hexoatl_tmb_5	wh2_dlc09_special_settlement_hexoatl_tmb_5	wh2_dlc09_tmb_growth	wh2_dlc09_tmb_growth_3	wh2_dlc09_tmb_growth_1	cai_cs_negative_level_high	cai_cs_synergy_policy_default		wh2_main_sch_special_settlement_hexoatl		wh2_dlc09_sch_tmb_growth	CAI_SYNERGY_SCOPE_PROVINCEWIDE
