technology_ui_groups_tables	6
key	colour_red	colour_green	colour_blue	optional_background_image
brt_chivalry	175	75	125	
brt_heraldry	175	75	125	
cst_1	175	75	125	
cst_2	175	75	125	
cst_3	175	75	125	
cst_4	175	75	125	
cst_5	175	75	125	
hef_0	175	100	100	
hef_1	175	50	150	
hef_2	175	75	125	
hef_3	175	30	140	
hef_4	175	150	50	
hef_5	175	80	40	
lzd_1	175	150	250	
lzd_2	175	150	250	
lzd_3	175	150	50	
lzd_4	175	150	50	
lzd_5	175	150	50	
lzd_6	175	150	50	
lzd_7	175	150	50	
lzd_8	175	150	50	
tmb_1	175	100	100	tech_watermark_dynasty_1.png
tmb_2	175	50	150	tech_watermark_dynasty_2.png
tmb_3	175	75	125	tech_watermark_dynasty_3.png
tmb_4	175	30	140	tech_watermark_dynasty_4.png
tmb_5	175	150	50	tech_watermark_dynasty_5.png
tmb_6	175	80	40	tech_watermark_dynasty_6.png
tmb_7	175	100	100	tech_watermark_dynasty_7.png
