sacrifices_to_sotek_rituals_tables	0
order	ritual	tier
0	wh2_dlc12_tehenhauin_sacrifice_tier1_banner	5
1	wh2_dlc12_tehenhauin_sacrifice_tier1_follower	5
2	wh2_dlc12_tehenhauin_sacrifice_tier1_jungle_swarm	5
3	wh2_dlc12_tehenhauin_sacrifice_tier1_replenishment	5
4	wh2_dlc12_tehenhauin_sacrifice_tier1_ror_cohort_of_sotek	5
5	wh2_dlc12_tehenhauin_sacrifice_tier1_ror_legion_of_chaqua	5
0	wh2_dlc12_tehenhauin_sacrifice_tier2_banner	4
1	wh2_dlc12_tehenhauin_sacrifice_tier2_follower	4
2	wh2_dlc12_tehenhauin_sacrifice_tier2_recruitment	4
2	wh2_dlc12_tehenhauin_sacrifice_tier2_ror_colossadon_hunters	3
4	wh2_dlc12_tehenhauin_sacrifice_tier2_ror_pok_hopak_cohort	4
0	wh2_dlc12_tehenhauin_sacrifice_tier3_banner	3
1	wh2_dlc12_tehenhauin_sacrifice_tier3_follower	3
3	wh2_dlc12_tehenhauin_sacrifice_tier3_ror_pahuax_sentinels	4
3	wh2_dlc12_tehenhauin_sacrifice_tier3_ror_the_umbral_tide	3
0	wh2_dlc12_tehenhauin_sacrifice_tier4_banner	2
1	wh2_dlc12_tehenhauin_sacrifice_tier4_follower	2
2	wh2_dlc12_tehenhauin_sacrifice_tier4_legendary_red_crested_skink_lord	2
0	wh2_dlc12_tehenhauin_sacrifice_tier4_ror_star_chamber_guardians	1
1	wh2_dlc12_tehenhauin_sacrifice_tier5_ror_the_thunderous_one	1
0	wh2_dlc12_tehenhauin_sacrifice_tier6_sotek	0
