new_content_alerts_tables	0
button_url	image_path	key	header	show_order
store.steampowered.com/app/835671	UI/Portraits/Units/wh2_main_def_dark_elves/def_cha_lokhir_0.png	coast_free	14	0
store.steampowered.com/app/835670	UI/skins/default/new_content_COAST.png	coast_paid	14	1
game.intel.com/total_war_warhammer_2?utm_campaign=Lab-DLC	UI/skins/default/new_content_LAB.png	lab_free	11	0
store.steampowered.com/app/617810	UI\skins\default\new_content_MORTALEMPIRES.png	mortal_free	10	0
store.steampowered.com/app/781190	UI/skins/default/new_content_MWNL18.png	mwnl18_free	12	0
store.steampowered.com/app/794110	UI/Portraits/Units/wh2_main_hef_high_elves/hef_alith_anar_0.png	queen_free	13	1
https://dashboard.totalwar.com/home	ui/skins/default/new_content_NORSCA.png	queen_free_norsca	13	0
store.steampowered.com/app/779880	UI/skins/default/new_content_QUEEN.png	queen_paid	13	2
store.steampowered.com/app/735420	UI/Portraits/Units/wh2_main_skv_skaven/skv_tretch_craventail_0.png	tomb_kings_free	11	1
store.steampowered.com/app/617870	UI/skins/default/new_content_TOMB_KINGS.png	tomb_kings_paid	11	2
