dilemmas_tables	5
generate	key	localised_description	localised_title	ui_image	prioritized	event_category	sound_popup_override	sound_click_override
false	wh2_dlc08_confederate_wh2_main_nor_aghol	The leader of the Aghol tribe has been defeated; a once powerful warlord now reduced to obscurity beneath your might. For as you stand tall in victory he kneels at your side, hands in chains, his followers stood amongst yours, brought to a halt in anticipation of your next utterance. His men now see him as weak and unfit to lead any longer, this is a chance for you to take control of this faction's forces and land, as well as its followers' dubious loyalty.\n\nThough, while the allure of land may appear to make this choice a simple one, do not let the challenges that a larger empire creates escape you - perhaps simply killing this man and letting whatever is left of his faction fade into memory may be a more fitting end...	Warlord Defeated	army_morale_up	true	Event		
false	wh2_dlc08_confederate_wh2_main_nor_mung	The leader of the Mung tribe has been defeated; a once powerful warlord now reduced to obscurity beneath your might. For as you stand tall in victory he kneels at your side, hands in chains, his followers stood amongst yours, brought to a halt in anticipation of your next utterance. His men now see him as weak and unfit to lead any longer, this is a chance for you to take control of this faction's forces and land, as well as its followers' dubious loyalty.\n\nThough, while the allure of land may appear to make this choice a simple one, do not let the challenges that a larger empire creates escape you - perhaps simply killing this man and letting whatever is left of his faction fade into memory may be a more fitting end...	Warlord Defeated	army_morale_up	true	Event		
false	wh2_dlc08_confederate_wh2_main_nor_skeggi	The leader of the Skeggi tribe has been defeated; a once powerful warlord now reduced to obscurity beneath your might. For as you stand tall in victory he kneels at your side, hands in chains, his followers stood amongst yours, brought to a halt in anticipation of your next utterance. His men now see him as weak and unfit to lead any longer, this is a chance for you to take control of this faction's forces and land, as well as its followers' dubious loyalty.\n\nThough, while the allure of land may appear to make this choice a simple one, do not let the challenges that a larger empire creates escape you - perhaps simply killing this man and letting whatever is left of his faction fade into memory may be a more fitting end...	Warlord Defeated	army_morale_up	true	Event		
false	wh2_dlc08_confederate_wh_dlc08_nor_goromadny_tribe	The leader of the Goromadny Tribe has been defeated; a once powerful warlord now reduced to obscurity beneath your might. For as you stand tall in victory he kneels at your side, hands in chains, his followers stood amongst yours, brought to a halt in anticipation of your next utterance. His men now see him as weak and unfit to lead any longer, this is a chance for you to take control of this faction's forces and land, as well as its followers' dubious loyalty.\n\nThough, while the allure of land may appear to make this choice a simple one, do not let the challenges that a larger empire creates escape you - perhaps simply killing this man and letting whatever is left of his faction fade into memory may be a more fitting end...	Warlord Defeated	army_morale_up	true	Event		
false	wh2_dlc08_confederate_wh_dlc08_nor_helspire_tribe	The leader of the Helspire Tribe has been defeated; a once powerful warlord now reduced to obscurity beneath your might. For as you stand tall in victory he kneels at your side, hands in chains, his followers stood amongst yours, brought to a halt in anticipation of your next utterance. His men now see him as weak and unfit to lead any longer, this is a chance for you to take control of this faction's forces and land, as well as its followers' dubious loyalty.\n\nThough, while the allure of land may appear to make this choice a simple one, do not let the challenges that a larger empire creates escape you - perhaps simply killing this man and letting whatever is left of his faction fade into memory may be a more fitting end...	Warlord Defeated	army_morale_up	true	Event		
false	wh2_dlc08_confederate_wh_dlc08_nor_naglfarlings	The leader of the Naglfarlings tribe has been defeated; a once powerful warlord now reduced to obscurity beneath your might. For as you stand tall in victory he kneels at your side, hands in chains, his followers stood amongst yours, brought to a halt in anticipation of your next utterance. His men now see him as weak and unfit to lead any longer, this is a chance for you to take control of this faction's forces and land, as well as its followers' dubious loyalty.\n\nThough, while the allure of land may appear to make this choice a simple one, do not let the challenges that a larger empire creates escape you - perhaps simply killing this man and letting whatever is left of his faction fade into memory may be a more fitting end...	Warlord Defeated	army_morale_up	true	Event		
false	wh2_dlc08_confederate_wh_dlc08_nor_norsca	The leader of Norsca, Wulfrik, has been defeated; the Wanderer meets his match at last. His followers look on in horror, their unwavering belief in their leader dashed in an instant, even this legend cannot deny your supremecy amongst all Norscans now. Surely now is the time to seize control, bring his domain into yours, take all that was once his. Or, you may free him... as an insult perhaps, an unending torment for this foe - the choice is yours.	Wulfrik Defeated	army_morale_up	true	Event		
false	wh2_dlc08_confederate_wh_dlc08_nor_vanaheimlings	The leader of the Vanaheimlings tribe has been defeated; a once powerful warlord now reduced to obscurity beneath your might. For as you stand tall in victory he kneels at your side, hands in chains, his followers stood amongst yours, brought to a halt in anticipation of your next utterance. His men now see him as weak and unfit to lead any longer, this is a chance for you to take control of this faction's forces and land, as well as its followers' dubious loyalty.\n\nThough, while the allure of land may appear to make this choice a simple one, do not let the challenges that a larger empire creates escape you - perhaps simply killing this man and letting whatever is left of his faction fade into memory may be a more fitting end...	Warlord Defeated	army_morale_up	true	Event		
false	wh2_dlc08_confederate_wh_dlc08_nor_wintertooth	The leader of Wintertooth, Throgg, has been defeated; the King of the Trolls brought low at last. His followers look on in horror, their unwavering belief in their leader dashed in an instant, even this legend cannot deny your supremecy amongst all Norscans now. Surely now is the time to seize control, bring his domain into yours, take all that was once his. Or, you may free him... as an insult perhaps, an unending torment for this foe - the choice is yours.	Throgg Defeated	army_morale_up	true	Event		
false	wh2_dlc08_confederate_wh_main_nor_aesling	The leader of the Aesling tribe has been defeated; a once powerful warlord now reduced to obscurity beneath your might. For as you stand tall in victory he kneels at your side, hands in chains, his followers stood amongst yours, brought to a halt in anticipation of your next utterance. His men now see him as weak and unfit to lead any longer, this is a chance for you to take control of this faction's forces and land, as well as its followers' dubious loyalty.\n\nThough, while the allure of land may appear to make this choice a simple one, do not let the challenges that a larger empire creates escape you - perhaps simply killing this man and letting whatever is left of his faction fade into memory may be a more fitting end...	Warlord Defeated	army_morale_up	true	Event		
