rituals_tables	12
interruptable	key	cast_time	completion_payload	cooldown_time	category	slave_cost	global_cooldown_time	start_payload	icon	failure_cooldown_time	hostile	required_resources	expanded_resources
false	wh2_dlc09_ritual_crafting_tmb_arcane_item_blue_khepra	0	wh2_dlc09_ritual_crafting_tmb_arcane_item_blue_khepra	0	CRAFTING_RITUAL	0	0			0	false		wh2_dlc09_ritual_crafting_tmb_arcane_item_blue_khepra
false	wh2_dlc09_ritual_crafting_tmb_arcane_item_enkhils_kanopi	0	wh2_dlc09_ritual_crafting_tmb_arcane_item_enkhils_kanopi	0	CRAFTING_RITUAL	0	0			0	false		wh2_dlc09_ritual_crafting_tmb_arcane_item_enkhils_kanopi
false	wh2_dlc09_ritual_crafting_tmb_arcane_item_neferras_scrolls_of_mighty_incantations	0	wh2_dlc09_ritual_crafting_tmb_arcane_item_neferras_scrolls_of_mighty_incantations	0	CRAFTING_RITUAL	0	0			0	false		wh2_dlc09_ritual_crafting_tmb_arcane_item_neferras_scrolls_of_mighty_incantations
false	wh2_dlc09_ritual_crafting_tmb_arcane_item_power_scroll	0	wh2_dlc09_ritual_crafting_tmb_arcane_item_power_scroll	0	CRAFTING_RITUAL	0	0			0	false		wh2_dlc09_ritual_crafting_tmb_arcane_item_power_scroll
false	wh2_dlc09_ritual_crafting_tmb_arcane_item_scroll_of_leeching	0	wh2_dlc09_ritual_crafting_tmb_arcane_item_scroll_of_leeching	0	CRAFTING_RITUAL	0	0			0	false		wh2_dlc09_ritual_crafting_tmb_arcane_item_scroll_of_leeching
false	wh2_dlc09_ritual_crafting_tmb_arcane_item_scroll_of_shielding	0	wh2_dlc09_ritual_crafting_tmb_arcane_item_scroll_of_shielding	0	CRAFTING_RITUAL	0	0			0	false		wh2_dlc09_ritual_crafting_tmb_arcane_item_scroll_of_shielding
false	wh2_dlc09_ritual_crafting_tmb_armour_armour_of_dawn	0	wh2_dlc09_ritual_crafting_tmb_armour_armour_of_dawn	0	CRAFTING_RITUAL	0	0			0	false		wh2_dlc09_ritual_crafting_tmb_armour_armour_of_dawn
false	wh2_dlc09_ritual_crafting_tmb_armour_armour_of_eternity	0	wh2_dlc09_ritual_crafting_tmb_armour_armour_of_eternity	0	CRAFTING_RITUAL	0	0			0	false		wh2_dlc09_ritual_crafting_tmb_armour_armour_of_eternity
false	wh2_dlc09_ritual_crafting_tmb_armour_armour_of_the_ages	0	wh2_dlc09_ritual_crafting_tmb_armour_armour_of_the_ages	0	CRAFTING_RITUAL	0	0			0	false		wh2_dlc09_ritual_crafting_tmb_armour_armour_of_the_ages
false	wh2_dlc09_ritual_crafting_tmb_armour_helmet_of_khsar	0	wh2_dlc09_ritual_crafting_tmb_armour_helmet_of_khsar	0	CRAFTING_RITUAL	0	0			0	false		wh2_dlc09_ritual_crafting_tmb_armour_helmet_of_khsar
false	wh2_dlc09_ritual_crafting_tmb_armour_mortuary_robes	0	wh2_dlc09_ritual_crafting_tmb_armour_mortuary_robes	0	CRAFTING_RITUAL	0	0			0	false		wh2_dlc09_ritual_crafting_tmb_armour_mortuary_robes
false	wh2_dlc09_ritual_crafting_tmb_armour_scorpion_armour	0	wh2_dlc09_ritual_crafting_tmb_armour_scorpion_armour	9999	CRAFTING_RITUAL	0	0			0	false		wh2_dlc09_ritual_crafting_tmb_armour_scorpion_armour
false	wh2_dlc09_ritual_crafting_tmb_armour_shield_of_ptra	0	wh2_dlc09_ritual_crafting_tmb_armour_shield_of_ptra	0	CRAFTING_RITUAL	0	0			0	false		wh2_dlc09_ritual_crafting_tmb_armour_shield_of_ptra
false	wh2_dlc09_ritual_crafting_tmb_armour_skull_cap_of_the_moon	0	wh2_dlc09_ritual_crafting_tmb_armour_skull_cap_of_the_moon	0	CRAFTING_RITUAL	0	0			0	false		wh2_dlc09_ritual_crafting_tmb_armour_skull_cap_of_the_moon
false	wh2_dlc09_ritual_crafting_tmb_army_capacity	0	wh2_dlc09_ritual_crafting_tmb_army_capacity	0	CRAFTING_RITUAL	0	0		UI\skins\default\crafting_ritual_army_capacity.png	0	false		wh2_dlc09_ritual_crafting_tmb_army_capacity
false	wh2_dlc09_ritual_crafting_tmb_carrion	0	wh2_dlc09_ritual_crafting_tmb_carrion	9999	CRAFTING_RITUAL	0	0			0	false		wh2_dlc09_ritual_crafting_tmb_carrion
false	wh2_dlc09_ritual_crafting_tmb_enchanted_item_brooch_of_the_great_desert	0	wh2_dlc09_ritual_crafting_tmb_enchanted_item_brooch_of_the_great_desert	0	CRAFTING_RITUAL	0	0			0	false		wh2_dlc09_ritual_crafting_tmb_enchanted_item_brooch_of_the_great_desert
false	wh2_dlc09_ritual_crafting_tmb_enchanted_item_death_mask_of_kharnut	0	wh2_dlc09_ritual_crafting_tmb_enchanted_item_death_mask_of_kharnut	0	CRAFTING_RITUAL	0	0			0	false		wh2_dlc09_ritual_crafting_tmb_enchanted_item_death_mask_of_kharnut
false	wh2_dlc09_ritual_crafting_tmb_enchanted_item_elixir_of_might	0	wh2_dlc09_ritual_crafting_tmb_enchanted_item_elixir_of_might	0	CRAFTING_RITUAL	0	0			0	false		wh2_dlc09_ritual_crafting_tmb_enchanted_item_elixir_of_might
false	wh2_dlc09_ritual_crafting_tmb_enchanted_item_hieratic_jar	0	wh2_dlc09_ritual_crafting_tmb_enchanted_item_hieratic_jar	0	CRAFTING_RITUAL	0	0			0	false		wh2_dlc09_ritual_crafting_tmb_enchanted_item_hieratic_jar
