land_units_additional_personalities_groups_junctions_tables	0
battle_personality	group
wh_main_grn_mon_arachnarok_spider_rider_0	grn_mon_arachnarok_spider_goblin_riders
wh_main_grn_mon_arachnarok_spider_rider_1	grn_mon_arachnarok_spider_goblin_riders
wh_main_grn_mon_arachnarok_spider_rider_2	grn_mon_arachnarok_spider_goblin_riders
wh_main_grn_mon_arachnarok_spider_rider_3	grn_mon_arachnarok_spider_goblin_riders
wh_main_grn_mon_arachnarok_spider_rider_4	grn_mon_arachnarok_spider_goblin_riders
wh_main_grn_mon_arachnarok_spider_rider_5	grn_mon_arachnarok_spider_goblin_riders
wh_main_grn_mon_arachnarok_spider_rider_6	grn_mon_arachnarok_spider_goblin_riders
wh_main_grn_mon_arachnarok_spider_rider_7	grn_mon_arachnarok_spider_goblin_riders
wh_main_grn_mon_arachnarok_spider_rider_0	test_war_machine_rider
wh_main_grn_mon_arachnarok_spider_rider_1	test_war_machine_rider
wh_main_grn_mon_arachnarok_spider_rider_2	test_war_machine_rider
wh_main_grn_mon_arachnarok_spider_rider_3	test_war_machine_rider
wh2_dlc09_tmb_casket_of_souls_khatep	wh2_dlc09_tmb_casket_of_souls_khatep
wh2_dlc09_tmb_casket_of_souls_rider1	wh2_dlc09_tmb_casket_of_souls_rider1
wh2_dlc09_tmb_chariot_rider_0	wh2_dlc09_tmb_chariot_riders_archers
wh2_dlc09_tmb_chariot_rider_1_archer	wh2_dlc09_tmb_chariot_riders_archers
wh2_dlc09_tmb_arkhan_chariot_steed1	wh2_dlc09_tmb_chariot_riders_arkhan
wh2_dlc09_tmb_arkhan_chariot_steed2	wh2_dlc09_tmb_chariot_riders_arkhan
wh2_dlc09_tmb_arkhan_chariot_steed3	wh2_dlc09_tmb_chariot_riders_arkhan
wh2_dlc09_tmb_arkhan_chariot_steed4	wh2_dlc09_tmb_chariot_riders_arkhan
wh2_dlc09_tmb_chariot_rider_0	wh2_dlc09_tmb_chariot_riders_arkhan
wh2_dlc09_tmb_chariot_rider_1_arkhan	wh2_dlc09_tmb_chariot_riders_arkhan
wh2_dlc09_tmb_chariot_rider_0	wh2_dlc09_tmb_chariot_riders_khalida
wh2_dlc09_tmb_chariot_rider_1_khalida	wh2_dlc09_tmb_chariot_riders_khalida
wh2_dlc09_tmb_chariot_rider_0	wh2_dlc09_tmb_chariot_riders_khatep
wh2_dlc09_tmb_chariot_rider_1_khatep	wh2_dlc09_tmb_chariot_riders_khatep
wh2_dlc09_tmb_chariot_rider_0	wh2_dlc09_tmb_chariot_riders_king
wh2_dlc09_tmb_chariot_rider_1_king	wh2_dlc09_tmb_chariot_riders_king
wh2_dlc09_tmb_chariot_rider_0	wh2_dlc09_tmb_chariot_riders_necrotect
wh2_dlc09_tmb_chariot_rider_1_necrotect	wh2_dlc09_tmb_chariot_riders_necrotect
wh2_dlc09_tmb_chariot_rider_0	wh2_dlc09_tmb_chariot_riders_prince
wh2_dlc09_tmb_chariot_rider_1_prince	wh2_dlc09_tmb_chariot_riders_prince
wh2_dlc09_tmb_chariot_rider_0	wh2_dlc09_tmb_chariot_riders_settra
wh2_dlc09_tmb_chariot_rider_1_settra	wh2_dlc09_tmb_chariot_riders_settra
wh2_dlc09_tmb_chariot_rider_0	wh2_dlc09_tmb_chariot_riders
wh2_dlc09_tmb_chariot_rider_1	wh2_dlc09_tmb_chariot_riders
wh2_dlc09_tmb_warsphinx_rider_0	wh2_dlc09_tmb_warsphinx_riders
wh2_dlc09_tmb_warsphinx_rider_1	wh2_dlc09_tmb_warsphinx_riders
wh2_dlc09_tmb_warsphinx_rider_2	wh2_dlc09_tmb_warsphinx_riders
wh2_dlc09_tmb_warsphinx_rider_3	wh2_dlc09_tmb_warsphinx_riders
wh2_dlc10_def_veh_cauldron_of_blood_crone	wh2_dlc10_def_cauldron_of_blood_crone_riders
wh2_main_def_veh_cauldron_of_blood_rider_0	wh2_dlc10_def_cauldron_of_blood_crone_riders
wh2_main_def_veh_cauldron_of_blood_rider_1	wh2_dlc10_def_cauldron_of_blood_crone_riders
wh2_dlc10_hef_chariot_mage_heavens	wh2_dlc10_hef_ithilmar_chariot_horse_mage_heavens_officer
wh2_main_hef_ithilmar_chariot_charioteer	wh2_dlc10_hef_ithilmar_chariot_horse_mage_heavens_officer
wh2_dlc10_hef_chariot_mage_shadows	wh2_dlc10_hef_ithilmar_chariot_horse_mage_shadows_officer
wh2_main_hef_ithilmar_chariot_charioteer	wh2_dlc10_hef_ithilmar_chariot_horse_mage_shadows_officer
wh2_dlc11_cst_leviathan_cylostra_rider0	wh2_dlc11_cst_leviathan_cylostra_riders
wh2_dlc11_cst_mon_rotting_leviathan_rider_0	wh2_dlc11_cst_leviathan_zombie_riders
wh2_dlc11_cst_mon_rotting_leviathan_rider_1	wh2_dlc11_cst_leviathan_zombie_riders
wh2_dlc11_cst_mon_rotting_leviathan_rider_2	wh2_dlc11_cst_leviathan_zombie_riders
wh2_dlc11_cst_mon_rotting_leviathan_rider_3	wh2_dlc11_cst_leviathan_zombie_riders
wh2_dlc11_cst_mon_rotting_leviathan_rider_4	wh2_dlc11_cst_leviathan_zombie_riders
wh2_dlc11_cst_mon_deck_dropper_rider_0	wh2_dlc11_cst_mon_deck_dropper_riders_0
