character_traits_tables	2
key	no_going_back_level	hidden	precedence	icon	ui_priority	pre_battle_speech_parameter
wh2_dlc09_dummy_trait_dynasty_1	1	false	1	tomb_kings	1	
wh2_dlc09_dummy_trait_dynasty_2	1	false	1	tomb_kings	1	
wh2_dlc09_dummy_trait_dynasty_3	1	false	1	tomb_kings	1	
wh2_dlc09_dummy_trait_dynasty_4	1	false	1	tomb_kings	1	
wh2_dlc09_dummy_trait_dynasty_5	1	false	1	tomb_kings	1	
wh2_dlc09_dummy_trait_dynasty_6	1	false	1	tomb_kings	1	
wh2_dlc09_trait_benevolence	1	false	1	skaven	1	
wh2_dlc09_trait_defeated_arkhan	1	false	1	tomb_kings	1	
wh2_dlc09_trait_defeated_khalida	1	false	1	tomb_kings	1	
wh2_dlc09_trait_defeated_khatep	1	false	1	tomb_kings	1	
wh2_dlc09_trait_defeated_settra	1	false	1	tomb_kings	1	
wh2_dlc09_trait_defeated_settra_as_surtha	1	false	1	tomb_kings	1	
wh2_dlc09_trait_defeated_surtha_as_settra	1	false	1	chaos	1	
wh2_dlc09_trait_defeated_tretch	1	false	1	skaven	1	
wh2_dlc09_trait_dynasty_alkhazzar_ii	1	false	1	tomb_kings	1	
wh2_dlc09_trait_dynasty_lahmizzash	1	false	1	tomb_kings	1	
wh2_dlc09_trait_dynasty_rakhash	1	false	1	tomb_kings	1	
wh2_dlc09_trait_dynasty_setep	1	false	1	tomb_kings	1	
wh2_dlc09_trait_dynasty_thutep	1	false	1	tomb_kings	1	
wh2_dlc09_trait_dynasty_wakhaf	1	false	1	tomb_kings	1	
wh2_dlc09_trait_merciless	1	false	1	skaven	0	
wh2_dlc09_trait_patience	1	false	1	skaven	0	
wh2_dlc09_trait_settra_title	1	false	55	tomb_kings	1	
wh2_dlc09_trait_settra_title_start	1	false	55	tomb_kings	0	
wh2_dlc09_trait_spymaster	1	false	1	skaven	0	
wh2_dlc10_trait_alarielle_chaos	1	false	1	chaos	-1	
wh2_dlc10_trait_alarielle_chaos_none	1	false	1	chaos	0	
wh2_dlc10_trait_defeated_alarielle	1	false	1	high_elves	1	
wh2_dlc10_trait_defeated_alith_anar	1	false	1	high_elves	1	
wh2_dlc10_trait_defeated_hellebron	1	false	1	dark_elves	1	
wh2_dlc10_trait_sword_of_khaine	1	false	50	sword_of_khaine	-1	
wh2_dlc11_admiral_01_trait	1	false	1	trait_good	1	
wh2_dlc11_admiral_02_trait	1	false	1	trait_good	1	
wh2_dlc11_admiral_03_trait	1	false	1	trait_good	1	
wh2_dlc11_admiral_04_trait	1	false	1	trait_good	1	
wh2_dlc11_trait_defeated_aranessa_saltspite	1	false	1	vampire_coast	1	
wh2_dlc11_trait_defeated_count_noctilus	1	false	1	vampire_coast	1	
wh2_dlc11_trait_defeated_cylostra_direfin	1	false	1	vampire_coast	1	
wh2_dlc11_trait_defeated_lokhir_fellheart	1	false	1	dark_elves	1	
wh2_dlc11_trait_defeated_luthor_harkon	1	false	1	vampire_coast	1	
wh2_dlc11_trait_harkon_personality_coward	1	false	1	harkon_fractured	-1	
wh2_dlc11_trait_harkon_personality_hateful	1	false	1	harkon_fractured	-1	
wh2_dlc11_trait_harkon_personality_mad	1	false	1	harkon_fractured	-1	
wh2_dlc11_trait_harkon_personality_prideful	1	false	1	harkon_fractured	-1	
wh2_dlc11_trait_harkon_personality_restored	1	false	1	harkon_restored	1	
wh2_dlc11_trait_incentive	1	false	1	loyalty	1	
wh2_dlc11_trait_incentive_counter	1	false	1	loyalty	-1	
wh2_dlc11_trait_lokhir_black_ark_dummy	1	true	99	personality	0	
wh2_main_trait_agent_action_assassinate	1	false	1	trait_good	1	
wh2_main_trait_agent_action_assault_garrison	1	false	1	trait_good	1	
wh2_main_trait_agent_action_assault_unit	1	false	1	trait_good	1	
wh2_main_trait_agent_action_assault_units	1	false	1	trait_good	1	
wh2_main_trait_agent_action_block_army	1	false	1	trait_good	1	
wh2_main_trait_agent_action_cause_earthquake	1	false	1	trait_good	1	
wh2_main_trait_agent_action_damage_building	1	false	1	trait_good	1	
wh2_main_trait_agent_action_damage_walls	1	false	1	trait_good	1	
wh2_main_trait_agent_action_hinder_replenishment	1	false	1	trait_good	1	
wh2_main_trait_agent_action_scout_settlement	1	false	1	trait_good	1	
wh2_main_trait_agent_action_steal_technology	1	false	1	trait_good	1	
wh2_main_trait_agent_action_wound	1	false	1	trait_good	1	
wh2_main_trait_agent_actions	1	false	1	trait_good	1	
wh2_main_trait_agent_actions_against_beastmen	1	false	1	beastmen	1	
wh2_main_trait_agent_actions_against_chaos	1	false	1	chaos	1	
wh2_main_trait_agent_actions_against_dark_elves	1	false	1	dark_elves	1	
wh2_main_trait_agent_actions_against_dwarfs	1	false	1	dwarf	1	
wh2_main_trait_agent_actions_against_greenskins	1	false	1	greenskin	1	
wh2_main_trait_agent_actions_against_high_elves	1	false	1	high_elves	1	
wh2_main_trait_agent_actions_against_humans	1	false	1	human	1	
wh2_main_trait_agent_actions_against_lizardmen	1	false	1	lizardmen	1	
wh2_main_trait_agent_actions_against_skaven	1	false	1	skaven	1	
wh2_main_trait_agent_actions_against_tomb_kings	1	false	1	tomb_kings	1	
wh2_main_trait_agent_actions_against_vampire_coast	1	false	1	vampire_coast	1	
wh2_main_trait_agent_actions_against_vampires	1	false	1	vampire_counts	1	
wh2_main_trait_agent_actions_against_wood_elves	1	false	1	wood_elf	1	
wh2_main_trait_agent_target_fail	1	false	1	trait_good	1	
wh2_main_trait_agent_target_success	1	false	1	trait_bad	-1	
wh2_main_trait_attacking_defeat	1	false	1	trait_bad	-1	
wh2_main_trait_attacking_victory	1	false	1	trait_good	1	
wh2_main_trait_black_ark_building_wh2_main_horde_def_beasts_1	1	false	1	dark_elves	0	
wh2_main_trait_black_ark_building_wh2_main_horde_def_beasts_2	1	false	1	dark_elves	0	
wh2_main_trait_black_ark_building_wh2_main_horde_def_beasts_3	1	false	1	dark_elves	0	
wh2_main_trait_black_ark_building_wh2_main_horde_def_bombardment_a_1	1	false	1	dark_elves	0	
wh2_main_trait_black_ark_building_wh2_main_horde_def_bombardment_a_2	1	false	1	dark_elves	0	
wh2_main_trait_black_ark_building_wh2_main_horde_def_bombardment_b_1	1	false	1	dark_elves	0	
wh2_main_trait_black_ark_building_wh2_main_horde_def_bombardment_b_2	1	false	1	dark_elves	0	
wh2_main_trait_black_ark_building_wh2_main_horde_def_bombardment_c_1	1	false	1	dark_elves	0	
wh2_main_trait_black_ark_building_wh2_main_horde_def_bombardment_c_2	1	false	1	dark_elves	0	
wh2_main_trait_black_ark_building_wh2_main_horde_def_entertainment_1	1	false	1	dark_elves	0	
wh2_main_trait_black_ark_building_wh2_main_horde_def_entertainment_2	1	false	1	dark_elves	0	
wh2_main_trait_black_ark_building_wh2_main_horde_def_entertainment_3	1	false	1	dark_elves	0	
wh2_main_trait_black_ark_building_wh2_main_horde_def_military_1	1	false	1	dark_elves	0	
wh2_main_trait_black_ark_building_wh2_main_horde_def_military_2	1	false	1	dark_elves	0	
wh2_main_trait_black_ark_building_wh2_main_horde_def_military_3	1	false	1	dark_elves	0	
wh2_main_trait_black_ark_building_wh2_main_horde_def_settlement_2	1	false	1	dark_elves	0	
wh2_main_trait_black_ark_building_wh2_main_horde_def_settlement_3	1	false	1	dark_elves	0	
wh2_main_trait_black_ark_building_wh2_main_horde_def_settlement_4	1	false	1	dark_elves	0	
wh2_main_trait_black_ark_building_wh2_main_horde_def_settlement_5	1	false	1	dark_elves	0	
wh2_main_trait_black_ark_building_wh2_main_horde_def_slavery_1	1	false	1	dark_elves	0	
wh2_main_trait_black_ark_building_wh2_main_horde_def_slavery_2	1	false	1	dark_elves	0	
wh2_main_trait_black_ark_building_wh2_main_horde_def_slavery_3	1	false	1	dark_elves	0	
wh2_main_trait_black_ark_building_wh2_main_horde_def_sorcery_1	1	false	1	dark_elves	0	
wh2_main_trait_black_ark_building_wh2_main_horde_def_sorcery_2	1	false	1	dark_elves	0	
wh2_main_trait_black_ark_building_wh2_main_horde_def_worship_1	1	false	1	dark_elves	0	
wh2_main_trait_black_ark_building_wh2_main_horde_def_worship_2	1	false	1	dark_elves	0	
wh2_main_trait_brutally_honest	1	false	1	skaven	1	
wh2_main_trait_builder	1	false	1	trait_good	1	
wh2_main_trait_casualties	1	false	1	trait_good	1	
wh2_main_trait_corrupted_chaos	1	false	1	trait_bad	-1	
wh2_main_trait_corrupted_skaven	1	false	1	trait_bad	-1	
wh2_main_trait_corrupted_vampire	1	false	1	trait_bad	-1	
wh2_main_trait_def_assassins_end	1	false	1	trait_good	1	
wh2_main_trait_def_favoured	1	false	1	trait_good	1	
wh2_main_trait_def_name_of_power_ar_01_lifequencher	1	false	1	dark_elves	1	
wh2_main_trait_def_name_of_power_ar_02_the_tempest_of_talons	1	false	1	dark_elves	1	
wh2_main_trait_def_name_of_power_ar_03_shadowdart	1	false	1	dark_elves	1	
wh2_main_trait_def_name_of_power_ar_04_barbstorm	1	false	1	dark_elves	1	
wh2_main_trait_def_name_of_power_ar_05_beastbinder	1	false	1	dark_elves	1	
wh2_main_trait_def_name_of_power_ar_06_fangshield	1	false	1	dark_elves	1	
wh2_main_trait_def_name_of_power_ar_07_wrathbringer	1	false	1	dark_elves	1	
wh2_main_trait_def_name_of_power_ar_08_moonshadow	1	false	1	dark_elves	1	
wh2_main_trait_def_name_of_power_ar_09_granitestance	1	false	1	dark_elves	1	
wh2_main_trait_def_name_of_power_ar_10_the_grey_vanquisher	1	false	1	dark_elves	1	
wh2_main_trait_def_name_of_power_ar_11_krakenclaw	1	false	1	dark_elves	1	
wh2_main_trait_def_name_of_power_ar_12_grimgaze	1	false	1	dark_elves	1	
wh2_main_trait_def_name_of_power_ca_01_dreadtongue	1	false	1	dark_elves	1	
wh2_main_trait_def_name_of_power_ca_02_darkpath	1	false	1	dark_elves	1	
wh2_main_trait_def_name_of_power_ca_03_khainemarked	1	false	1	dark_elves	1	
wh2_main_trait_def_name_of_power_ca_04_the_black_conqueror	1	false	1	dark_elves	1	
wh2_main_trait_def_name_of_power_ca_05_leviathanrage	1	false	1	dark_elves	1	
wh2_main_trait_def_name_of_power_ca_06_emeraldeye	1	false	1	dark_elves	1	
wh2_main_trait_def_name_of_power_ca_07_barbedlash	1	false	1	dark_elves	1	
wh2_main_trait_def_name_of_power_ca_08_pathguard	1	false	1	dark_elves	1	
wh2_main_trait_def_name_of_power_ca_09_the_dark_marshall	1	false	1	dark_elves	1	
wh2_main_trait_def_name_of_power_ca_10_the_dire_overseer	1	false	1	dark_elves	1	
wh2_main_trait_def_name_of_power_ca_11_gatesmiter	1	false	1	dark_elves	1	
wh2_main_trait_def_name_of_power_ca_12_the_tormentor	1	false	1	dark_elves	1	
wh2_main_trait_def_name_of_power_co_01_blackstone	1	false	1	dark_elves	1	
wh2_main_trait_def_name_of_power_co_02_wyrmscale	1	false	1	dark_elves	1	
wh2_main_trait_def_name_of_power_co_03_poisonblade	1	false	1	dark_elves	1	
wh2_main_trait_def_name_of_power_co_04_headreaper	1	false	1	dark_elves	1	
wh2_main_trait_def_name_of_power_co_05_spiteheart	1	false	1	dark_elves	1	
wh2_main_trait_def_name_of_power_co_06_soulblaze	1	false	1	dark_elves	1	
wh2_main_trait_def_name_of_power_co_07_bloodscourge	1	false	1	dark_elves	1	
wh2_main_trait_def_name_of_power_co_08_griefbringer	1	false	1	dark_elves	1	
wh2_main_trait_def_name_of_power_co_09_the_hand_of_wrath	1	false	1	dark_elves	1	
wh2_main_trait_def_name_of_power_co_10_fatedshield	1	false	1	dark_elves	1	
wh2_main_trait_def_name_of_power_co_11_drakecleaver	1	false	1	dark_elves	1	
wh2_main_trait_def_name_of_power_co_12_hydrablood	1	false	1	dark_elves	1	
wh2_main_trait_defeated_alberic_de_bordeleaux	1	false	1	bretonnia	1	
wh2_main_trait_defeated_archaon_the_everchosen	1	false	1	chaos	1	
wh2_main_trait_defeated_azhag_the_slaughterer	1	false	1	greenskin	1	
wh2_main_trait_defeated_balthasar_gelt	1	false	1	human	1	
wh2_main_trait_defeated_belegar_ironhammer	1	false	1	dwarf	1	
wh2_main_trait_defeated_durthu	1	false	1	wood_elf	1	
wh2_main_trait_defeated_fay_enchantress	1	false	1	bretonnia	1	
wh2_main_trait_defeated_grimgor_ironhide	1	false	1	greenskin	1	
wh2_main_trait_defeated_grombrindal	1	false	1	dwarf	1	
wh2_main_trait_defeated_heinrich_kemmler	1	false	1	vampire_counts	1	
wh2_main_trait_defeated_helmen_ghorst	1	false	1	vampire_counts	1	
wh2_main_trait_defeated_isabella_von_carstein	1	false	1	vampire_counts	1	
