campaign_mercenary_unit_character_level_restrictions_tables	0
character_level	unit
13	wh2_dlc09_tmb_inf_skeleton_archers_ror
10	wh2_dlc09_tmb_inf_skeleton_spearmen_ror
16	wh2_dlc09_tmb_inf_tomb_guard_ror
30	wh2_dlc09_tmb_mon_necrosphinx_ror
20	wh2_dlc09_tmb_mon_sepulchral_stalkers_ror
23	wh2_dlc09_tmb_mon_ushabti_ror
26	wh2_dlc10_def_cav_knights_of_the_ebon_claw_ror_0
16	wh2_dlc10_def_cav_raven_heralds_ror_0
23	wh2_dlc10_def_cav_slaanesh_harvesters_ror_0
26	wh2_dlc10_def_inf_blades_of_the_blood_queen_ror_0
20	wh2_dlc10_def_inf_sisters_of_the_singing_doom_ror_0
13	wh2_dlc10_def_inf_the_bolt_fiends_ror_0
10	wh2_dlc10_def_inf_the_hellebronai_ror_0
30	wh2_dlc10_def_mon_chill_of_sontar_ror_0
30	wh2_dlc10_hef_cav_the_fireborn_ror_0
13	wh2_dlc10_hef_cav_the_heralds_of_the_wind_ror_0
26	wh2_dlc10_hef_inf_everqueens_court_guards_ror_0
26	wh2_dlc10_hef_inf_keepers_of_the_flame_ror_0
23	wh2_dlc10_hef_inf_the_grey_ror_0
10	wh2_dlc10_hef_inf_the_scions_of_mathlann_ror_0
20	wh2_dlc10_hef_inf_the_silverpelts_ror_0
16	wh2_dlc10_hef_inf_the_storm_riders_ror_0
0	wh2_dlc11_cst_art_queen_bess
0	wh2_dlc11_vmp_inf_crossbowmen
0	wh2_dlc11_vmp_inf_handgunners
23	wh_dlc04_emp_art_hammer_of_the_witches_0
26	wh_dlc04_emp_art_sunmaker_0
30	wh_dlc04_emp_cav_royal_altdorf_gryphites_0
20	wh_dlc04_emp_cav_zintlers_reiksguard_0
10	wh_dlc04_emp_inf_sigmars_sons_0
16	wh_dlc04_emp_inf_silver_bullets_0
13	wh_dlc04_emp_inf_stirlands_revenge_0
20	wh_dlc04_emp_inf_tattersouls_0
23	wh_dlc04_emp_veh_templehof_luminark_0
26	wh_dlc04_vmp_cav_chillgheists_0
23	wh_dlc04_vmp_cav_vereks_reavers_0
16	wh_dlc04_vmp_inf_feasters_in_the_dusk_0
10	wh_dlc04_vmp_inf_konigstein_stalkers_0
23	wh_dlc04_vmp_inf_sternsmen_0
13	wh_dlc04_vmp_inf_tithe_0
20	wh_dlc04_vmp_mon_devils_swartzhafen_0
13	wh_dlc04_vmp_mon_direpack_0
30	wh_dlc04_vmp_veh_claw_of_nagash_0
16	wh_dlc06_dwf_art_gob_lobber_0
16	wh_dlc06_dwf_inf_dragonback_slayers_0
10	wh_dlc06_dwf_inf_ekrund_miners_0
26	wh_dlc06_dwf_inf_norgrimlings_ironbreakers_0
26	wh_dlc06_dwf_inf_norgrimlings_irondrakes_0
20	wh_dlc06_dwf_inf_old_grumblers_0
23	wh_dlc06_dwf_inf_peak_gate_guard_0
23	wh_dlc06_dwf_inf_ulthars_raiders_0
13	wh_dlc06_dwf_inf_warriors_dragonfire_pass_0
30	wh_dlc06_dwf_veh_skyhammer_0
23	wh_dlc06_grn_art_hammer_of_gork_0
26	wh_dlc06_grn_cav_broken_tusks_mob_0
16	wh_dlc06_grn_cav_deff_creepers_0
13	wh_dlc06_grn_cav_durkits_squigs_0
13	wh_dlc06_grn_cav_mogrubbs_marauders_0
10	wh_dlc06_grn_cav_moon_howlers_0
23	wh_dlc06_grn_cav_teef_robbers_0
20	wh_dlc06_grn_inf_da_eight_peaks_loonies_0
16	wh_dlc06_grn_inf_da_rusty_arrers_0
16	wh_dlc06_grn_inf_da_warlords_boyz_0
26	wh_dlc06_grn_inf_krimson_killerz_0
30	wh_dlc06_grn_mon_venom_queen_0
0	wh_dlc08_chs_mon_dragon_ogre_shaggoth_boss
0	wh_dlc08_nor_art_hellcannon_battery
0	wh_dlc08_nor_mon_frost_wyrm_ror_0
0	wh_dlc08_nor_mon_war_mammoth_ror_1
20	wh_pro04_brt_cav_knights_errant_ror_0
13	wh_pro04_brt_cav_knights_of_the_realm_ror_0
10	wh_pro04_brt_cav_mounted_yeomen_ror_0
30	wh_pro04_brt_cav_questing_knights_ror_0
16	wh_pro04_brt_inf_battle_pilgrims_ror_0
25	wh_pro04_brt_inf_foot_squires_ror_0
20	wh_pro04_bst_inf_bestigor_herd_ror_0
16	wh_pro04_bst_inf_centigors_ror_0
30	wh_pro04_bst_inf_cygor_ror_0
13	wh_pro04_bst_inf_gor_herd_ror_0
25	wh_pro04_bst_inf_minotaurs_ror_0
10	wh_pro04_bst_inf_ungor_spearmen_ror_0
30	wh_pro04_chs_art_hellcannon_ror_0
20	wh_pro04_chs_cav_chaos_knights_ror_0
13	wh_pro04_chs_inf_chaos_warriors_ror_0
10	wh_pro04_chs_inf_forsaken_ror_0
16	wh_pro04_chs_mon_chaos_spawn_ror_0
25	wh_pro04_chs_mon_dragon_ogre_ror_0
10	wh_pro04_nor_inf_chaos_marauders_ror_0
16	wh_pro04_nor_inf_marauder_berserkers_ror_0
25	wh_pro04_nor_mon_fimir_ror_0
13	wh_pro04_nor_mon_marauder_warwolves_ror_0
20	wh_pro04_nor_mon_skinwolves_ror_0
30	wh_pro04_nor_mon_war_mammoth_ror_0
25	wh_pro04_wef_cav_wild_riders_ror_0
10	wh_pro04_wef_inf_eternal_guard_ror_0
13	wh_pro04_wef_inf_wardancers_ror_0
16	wh_pro04_wef_inf_waywatchers_ror_0
20	wh_pro04_wef_inf_wildwood_rangers_ror_0
30	wh_pro04_wef_mon_treekin_ror_0
