campaign_rogue_army_leaders_tables	2
faction	agent_subtype	is_male	name	surname	clan_name	other_name	artset	can_naturally_spawn
wh2_dlc09_rogue_black_creek_raiders	wh2_main_def_dreadlord	true	848352627	793593009			wh2_main_art_set_def_dreadlord_01	false
wh2_dlc09_rogue_dwellers_of_zardok	dlc03_bst_beastlord	true	75138399	132142701			wh_dlc03_art_set_bst_beastlord_01	false
wh2_dlc09_rogue_eyes_of_the_jungle	dlc05_wef_glade_lord	true	1565275289	1103279261			wh_dlc05_art_set_wef_glade_lord_01	false
wh2_dlc09_rogue_pilgrims_of_myrmidia	brt_lord	true	1140520652	361810911			wh_main_art_set_brt_lord_01	false
wh2_dlc11_cst_harpoon_the_sunken_land_corsairs	wh2_main_def_dreadlord	true	1480988115	1473200750			wh2_main_art_set_def_dreadlord_02	false
wh2_dlc11_cst_rogue_bleak_coast_buccaneers	dwf_lord	true	1640996266				wh_main_art_set_dwf_lord_01	false
wh2_dlc11_cst_rogue_boyz_of_the_forbidden_coast	grn_orc_warboss	true	569917641				wh_main_art_set_grn_orc_warboss_01	false
wh2_dlc11_cst_rogue_freebooters_of_port_royale	emp_lord	true	2048091270				wh_main_art_set_emp_general_03	false
wh2_dlc11_cst_rogue_grey_point_scuttlers	wh2_main_skv_grey_seer_ruin	true	135791282				wh2_main_art_set_skv_grey_seer_ruin_01	false
wh2_dlc11_cst_rogue_terrors_of_the_dark_straights	wh2_dlc11_cst_admiral_fem	true	530928427				wh2_dlc11_art_set_cst_admiral_female_deep_01	false
wh2_dlc11_cst_rogue_the_churning_gulf_raiders	nor_marauder_chieftain	true	132048320				wh_main_art_set_nor_marauder_chieftain_01	false
wh2_dlc11_cst_rogue_tyrants_of_the_black_ocean	wh2_main_def_dreadlord	true	1081185254				wh2_main_art_set_def_dreadlord_01	false
wh2_dlc11_cst_shanty_dragon_spine_privateers	wh2_main_hef_prince	true	1848755978				wh2_main_art_set_hef_prince_01	false
wh2_dlc11_cst_shanty_middle_sea_brigands	emp_lord	true	350864146				wh_main_art_set_emp_general_01	false
wh2_dlc11_cst_shanty_shark_straight_seadogs	wh2_dlc11_cst_admiral_death	true	701845855				wh2_dlc11_art_set_cst_barron_von_heastie	false
wh2_main_rogue_abominations	dlc03_bst_beastlord	true	2147358506				wh_dlc03_art_set_bst_beastlord_01	true
wh2_main_rogue_beastcatchas	grn_goblin_great_shaman	true	2147344966				wh_main_art_set_grn_goblin_great_shaman_01	true
wh2_main_rogue_bernhoffs_brigands	emp_lord	true	1904032251				wh_main_art_set_emp_general_01	true
wh2_main_rogue_black_spider_tribe	grn_goblin_great_shaman	true	636483881	1454375978			wh_main_art_set_grn_goblin_great_shaman_02	true
wh2_main_rogue_boneclubbers_tribe	grn_orc_warboss	true	954806498	1077483803			wh_main_art_set_grn_orc_warboss_01	true
wh2_main_rogue_celestial_storm	wh2_main_lzd_saurus_old_blood	true	2049506471				wh2_main_art_set_lzd_saurus_old_blood_01	true
wh2_main_rogue_college_of_pyrotechnics	emp_lord	true	2147357032	2147356839			wh_main_art_set_emp_general_02	true
wh2_main_rogue_def_chs_vashnaar	wh2_main_def_dreadlord	true	2147360712				wh2_main_art_set_def_dreadlord_01	true
wh2_main_rogue_def_mengils_manflayers	wh2_main_def_dreadlord	true	85596645				wh2_main_art_set_def_dreadlord_01	true
wh2_main_rogue_doomseekers	dwf_lord	true	217825847	1675569139			wh_main_art_set_dwf_lord_01	true
wh2_main_rogue_gerhardts_mercenaries	emp_lord	true	2147344111				wh_main_art_set_emp_general_03	true
wh2_main_rogue_hef_tor_elithis	wh2_main_hef_prince	true	2147359017				wh2_main_art_set_hef_prince_01	true
wh2_main_rogue_hung_warband	nor_marauder_chieftain	true	2147356489	2147356240			wh_main_art_set_nor_marauder_chieftain_01	true
wh2_main_rogue_jerrods_errantry	brt_lord	true	386500320				wh_main_art_set_brt_lord_01	true
wh2_main_rogue_mangy_houndz	dlc06_grn_night_goblin_warboss	true	1463170012	1134162982			wh_dlc06_art_set_grn_night_goblin_warboss_01	false
wh2_main_rogue_morrsliebs_howlers	wh2_main_skv_warlord	true	2147360668				wh2_main_art_set_skv_warlord_01	true
wh2_main_rogue_pirates_of_the_far_sea	emp_lord	true	2147357145	2147356736			wh_main_art_set_emp_general_01	false
