ancillaries_tables	16
key	type	applies_to	transferrable	unique_to_world	unique_to_faction	precedence	start_date	end_date	avatar_skill	avatar_special_ability	legendary_item	mp_exclusive	is_wife_ancillary	category	min_starting_age	max_starting_age	min_expiry_age	max_expiry_age	immortal	provided_bodyguard_unit	provided_banner	uniqueness_score	turns_before_swap_allowed	subcategory	randomly_dropped
wh2_dlc09_anc_arcane_item_blue_khepra	wh_main_anc_arcane_item	.	true	false	false	1	0	9999			false	false	false	arcane_item	16	30	30	50	true			40	0		false
wh2_dlc09_anc_arcane_item_enkhils_kanopi	wh_main_anc_arcane_item	.	false	false	false	1	0	9999			false	false	false	arcane_item	16	30	30	50	true			75	0		false
wh2_dlc09_anc_arcane_item_neferras_scrolls_of_mighty_incantations	wh_main_anc_arcane_item	.	false	false	false	1	0	9999			false	false	false	arcane_item	16	30	30	50	true			45	0		false
wh2_dlc09_anc_arcane_item_staff_of_nagash	wh_main_anc_arcane_item	.	false	false	false	1	0	9999			false	false	false	arcane_item	16	30	30	50	true			200	0		false
wh2_dlc09_anc_arcane_item_the_liche_staff	wh_main_anc_arcane_item	.	false	false	false	1	0	9999			false	false	false	arcane_item	16	30	30	50	true			200	0		false
wh2_dlc09_anc_armour_armour_armour_of_dawn	wh_main_anc_armour	.	true	false	false	1	0	9999			false	false	false	armour	16	30	30	50	true			60	0		false
wh2_dlc09_anc_armour_armour_helmet_of_khsar	wh_main_anc_armour	.	true	false	false	1	0	9999			false	false	false	armour	16	30	30	50	true			30	0		false
wh2_dlc09_anc_armour_armour_mortuary_robes	wh_main_anc_armour	.	true	false	false	1	0	9999			false	false	false	armour	16	30	30	50	true			10	0		false
wh2_dlc09_anc_armour_armour_of_eternity	wh_main_anc_armour	.	true	false	false	1	0	9999			false	false	false	armour	16	30	30	50	true			55	0		false
wh2_dlc09_anc_armour_armour_of_the_ages	wh_main_anc_armour	.	true	false	false	1	0	9999			false	false	false	armour	16	30	30	50	true			40	0		false
wh2_dlc09_anc_armour_armour_shield_of_ptra	wh_main_anc_armour	.	true	false	false	1	0	9999			false	false	false	armour	16	30	30	50	true			15	0		false
wh2_dlc09_anc_armour_armour_skull_cap_of_the_moon	wh_main_anc_armour	.	true	false	false	1	0	9999			false	false	false	armour	16	30	30	50	true			15	0		false
wh2_dlc09_anc_armour_scorpion_armour	wh_main_anc_armour	.	true	false	false	1	0	9999			false	false	false	armour	16	30	30	50	true			151	0		false
wh2_dlc09_anc_enchanted_item_brooch_of_the_great_desert	wh_main_anc_enchanted_item	.	true	false	false	1	0	9999			false	false	false	enchanted_item	16	30	30	50	true			45	0		false
wh2_dlc09_anc_enchanted_item_cloak_of_the_dunes	wh_main_anc_enchanted_item	.	false	false	false	1	0	9999			false	false	false	enchanted_item	16	30	30	50	true			40	0		true
wh2_dlc09_anc_enchanted_item_death_mask_of_kharnut	wh_main_anc_enchanted_item	.	true	false	false	1	0	9999			false	false	false	enchanted_item	16	30	30	50	true			30	0		false
wh2_dlc09_anc_enchanted_item_elixir_of_might	wh_main_anc_enchanted_item	.	true	false	false	1	0	9999			false	false	false	enchanted_item	16	30	30	50	true			20	0		false
wh2_dlc09_anc_enchanted_item_golden_deathmask_of_kharnut	wh_main_anc_enchanted_item	.	false	false	false	1	0	9999			false	false	false	enchanted_item	16	30	30	50	true			40	0		true
wh2_dlc09_anc_enchanted_item_hieratic_jar	wh_main_anc_enchanted_item	.	true	false	false	1	0	9999			false	false	false	enchanted_item	16	30	30	50	true			20	0		false
wh2_dlc09_anc_enchanted_item_icon_of_rulership	wh_main_anc_enchanted_item	.	true	false	false	1	0	9999			false	false	false	enchanted_item	16	30	30	50	true			5	0		false
wh2_dlc09_anc_enchanted_item_lucky_skullhelm	wh_main_anc_enchanted_item	.	false	false	false	1	0	9999			false	false	false	enchanted_item	16	30	30	50	true			200	0		false
