projectile_shrapnels_tables	0
key	projectile	amount	launch_type	sector_angle
blasting_charges	wh_main_spell_metal_searing_doom	8	hemisphere	0
doom_shrapnel	wh2_main_hero_abilities_doomrocket_shrapnel	6	sector	75
dreaded_fireworks	wh2_main_spell_plague_the_dreaded_thirteenth_spell_shrapnel	6	hemisphere	0
heal_splosion	wh2_main_army_abilities_vortic_enrichment_shrapnel	16	hemisphere	0
skarsnik_prodder_mini	wh_dlc06_weapon_abilities_skarsniks_prodder_mini	12	hemisphere	0
skaven_bomb	wh2_main_army_abilities_vortic_blast_shrapnel	16	hemisphere	0
stones_falling	wh2_dlc10_item_bound_assault_of_stone	8	hemisphere	0
ushabti_shrapnel	wh2_tmb_ushabti_shrapnel	8	sector	45
wh_dlc03_bst_cygor_boulder_boss_split	wh_dlc03_bst_cygor_boulder_boss_split	9	hemisphere	0
wh_dlc03_bst_cygor_boulder_boss_split_split	wh_dlc03_bst_cygor_boulder_boss_split_split	9	hemisphere	0
wh_dlc09_weapon_abilities_venom_staff_explosion	wh_dlc09_weapon_abilities_venom_staff_mini	5	hemisphere	0
