spawnable_force_unit_list_junctions_tables	0
id	max_amount	max_xp	min_amount	min_xp	spawnable_force	unit_list
0	15	3	10	0	wh2_main_ritual_lzd_primeval_glory	wh2_main_ritual_lzd_primeval_glory
15	19	0	19	0	wh2_main_ritual_intervention_2_hef	wh2_main_ritual_intervention_2_hef
19	19	0	19	0	wh2_main_ritual_intervention_3_hef	wh2_main_ritual_intervention_3_hef
35	19	0	19	0	wh2_main_ritual_intervention_1_def	wh2_main_ritual_intervention_1_def
40	19	0	19	0	wh2_main_ritual_intervention_2_def	wh2_main_ritual_intervention_2_def
44	19	0	19	0	wh2_main_ritual_intervention_3_def	wh2_main_ritual_intervention_3_def
47	19	0	19	0	wh2_main_ritual_intervention_1_lzd	wh2_main_ritual_intervention_1_lzd
54	19	0	19	0	wh2_main_ritual_intervention_2_lzd	wh2_main_ritual_intervention_2_lzd
56	19	0	19	0	wh2_main_ritual_intervention_3_lzd	wh2_main_ritual_intervention_3_lzd
59	19	0	19	0	wh2_main_ritual_intervention_1_skv	wh2_main_ritual_intervention_1_skv
67	19	0	19	0	wh2_main_ritual_intervention_2_skv	wh2_main_ritual_intervention_2_skv
7	19	0	19	0	wh2_main_ritual_intervention_1_hef	wh2_main_ritual_intervention_1_hef
73	19	0	19	0	wh2_main_ritual_intervention_3_skv	wh2_main_ritual_intervention_3_skv
