custom_loading_screen_components_tables	0
component_id	custom_loading_screen_key	image_path
background	wh2_dlc09_skv_clan_rictus_01	UI\loading_ui\load_images\campaign_12.png
custom_quote	wh2_dlc09_skv_clan_rictus_01	
background	wh2_dlc09_skv_clan_rictus_gc	UI\loading_ui\load_images\campaign_12.png
custom_quote	wh2_dlc09_skv_clan_rictus_gc	
background	wh2_dlc09_tmb_exiles_of_nehek_01	UI\loading_ui\load_images\campaign_15.png
custom_quote	wh2_dlc09_tmb_exiles_of_nehek_01	
background	wh2_dlc09_tmb_exiles_of_nehek_gc	UI\loading_ui\load_images\campaign_15.png
custom_quote	wh2_dlc09_tmb_exiles_of_nehek_gc	
background	wh2_dlc09_tmb_followers_of_nagash_01	UI\loading_ui\load_images\campaign_15.png
custom_quote	wh2_dlc09_tmb_followers_of_nagash_01	
background	wh2_dlc09_tmb_followers_of_nagash_gc	UI\loading_ui\load_images\campaign_15.png
custom_quote	wh2_dlc09_tmb_followers_of_nagash_gc	
background	wh2_dlc09_tmb_khemri_01	UI\loading_ui\load_images\campaign_15.png
custom_quote	wh2_dlc09_tmb_khemri_01	
background	wh2_dlc09_tmb_khemri_gc	UI\loading_ui\load_images\campaign_15.png
custom_quote	wh2_dlc09_tmb_khemri_gc	
background	wh2_dlc09_tmb_lybaras_01	UI\loading_ui\load_images\campaign_15.png
custom_quote	wh2_dlc09_tmb_lybaras_01	
background	wh2_dlc09_tmb_lybaras_gc	UI\loading_ui\load_images\campaign_15.png
custom_quote	wh2_dlc09_tmb_lybaras_gc	
background	wh2_dlc10_def_hellebron_01	UI\loading_ui\load_images\campaign_11.png
custom_quote	wh2_dlc10_def_hellebron_01	
background	wh2_dlc10_def_hellebron_gc	UI\loading_ui\load_images\campaign_11.png
custom_quote	wh2_dlc10_def_hellebron_gc	
background	wh2_dlc10_final_battle_victory_def_hellebron	UI\loading_ui\load_images\campaign_11.png
custom_quote	wh2_dlc10_final_battle_victory_def_hellebron	
background	wh2_dlc10_hef_alarielle_01	UI\loading_ui\load_images\campaign_10.png
custom_quote	wh2_dlc10_hef_alarielle_01	
background	wh2_dlc10_hef_alarielle_gc	UI\loading_ui\load_images\campaign_10.png
custom_quote	wh2_dlc10_hef_alarielle_gc	
background	wh2_dlc10_hef_alith_anar_01	UI\loading_ui\load_images\campaign_10.png
custom_quote	wh2_dlc10_hef_alith_anar_01	
background	wh2_dlc10_hef_alith_anar_gc	UI\loading_ui\load_images\campaign_10.png
custom_quote	wh2_dlc10_hef_alith_anar_gc	
background	wh2_dlc11_cst_aranessa_01	UI\loading_ui\load_images\campaign_17.png
custom_quote	wh2_dlc11_cst_aranessa_01	
background	wh2_dlc11_cst_aranessa_gc	UI\loading_ui\load_images\campaign_17.png
custom_quote	wh2_dlc11_cst_aranessa_gc	
background	wh2_dlc11_cst_cylostra_01	UI\loading_ui\load_images\campaign_17.png
custom_quote	wh2_dlc11_cst_cylostra_01	
background	wh2_dlc11_cst_cylostra_gc	UI\loading_ui\load_images\campaign_17.png
custom_quote	wh2_dlc11_cst_cylostra_gc	
background	wh2_dlc11_cst_harkon_01	UI\loading_ui\load_images\campaign_18.png
custom_quote	wh2_dlc11_cst_harkon_01	
background	wh2_dlc11_cst_harkon_gc	UI\loading_ui\load_images\campaign_18.png
custom_quote	wh2_dlc11_cst_harkon_gc	
background	wh2_dlc11_cst_noctilus_01	UI\loading_ui\load_images\campaign_17.png
custom_quote	wh2_dlc11_cst_noctilus_01	
background	wh2_dlc11_cst_noctilus_gc	UI\loading_ui\load_images\campaign_17.png
custom_quote	wh2_dlc11_cst_noctilus_gc	
background	wh2_dlc11_def_lokhir_01	UI\loading_ui\load_images\campaign_11.png
custom_quote	wh2_dlc11_def_lokhir_01	
background	wh2_dlc11_def_lokhir_gc	UI\loading_ui\load_images\campaign_11.png
custom_quote	wh2_dlc11_def_lokhir_gc	
background	wh2_main_def_cult_of_pleasure_01	UI\loading_ui\load_images\campaign_11.png
custom_quote	wh2_main_def_cult_of_pleasure_01	
background	wh2_main_def_malekith_gc	UI\loading_ui\load_images\campaign_11.png
custom_quote	wh2_main_def_malekith_gc	
background	wh2_main_def_morathi_gc	UI\loading_ui\load_images\campaign_11.png
custom_quote	wh2_main_def_morathi_gc	
background	wh2_main_def_naggarond_01	UI\loading_ui\load_images\campaign_11.png
custom_quote	wh2_main_def_naggarond_01	
background	wh2_main_def_naggarond_10	UI\loading_ui\load_images\campaign_11.png
custom_quote	wh2_main_def_naggarond_10	
background	wh2_main_def_naggarond_11	UI\loading_ui\load_images\campaign_11.png
custom_quote	wh2_main_def_naggarond_11	
background	wh2_main_def_naggarond_12	UI\loading_ui\load_images\campaign_11.png
custom_quote	wh2_main_def_naggarond_12	
background	wh2_main_final_battle_victory_def_malekith	UI\loading_ui\load_images\campaign_11.png
custom_quote	wh2_main_final_battle_victory_def_malekith	
background	wh2_main_final_battle_victory_def_morathi	UI\loading_ui\load_images\campaign_11.png
custom_quote	wh2_main_final_battle_victory_def_morathi	
background	wh2_main_final_battle_victory_hef	UI\loading_ui\load_images\campaign_10.png
custom_quote	wh2_main_final_battle_victory_hef	
background	wh2_main_final_battle_victory_lzd	UI\loading_ui\load_images\campaign_9.png
custom_quote	wh2_main_final_battle_victory_lzd	
background	wh2_main_final_battle_victory_skv	UI\loading_ui\load_images\campaign_12.png
custom_quote	wh2_main_final_battle_victory_skv	
background	wh2_main_hef_eataine_01	UI\loading_ui\load_images\campaign_10.png
custom_quote	wh2_main_hef_eataine_01	
background	wh2_main_hef_eataine_10	UI\loading_ui\load_images\campaign_10.png
custom_quote	wh2_main_hef_eataine_10	
background	wh2_main_hef_eataine_11	UI\loading_ui\load_images\campaign_10.png
custom_quote	wh2_main_hef_eataine_11	
background	wh2_main_hef_eataine_12	UI\loading_ui\load_images\campaign_10.png
custom_quote	wh2_main_hef_eataine_12	
background	wh2_main_hef_order_of_loremasters_01	UI\loading_ui\load_images\campaign_10.png
custom_quote	wh2_main_hef_order_of_loremasters_01	
background	wh2_main_hef_teclis_gc	UI\loading_ui\load_images\campaign_10.png
custom_quote	wh2_main_hef_teclis_gc	
background	wh2_main_hef_tyrion_gc	UI\loading_ui\load_images\campaign_10.png
custom_quote	wh2_main_hef_tyrion_gc	
background	wh2_main_lzd_hexoatl_01	UI\loading_ui\load_images\campaign_9.png
custom_quote	wh2_main_lzd_hexoatl_01	
background	wh2_main_lzd_hexoatl_10	UI\loading_ui\load_images\campaign_9.png
custom_quote	wh2_main_lzd_hexoatl_10	
background	wh2_main_lzd_hexoatl_11	UI\loading_ui\load_images\campaign_9.png
custom_quote	wh2_main_lzd_hexoatl_11	
background	wh2_main_lzd_hexoatl_12	UI\loading_ui\load_images\campaign_9.png
