battles_tables	13
key	type	is_naval	specification	screenshot_path	map_path	team_size_1	team_size_2	release	multiplayer	singleplayer	intro_movie	year	defender_funds_ratio	has_key_buildings	matchmaking	playable_area_width	playable_area_height	is_large_settlement	has_15m_walls	is_underground	catchment_name	tile_upgrade	battle_environment	battle_environment_audio
def_bleak_forest_infield_a_2	classic	false	terrain/battles/def_bleak_forest_infield_a/	UI/Frontend UI/battle_map_images/cairnwoods.png		4	4	true	true	true		0	0	false	true	0	0	false	false	false	catchment_02		weather/battle/wh_def_bleak_03.environment	dark_elves_hills
def_bleak_plains_infield_a_2_ambush	ambush	false	terrain/battles/def_bleak_plains_infield_a/	UI/Frontend UI/battle_map_images/grey_guardians.png		1	1	true	true	true		0	0	false	false	0	0	false	false	false	catchment_02		weather/battle/wh_def_bleak_03.environment	dark_elves_hills
def_bleak_plains_infield_a_4	classic	false	terrain/battles/def_bleak_plains_infield_a/	UI/Frontend UI/battle_map_images/bleak_dale.png		4	4	true	true	true		0	0	false	true	0	0	false	false	false	catchment_04		weather/battle/wh_def_bleak_02.environment	dark_elves_hills
def_bleak_river_infield_a_3	classic	false	terrain/battles/def_bleak_river_infield_a/	UI/Frontend UI/battle_map_images/the_pitch_flow.png		4	4	true	true	true		0	0	false	true	0	0	false	false	false	catchment_03		weather/battle/wh_def_bleak_03.environment	dark_elves_hills
def_bleak_river_infield_a_5	classic	false	terrain/battles/def_bleak_river_infield_a/	UI/Frontend UI/battle_map_images/the_twisted_glade.png		4	4	true	true	true		0	0	false	true	0	0	false	false	false	catchment_05		weather/battle/wh_def_02.environment	dark_elves_hills
def_coast_infield_a_3	classic	false	terrain/battles/def_coast_infield_a/	UI/Frontend UI/battle_map_images/doom_glades.png		4	4	true	true	true		0	0	false	true	0	0	false	false	false	catchment_03		weather/battle/wh_def_01.environment	dark_elves_beach
def_coast_infield_a_4	classic	false	terrain/battles/def_coast_infield_a/	UI/Frontend UI/battle_map_images/spite_reach.png		4	4	true	true	true		0	0	false	true	0	0	false	false	false	catchment_04		weather/battle/wh_def_01.environment	dark_elves_hills
def_desert_dunes_infield_a_2	classic	false	terrain/battles/def_desert_dunes_infield_a/	UI/Frontend UI/battle_map_images/red_desert.png		4	4	true	true	true		0	0	false	true	0	0	false	false	false	catchment_02		weather/battle/wh_def_desert_03.environment	dark_elves_desert
def_desert_dunes_infield_a_4_ambush	ambush	false	terrain/battles/def_desert_dunes_infield_a/	UI/Frontend UI/battle_map_images/obsidian_peaks.png		1	1	true	true	true		0	0	false	false	0	0	false	false	false	catchment_04		weather/battle/wh_def_desert_01.environment	dark_elves_desert
def_desert_hills_infield_a_2	classic	false	terrain/battles/def_desert_hills_infield_a/	UI/Frontend UI/battle_map_images/plain_of_spiders.png		4	4	true	true	true		0	0	false	true	0	0	false	false	false	catchment_02		weather/battle/wh_def_desert_03.environment	dark_elves_desert
