cdir_configs_tables	0
campaign_key	faction_key	cdir_config_key	value
all	all	CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_DAMAGE_BIG_LOSER	0
all	all	CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_DAMAGE_BIG_WINNER	0
all	all	CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_DAMAGE_LOSER	0
all	all	CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_DAMAGE_WINNER	0
all	all	CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_LOSSES_BIG_LOSER	0
all	all	CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_LOSSES_BIG_WINNER	0
all	all	CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_LOSSES_LOSER	0
all	all	CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_LOSSES_WINNER	0
all	all	CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_RESULT_BIG_LOSER	0
all	all	CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_RESULT_BIG_WINNER	0
all	all	CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_RESULT_LOSER	0
all	all	CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_RESULT_WINNER	0
all	all	CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_DAMAGE_BIG_LOSER	0
all	all	CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_DAMAGE_BIG_WINNER	1.0
all	all	CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_DAMAGE_LOSER	0
all	all	CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_DAMAGE_WINNER	0.5
all	all	CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_LOSSES_BIG_LOSER	0.0
all	all	CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_LOSSES_BIG_WINNER	0.0
all	all	CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_LOSSES_LOSER	0.0
all	all	CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_LOSSES_WINNER	0.0
all	all	CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_RESULT_BIG_LOSER	0.2
all	all	CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_RESULT_BIG_WINNER	0.8
all	all	CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_RESULT_LOSER	0.9
all	all	CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_RESULT_WINNER	1.5
all	all	CDIR_CVN_BOOST_PLAYER_RIVALS_AMOUNT	500
all	all	CDIR_CVN_BOOST_PLAYER_RIVALS_MAX	5
all	all	CDIR_CVN_BOOST_PLAYER_RIVALS_MIN	5
all	all	CDIR_CVN_BOOST_PLAYER_RIVALS_PERCENTAGE	0.125
all	all	CDIR_CVN_EVENT_GENERATOR_BASE_CHANCE	0.25
all	all	CDIR_CVN_EVENT_GENERATOR_EXTRA_CHANCE_PER_ROUND	0.05
all	all	CDIR_CVN_EVENT_GENERATOR_INCIDENT_BASE_CHANCE	0.1
all	all	CDIR_CVN_EVENT_GENERATOR_INCIDENT_CHANCE_PER_ROUND	0.02
all	all	CDIR_CVN_EVENT_GENERATOR_MIN_ROUNDS_BETWEEN_EVENTS	0
all	all	CDIR_CVN_EVENT_GENERATOR_MISSION_BASE_CHANCE	0.5
all	all	CDIR_CVN_EVENT_GENERATOR_START_AFTER_ROUND	0
all	all	CDIR_CVN_PLAYER_RIVAL_SCORE_DIPLOMATIC_RELATION_PCT	0.1
all	all	CDIR_CVN_PLAYER_RIVAL_SCORE_FAME_PCT	0.5
all	all	CDIR_CVN_PLAYER_RIVAL_SCORE_MINOR_FACTION_WEIGHT	0.33
all	all	CDIR_CVN_PLAYER_RIVAL_SCORE_PROXIMITY_PCT	0.2
all	all	CDIR_CVN_PLAYER_RIVAL_SCORE_VICTORY_REGIONS_PCT	0.2
all	all	CDIR_CVN_UBER_FACTION	0
