agent_subtype_to_vows_tables	0
agent_subtype	vow
brt_lord	grail_vow
brt_lord	knights_vow
brt_lord	questing_vow
brt_louen_leoncouer	grail_vow
brt_louen_leoncouer	knights_vow
brt_louen_leoncouer	questing_vow
brt_paladin	grail_vow_agent
brt_paladin	knights_vow_agent
brt_paladin	questing_vow_agent
dlc07_brt_alberic	grail_vow
dlc07_brt_alberic	knights_vow
dlc07_brt_alberic	questing_vow
dlc07_brt_fay_enchantress	troth_of_protection
dlc07_brt_fay_enchantress	troth_of_virtue_fay
dlc07_brt_fay_enchantress	troth_of_wisdom
dlc07_brt_prophetess_beasts	troth_of_protection
dlc07_brt_prophetess_beasts	troth_of_virtue
dlc07_brt_prophetess_beasts	troth_of_wisdom
dlc07_brt_prophetess_heavens	troth_of_protection
dlc07_brt_prophetess_heavens	troth_of_virtue
dlc07_brt_prophetess_heavens	troth_of_wisdom
dlc07_brt_prophetess_life	troth_of_protection
dlc07_brt_prophetess_life	troth_of_virtue
dlc07_brt_prophetess_life	troth_of_wisdom
