audio_vo_actor_groups_tables	3
name	vo_actor_1	vo_actor_2	vo_actor_3	vo_actor_4	vo_actor_5	vo_actor_6	vo_actor_7	vo_actor_8	vo_actor_9	vo_actor_10	vo_actor_11	vo_actor_12	vo_actor_13	vo_actor_14	vo_actor_15	cooldown_overlap
vo_actor_Empire_dlc03_AmberWizard	wh_dlc03_vo_actor_Empire_AmberWizard1	wh_dlc03_vo_actor_Empire_AmberWizard2														0
wh2_dlc09_vo_actor_Skaven_Tretch_Craventail	wh2_dlc09_vo_actor_Skaven_Tretch_Craventail															0
wh2_dlc09_vo_actor_Tomb_Kings_Arkhan	wh2_dlc09_vo_actor_Tomb_Kings_Arkhan															0
wh2_dlc09_vo_actor_Tomb_Kings_High_Queen_Khalida	wh2_dlc09_vo_actor_Tomb_Kings_High_Queen_Khalida															0
wh2_dlc09_vo_actor_Tomb_Kings_Khatep	wh2_dlc09_vo_actor_Tomb_Kings_Khatep															0
wh2_dlc09_vo_actor_Tomb_Kings_Liche_Priest	wh2_dlc09_vo_actor_Tomb_Kings_Liche_Priest1	wh2_dlc09_vo_actor_Tomb_Kings_Liche_Priest2														0
wh2_dlc09_vo_actor_Tomb_Kings_Necrotect	wh2_dlc09_vo_actor_Tomb_Kings_Necrotect1	wh2_dlc09_vo_actor_Tomb_Kings_Necrotect2														0
wh2_dlc09_vo_actor_Tomb_Kings_Settra_the_Imperishable	wh2_dlc09_vo_actor_Tomb_Kings_Settra_the_Imperishable															0
wh2_dlc09_vo_actor_Tomb_Kings_Tomb_King	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_King1	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_King2														0
wh2_dlc09_vo_actor_Tomb_Kings_Tomb_Prince	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_Prince1	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_Prince2														0
