audio_metadata_tags_tables	8
key	sound_event_battle_start	sound_event_battle_stop	sound_event_campaign_start	sound_event_campaign_stop	limitation_scale	entity_type_switch	melee_hit_category	melee_hit_type_override	rtpc_1_name	rtpc_1_assignment	rtpc_2_name	rtpc_2_assignment	scaled_sound_upsize	scaled_max_delay	scaled_sound_next	requires_cinematic	max_probability	min_probability	is_vocalisation	play_at_bone	play_at_position	play_at_base	require_ground_type_limited	require_ground_type	require_armour_type	require_melee_weapon_type	require_shield_type	triggers_blood	is_tracked	require_reverb	require_obstruction	can_play_under_splice	ignore_if_headless	play_on_looping_sound	cinematic_only	doppler_rtpc_name	flip_direction	blood_enabled_only	use_limitation_type_override	limitation_type_override	culling_distance_override	ignore_alpha_check	override_vo
Blood_Spray	Battle_Individual_Melee_Weapon_Blood		Campaign_Individual_Melee_Weapon_Blood		0.050000004								0	0		false	50	0	false	false	false	true	false	false	false	false	false	false	false	false	false	true	false	false	false		false	true	false	Lord_Hero	0	false	false
Bodyfall_Body_Drag_Small	Battle_Individual_Bodyfall_Body_Drag_Small		Campaign_Individual_Bodyfall_Body_Drag_Small		0								0	0		false	100	100	false	false	false	true	true	false	false	false	false	false	false	true	false	true	false	false	false		false	false	false	Lord_Hero	0	false	false
Bodyfall_Heavy_Boar	Battle_Individual_bodyfall_Heavy_Boar		Campaign_Individual_bodyfall_Heavy_Boar		0.5								0	0		false	100	100	false	false	false	true	true	false	false	false	false	false	true	false	false	true	false	false	false		false	false	false	Lord_Hero	0	false	false
Bodyfall_Heavy_Carnosaur	Battle_Individual_Bodyfall_Heavy_Carnosaur				0.5								0	0		false	100	100	false	true	false	false	true	false	true	false	false	false	true	true	false	true	false	false	false		false	false	false	Lord_Hero	0	false	false
Bodyfall_Heavy_Centigor	Battle_Individual_Bodyfall_Heavy_Centigor		Campaign_Individual_Bodyfall_Heavy_Centigor		0.5								0	0		false	100	100	false	false	false	true	true	false	true	false	false	false	true	false	false	true	false	false	false		false	false	false	Lord_Hero	0	false	false
Bodyfall_Heavy_Cold_One	Battle_Individual_Bodyfall_Heavy_Cold_One		Campaign_Individual_Bodyfall_Heavy_Cold_One		0.5								0	0		false	100	100	false	false	false	true	true	false	false	false	false	false	true	false	false	true	false	false	false		false	false	false	Lord_Hero	0	false	false
Bodyfall_Heavy_Crypt_Ghoul	Battle_Individual_Bodyfall_Heavy_Crypt_Ghoul		Campaign_Individual_Bodyfall_Heavy_Crypt_Ghoul		0.5								0	0		false	100	100	false	false	false	true	true	false	true	false	false	false	true	false	false	true	false	false	false		false	false	false	Lord_Hero	0	false	false
Bodyfall_Heavy_Crypt_Horror	Battle_Individual_Bodyfall_Heavy_Crypt_Horror		Campaign_Individual_Bodyfall_Heavy_Crypt_Horror		0.5								0	0		false	100	100	false	false	false	true	true	false	false	false	false	false	true	false	false	true	false	false	false		false	false	false	Lord_Hero	0	false	false
Bodyfall_Heavy_Cygor	Battle_Individual_Bodyfall_Heavy_Cygor		Campaign_Individual_Bodyfall_Heavy_Cygor		0.5								0	0		false	100	100	false	true	false	false	true	false	true	false	false	false	true	true	false	true	false	false	false		false	false	false	Lord_Hero	0	false	false
Bodyfall_Heavy_Dire_Wolves	Battle_Individual_bodyfall_Heavy_Dire_Wolves		Campaign_Individual_bodyfall_Heavy_Dire_Wolves		0.5								0	0		false	100	100	false	false	false	true	true	false	false	false	false	false	true	false	false	true	false	false	false		false	false	false	Lord_Hero	0	false	false
