frontend_faction_leaders_tables	19
uniform	x_offset	y_offset	key	character_image	prelude_battle	video	loading_screen_image	loading_screen_intro_video	override_force_location_x	override_force_location_y	voiceover	show_full_intro_option	difficulty	startpos_map
composite_scene/front_end_selection/karl_franz_selection.csc	0	0	wh2_dlc09_political_party_skv_tretch_craventail	UI\Portraits\Faction_leaders\wh2_dlc09_skv_tretch_craventail.png		Front_end_selection_movies/skv_tretch	ui/loading_ui/load_images/campaign_12.png		-1	-1	wh2_dlc09_vo_actor_Skaven_Tretch_Craventail	false	normal	wh2_dlc09_political_party_skv_tretch_craventail
composite_scene/front_end_selection/kholek_suneater_selection.csc	0	0	wh2_dlc09_political_party_tmb_arkhan	UI\Portraits\Faction_leaders\wh2_dlc09_tmb_arkhan.png		Front_end_selection_movies/tmb_arkhan	UI\loading_ui\load_images\campaign_15.png		-1	-1	wh2_dlc09_vo_actor_Tomb_Kings_Arkhan	false	hard	wh2_dlc09_political_party_tmb_arkhan
composite_scene/front_end_selection/kholek_suneater_selection.csc	0	0	wh2_dlc09_political_party_tmb_khalida	UI\Portraits\Faction_leaders\wh2_dlc09_tmb_khalida.png		Front_end_selection_movies/tmb_khalida	UI\loading_ui\load_images\campaign_15.png		-1	-1	wh2_dlc09_vo_actor_Tomb_Kings_High_Queen_Khalida	false	normal	wh2_dlc09_political_party_tmb_khalida
composite_scene/front_end_selection/kholek_suneater_selection.csc	0	0	wh2_dlc09_political_party_tmb_khatep	UI\Portraits\Faction_leaders\wh2_dlc09_tmb_khatep.png		Front_end_selection_movies/tmb_khatep	UI\loading_ui\load_images\campaign_15.png		-1	-1	wh2_dlc09_vo_actor_Tomb_Kings_Khatep	false	hard	wh2_dlc09_political_party_tmb_khatep
composite_scene/front_end_selection/kholek_suneater_selection.csc	0	0	wh2_dlc09_political_party_tmb_settra	UI\Portraits\Faction_leaders\wh2_dlc09_tmb_settra.png		Front_end_selection_movies/tmb_settra	UI\loading_ui\load_images\campaign_15.png		-1	-1	wh2_dlc09_vo_actor_Tomb_Kings_Settra_the_Imperishable	false	easy	wh2_dlc09_political_party_tmb_settra
composite_scene/front_end_selection/karl_franz_selection.csc	0	0	wh2_dlc09_political_party_vor_skv_tretch_craventail	UI\Portraits\Faction_leaders\wh2_dlc09_skv_tretch_craventail.png		Front_end_selection_movies/skv_tretch	ui/loading_ui/load_images/campaign_12.png	warhammer2/skv/skv_intro	-1	-1	wh2_dlc09_vo_actor_Skaven_Tretch_Craventail	false	normal	wh2_dlc09_political_party_vor_skv_tretch_craventail
composite_scene/front_end_selection/kholek_suneater_selection.csc	0	0	wh2_dlc09_political_party_vor_tmb_arkhan	UI\Portraits\Faction_leaders\wh2_dlc09_tmb_arkhan.png		Front_end_selection_movies/tmb_arkhan	UI\loading_ui\load_images\campaign_15.png	warhammer2/tmb/intro_arkhan	-1	-1	wh2_dlc09_vo_actor_Tomb_Kings_Arkhan	false	hard	wh2_dlc09_political_party_vor_tmb_arkhan
composite_scene/front_end_selection/kholek_suneater_selection.csc	0	0	wh2_dlc09_political_party_vor_tmb_khalida	UI\Portraits\Faction_leaders\wh2_dlc09_tmb_khalida.png		Front_end_selection_movies/tmb_khalida	UI\loading_ui\load_images\campaign_15.png	warhammer2/tmb/intro_khalida	-1	-1	wh2_dlc09_vo_actor_Tomb_Kings_High_Queen_Khalida	false	normal	wh2_dlc09_political_party_vor_tmb_khalida
composite_scene/front_end_selection/kholek_suneater_selection.csc	0	0	wh2_dlc09_political_party_vor_tmb_khatep	UI\Portraits\Faction_leaders\wh2_dlc09_tmb_khatep.png		Front_end_selection_movies/tmb_khatep	UI\loading_ui\load_images\campaign_15.png	warhammer2/tmb/intro_khatep	-1	-1	wh2_dlc09_vo_actor_Tomb_Kings_Khatep	false	hard	wh2_dlc09_political_party_vor_tmb_khatep
composite_scene/front_end_selection/kholek_suneater_selection.csc	0	0	wh2_dlc09_political_party_vor_tmb_settra	UI\Portraits\Faction_leaders\wh2_dlc09_tmb_settra.png		Front_end_selection_movies/tmb_settra	UI\loading_ui\load_images\campaign_15.png	warhammer2/tmb/intro_settra	-1	-1	wh2_dlc09_vo_actor_Tomb_Kings_Settra_the_Imperishable	false	easy	wh2_dlc09_political_party_vor_tmb_settra
composite_scene/front_end_selection/karl_franz_selection.csc	0	0	wh2_dlc10_political_party_def_hellebron	UI\Portraits\Faction_leaders\wh2_dlc10_def_hellebron.png		Front_end_selection_movies/def_crone	ui/loading_ui/load_images/campaign_11.png		-1	-1	wh2_dlc10_vo_actor_Dark_Elves_Crone_Hellebron	false	hard	wh2_dlc10_political_party_def_hellebron
composite_scene/front_end_selection/karl_franz_selection.csc	0	0	wh2_dlc10_political_party_hef_alarielle	UI\Portraits\Faction_leaders\wh2_dlc10_hef_alarielle.png		Front_end_selection_movies/hef_alarielle	ui/loading_ui/load_images/campaign_10.png		-1	-1	wh2_dlc10_vo_actor_High_Elves_Arielle_the_Radiant	false	hard	wh2_dlc10_political_party_hef_alarielle
composite_scene/front_end_selection/karl_franz_selection.csc	0	0	wh2_dlc10_political_party_hef_alith_anar	UI\Portraits\Faction_leaders\wh2_dlc10_hef_alith_anar.png		Front_end_selection_movies/hef_alith_anar	ui/loading_ui/load_images/campaign_10.png		-1	-1	wh2_dlc10_vo_actor_High_Elves_Alith_Anar	false	hard	wh2_dlc10_political_party_hef_alith_anar
composite_scene/front_end_selection/karl_franz_selection.csc	0	0	wh2_dlc10_political_party_vor_def_hellebron	UI\Portraits\Faction_leaders\wh2_dlc10_def_hellebron.png		Front_end_selection_movies/def_crone	ui/loading_ui/load_images/campaign_11.png	warhammer2/def/def_intro	-1	-1	wh2_dlc10_vo_actor_Dark_Elves_Crone_Hellebron	false	hard	wh2_dlc10_political_party_vor_def_hellebron
composite_scene/front_end_selection/karl_franz_selection.csc	0	0	wh2_dlc10_political_party_vor_hef_alarielle	UI\Portraits\Faction_leaders\wh2_dlc10_hef_alarielle.png		Front_end_selection_movies/hef_alarielle	ui/loading_ui/load_images/campaign_10.png	warhammer2/hef/hef_intro	-1	-1	wh2_dlc10_vo_actor_High_Elves_Arielle_the_Radiant	false	hard	wh2_dlc10_political_party_vor_hef_alarielle
composite_scene/front_end_selection/karl_franz_selection.csc	0	0	wh2_dlc10_political_party_vor_hef_alith_anar	UI\Portraits\Faction_leaders\wh2_dlc10_hef_alith_anar.png		Front_end_selection_movies/hef_alith_anar	ui/loading_ui/load_images/campaign_10.png	warhammer2/hef/hef_intro	-1	-1	wh2_dlc10_vo_actor_High_Elves_Alith_Anar	false	hard	wh2_dlc10_political_party_vor_hef_alith_anar
