audio_melee_weapon_types_tables	3
group_melee	key	switch	cannot_parry	melee_hit_type
	Bite_Large	bite	true	unique_action_large_bite
	Bite_Medium	bite	true	unique_action_medium_bite
	Bonebreaker_Drill	bite	true	melee_weapon_bonebreaker_drill
	Hierotitan_Scales	bite	true	unique_action_hierotitan_scales
	Hierotitan_Staff	bite	true	unique_action_hierotitan_staff
	Leviathan_Claw	bite	true	unique_action_tomb_scorpion_claw
	Medium_Metal_Fist	bite	true	melee_weapon_medium_metal_fist
	Necro_Serpent_Tail	bite	true	unique_action_necro_serpent_tail
	Rat_Ogre_Drill	bite	true	melee_weapon_rat_ogre_drill
	Tomb_Scorpion_Claw	bite	true	unique_action_tomb_scorpion_claw
	Tomb_Scorpion_Tail	bite	true	unique_action_tomb_scorpion_Tail
wh_grp_melee_weapons_metal	axe	axe	false	melee_weapon_axe
wh_grp_melee_weapons_mixed	axe_huge	axe_huge	true	melee_weapon_axe_huge
wh_grp_melee_weapons_mixed	axe_medium	axe_medium	false	melee_weapon_axe_medium
wh_grp_melee_weapons_mixed	claw	claw	true	melee_weapon_claw
wh_grp_melee_weapons_mixed	club	club	false	melee_weapon_club
wh_grp_melee_weapons_mixed	club_huge	club_huge	true	melee_weapon_club_huge
wh_grp_melee_weapons_mixed	club_medium	club_medium	true	melee_weapon_club_medium
wh_grp_melee_weapons_mixed	drakegun	drakegun	false	melee_weapon_drakegun
wh_grp_melee_weapons_metal	flail	flail	false	melee_weapon_flail
wh_grp_melee_weapons_mixed	halberd	halberd	false	melee_weapon_halberd
	halberd_medium	halberd	true	melee_weapon_halberd_medium
wh_grp_melee_weapons_mixed	hammer	hammer	false	melee_weapon_hammer
wh_grp_melee_weapons_mixed	lance	lance	false	melee_weapon_lance
wh_grp_melee_weapons_mixed	spear	spear	false	melee_weapon_spear
wh_grp_melee_weapons_mixed	spear_huge	spear_huge	true	melee_weapon_spear_huge
wh_grp_melee_weapons_mixed	spear_medium	spear_medium	true	melee_weapon_spear_medium
wh_grp_melee_weapons_mixed	staff	staff	false	melee_weapon_staff
wh_grp_melee_weapons_metal	sword	sword	false	melee_weapon_sword
	sword_claws	sword	true	melee_weapon_sword_claws
wh_grp_melee_weapons_mixed	sword_huge	sword_huge	true	melee_weapon_sword_huge
wh_grp_melee_weapons_mixed	sword_medium	sword_medium	true	melee_weapon_sword_medium
	unarmed	unarmed	true	melee_weapon_unarmed
wh_grp_melee_weapons_mixed	warpfiregun	drakegun	false	melee_weapon_drakegun
wh2_dlc10_grp_melee_weapons_whips	whip	whip	true	melee_weapon_whip
