campaign_effect_scope_agent_junctions_tables	0
agent_key	campaign_effect_scope_key
champion	faction_to_character_own_unseen_heroes_only
dignitary	faction_to_character_own_unseen_heroes_only
engineer	faction_to_character_own_unseen_heroes_only
runesmith	faction_to_character_own_unseen_heroes_only
spy	faction_to_character_own_unseen_heroes_only
wizard	faction_to_character_own_unseen_heroes_only
general	faction_to_character_own_unseen_lords_only
champion	faction_to_character_own_unseen
dignitary	faction_to_character_own_unseen
engineer	faction_to_character_own_unseen
general	faction_to_character_own_unseen
runesmith	faction_to_character_own_unseen
spy	faction_to_character_own_unseen
wizard	faction_to_character_own_unseen
champion	faction_to_character_own
dignitary	faction_to_character_own
engineer	faction_to_character_own
general	faction_to_character_own
runesmith	faction_to_character_own
spy	faction_to_character_own
wizard	faction_to_character_own
