special_ability_phase_stat_effects_tables	3
phase	value	stat	how
wh2_dlc09_army_abilities_rictus_clanstone	32	stat_bonus_vs_large	add
wh2_dlc09_character_abilities_curse_of_djaf	-26	stat_melee_attack	add
wh2_dlc09_character_abilities_curse_of_khsar	-60	stat_armour	add
wh2_dlc09_character_abilities_stay_here_ill_get_help	16	stat_morale	add
wh2_dlc09_character_abilities_strike_of_nagash	1.75	stat_melee_damage_base	mult
wh2_dlc09_character_abilities_strike_of_nehekhara	44	stat_melee_attack	add
wh2_dlc09_character_abilities_strike_of_nehekhara	1.5	stat_melee_damage_base	mult
wh2_dlc09_character_abilities_strike_of_tombs	26	stat_melee_attack	add
wh2_dlc09_character_abilities_strike_of_tombs	1.25	stat_melee_damage_base	mult
wh2_dlc09_character_abilities_tomb_king_rally_upgraded	16	stat_morale	add
wh2_dlc09_character_abilities_tomb_king_rally	16	stat_morale	add
wh2_dlc09_character_passive_blessing_of_asaph	1.15	scalar_missile_damage_ap	mult
wh2_dlc09_character_passive_blessing_of_asaph	1.15	scalar_missile_damage_base	mult
wh2_dlc09_character_passive_blessing_of_asaph	15	stat_reloading	add
wh2_dlc09_character_passive_stone_shaper	10	stat_armour	add
wh2_dlc09_character_passive_stone_shaper	10	stat_resistance_missile	add
wh2_dlc09_character_passive_tretchs_raiders	9	stat_melee_attack	add
wh2_dlc09_character_passive_tretchs_raiders	1.1	stat_melee_damage_ap	mult
wh2_dlc09_character_passive_tretchs_raiders	1.1	stat_melee_damage_base	mult
wh2_dlc09_character_passive_true_blessing_of_asaph	1.2	scalar_missile_damage_ap	mult
wh2_dlc09_character_passive_true_blessing_of_asaph	1.2	scalar_missile_damage_base	mult
wh2_dlc09_character_passive_true_blessing_of_asaph	25	stat_reloading	add
wh2_dlc09_character_passive_unyielding_will	5	stat_melee_attack	add
wh2_dlc09_character_passive_unyielding_will	5	stat_melee_defence	add
wh2_dlc09_character_passive_wrath_of_the_creator	5	stat_melee_attack	add
wh2_dlc09_character_passive_wrath_of_the_creator	1.05	stat_melee_damage_ap	mult
wh2_dlc09_item_abilities_amulet_of_phastah	-30	stat_armour	add
wh2_dlc09_item_abilities_amulet_of_phastah	-48	stat_missile_block_chance	add
wh2_dlc09_item_abilities_elixir_of_might	26	stat_melee_attack	add
wh2_dlc09_item_abilities_elixir_of_might	1.5	stat_melee_damage_base	mult
wh2_dlc09_item_abilities_enkhils_kanopi	66	stat_resistance_magic	add
wh2_dlc09_item_passive_crown_of_nehekhara	1.08	stat_charge_bonus	mult
wh2_dlc09_item_passive_crown_of_nehekhara	1.1	stat_melee_damage_ap	mult
wh2_dlc09_item_passive_crown_of_nehekhara	1.1	stat_melee_damage_base	mult
wh2_dlc09_item_passive_lucky_skullhelm	1.24	scalar_speed	mult
wh2_dlc09_item_passive_lucky_skullhelm	33	stat_resistance_all	add
wh2_dlc09_item_passive_scorpion_armour	22	stat_resistance_all	add
wh2_dlc09_item_passive_vambraces_of_the_sun	-9	stat_melee_attack	add
wh2_dlc09_item_passive_vambraces_of_the_sun	-22	stat_weakness_flame	add
wh2_dlc09_lord_abilities_the_liber_mortis	8	stat_morale	add
wh2_dlc09_lord_abilities_the_liber_mortis	44	stat_resistance_physical	add
wh2_dlc09_lord_passive_my_will_be_done	5	stat_melee_attack	add
wh2_dlc09_lord_passive_my_will_be_done	5	stat_melee_defence	add
wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades_upgraded	16	stat_bonus_vs_large	add
wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades_upgraded	1.2	stat_melee_damage_ap	mult
wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades_upgraded	1.2	stat_melee_damage_base	mult
wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades	1.2	stat_melee_damage_ap	mult
wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades	1.2	stat_melee_damage_base	mult
wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection_upgraded	44	stat_resistance_physical	add
wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection	44	stat_resistance_physical	add
wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting_upgraded	1.4	scalar_missile_damage_ap	mult
wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting_upgraded	1.4	scalar_missile_damage_base	mult
wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting_upgraded	40	stat_reloading	add
wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting	1.4	scalar_missile_damage_ap	mult
wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting	1.4	scalar_missile_damage_base	mult
wh2_dlc09_spell_nehekhara_usekhps_incantation_of_desiccation_upgraded	-44	stat_melee_attack	add
wh2_dlc09_spell_nehekhara_usekhps_incantation_of_desiccation_upgraded	-27	stat_melee_defence	add
wh2_dlc09_spell_nehekhara_usekhps_incantation_of_desiccation	-26	stat_melee_attack	add
wh2_dlc09_spell_nehekhara_usekhps_incantation_of_desiccation	-27	stat_melee_defence	add
