audio_battle_environment_one_shot_junctions_tables	0
environment	one_shot	type
beastmen	beastmen_wildlife	plains
cave	cave_nature_one_shots	plains
cave	cave_wildlife	plains
chaos	chaos_wildlife	plains
dark_elves_beach	dark_elves_beach_forest_nature_one_shots	forest
dark_elves_beach	dark_elves_beach_forest_wildlife_birds	forest
dark_elves_beach	dark_elves_beach_forest_wildlife_distant	forest
dark_elves_beach	dark_elves_beach_forest_wildlife_insects	forest
dark_elves_beach	dark_elves_beach_forest_wildlife_mammals	forest
dark_elves_beach	dark_elves_beach_primary_wildlife_birds	plains
dark_elves_beach	dark_elves_beach_primary_wildlife_insects	plains
dark_elves_cold	dark_elves_cold_forest_nature_one_shots	forest
dark_elves_cold	dark_elves_cold_forest_wildlife_birds	forest
dark_elves_cold	dark_elves_cold_forest_wildlife_close	forest
dark_elves_cold	dark_elves_cold_forest_wildlife_mammals	forest
dark_elves_cold	dark_elves_cold_primary_nature_one_shots_01	plains
dark_elves_cold	dark_elves_cold_primary_nature_one_shots_02	plains
dark_elves_cold	dark_elves_cold_primary_wildlife_birds	plains
dark_elves_cold	dark_elves_cold_primary_wildlife_mammals	plains
dark_elves_desert	dark_elves_desert_forest_nature_one_shots	forest
dark_elves_desert	dark_elves_desert_forest_wildlife_birds	forest
dark_elves_desert	dark_elves_desert_forest_wildlife_insects	forest
dark_elves_desert	dark_elves_desert_forest_wildlife_mammals	forest
dark_elves_desert	dark_elves_desert_primary_nature_one_shots	plains
dark_elves_desert	dark_elves_desert_primary_wildlife_birds	plains
dark_elves_desert	dark_elves_desert_primary_wildlife_insects	plains
dark_elves_desert	dark_elves_desert_primary_wildlife_mammals	plains
dark_elves_hills	dark_elves_hills_forest_nature_one_shots	forest
dark_elves_hills	dark_elves_hills_forest_wildlife_birds	forest
dark_elves_hills	dark_elves_hills_forest_wildlife_distant	forest
dark_elves_hills	dark_elves_hills_forest_wildlife_insects	forest
dark_elves_hills	dark_elves_hills_forest_wildlife_mammals	forest
dark_elves_hills	dark_elves_hills_primary_wildlife_birds	plains
dark_elves_marsh	dark_elves_marsh_forest_nature_one_shots	forest
