battle_set_piece_armies_characters_junctions_tables	1
army_name	character_name	script_name
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_attacker_slaves_1	wh2_dlc09_qb_tmb_skrolk_staff_of_nagash_attacker_slaves_warlord_01	enemy_army_north
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_attacker_slaves_2	wh2_dlc09_qb_tmb_skrolk_staff_of_nagash_attacker_moulder_warlord_01	south_2
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_attacker_slaves_2	wh2_dlc09_qb_tmb_skrolk_staff_of_nagash_attacker_skryre_warlock_engineer_01	south_3
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_attacker_slaves_2	wh2_dlc09_qb_tmb_skrolk_staff_of_nagash_attacker_skryre_warlock_engineer_02	south_3
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_attacker_slaves_3	wh2_dlc09_qb_tmb_skrolk_staff_of_nagash_attacker_eshin_assassin_01	west_1
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_attacker_slaves_3	wh2_dlc09_qb_tmb_skrolk_staff_of_nagash_attacker_eshin_assassin_02	west_1
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_attacker_slaves_4	wh2_dlc09_qb_tmb_skrolk_staff_of_nagash_attacker_mors_warlord_01	north_2
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_player_1	wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_defender_arkhan	
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_player_1	wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_defender_liche_priest_nehekhara	
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_player_1	wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_defender_tomb_prince	
wh2_dlc09_qb_tmb_arkhan_the_tomb_blade_of_arkhan_3_mortuary_of_tzulaqua_attacker_01	wh2_dlc09_qb_tmb_arkhan_the_tomb_blade_of_arkhan_stage_3_mortuary_of_tzulaqua_attacker_slann_01	First
wh2_dlc09_qb_tmb_arkhan_the_tomb_blade_of_arkhan_3_mortuary_of_tzulaqua_attacker_02	wh2_dlc09_qb_tmb_arkhan_the_tomb_blade_of_arkhan_stage_3_mortuary_of_tzulaqua_attacker_old_blood_01	Second
wh2_dlc09_qb_tmb_arkhan_the_tomb_blade_of_arkhan_3_mortuary_of_tzulaqua_attacker_03	wh2_dlc09_qb_tmb_arkhan_the_tomb_blade_of_arkhan_stage_3_mortuary_of_tzulaqua_attacker_skink_chief_01	Third
wh2_dlc09_qb_tmb_arkhan_the_tomb_blade_of_arkhan_3_mortuary_of_tzulaqua_defender_01	wh2_dlc09_qb_tmb_arkhan_the_tomb_blade_of_arkhan_stage_3_mortuary_of_tzulaqua_defender_arkhan	
wh2_dlc09_qb_tmb_arkhan_the_tomb_blade_of_arkhan_3_mortuary_of_tzulaqua_defender_01	wh2_dlc09_qb_tmb_arkhan_the_tomb_blade_of_arkhan_stage_3_mortuary_of_tzulaqua_defender_liche_priest_01	
wh2_dlc09_qb_tmb_final_battle_arkhan_minions_1	wh2_dlc09_qb_tmb_final_battle_arkhan_general_01	enemy_left
wh2_dlc09_qb_tmb_final_battle_arkhan_minions_2	wh2_dlc09_qb_tmb_final_battle_arkhan_general_02	enemy_right
wh2_dlc09_qb_tmb_final_battle_arkhan	wh2_dlc09_qb_tmb_final_battle_arkhan	
wh2_dlc09_qb_tmb_final_battle_arkhan	wh2_dlc09_qb_tmb_final_battle_arkhan_liche_priest	
wh2_dlc09_qb_tmb_final_battle_arkhan	wh2_dlc09_qb_tmb_final_battle_arkhan_tomb_prince	
wh2_dlc09_qb_tmb_final_battle_fon_arkhan_player	wh2_dlc09_qb_tmb_final_battle_arkhan_liche_priest	
wh2_dlc09_qb_tmb_final_battle_fon_arkhan_player	wh2_dlc09_qb_tmb_final_battle_arkhan_player	
wh2_dlc09_qb_tmb_final_battle_fon_arkhan_player	wh2_dlc09_qb_tmb_final_battle_arkhan_tomb_prince	
wh2_dlc09_qb_tmb_final_battle_fon_arkhan_player	wh2_dlc09_qb_tmb_final_battle_necrotect_alt	
wh2_dlc09_qb_tmb_final_battle_fon_khalida_1	wh2_dlc09_qb_tmb_final_battle_khalida	khalida
wh2_dlc09_qb_tmb_final_battle_fon_khalida_2	wh2_dlc09_qb_tmb_final_battle_liche_priest	khalida_alt
wh2_dlc09_qb_tmb_final_battle_fon_khatep	wh2_dlc09_qb_tmb_final_battle_khatep	khatep
wh2_dlc09_qb_tmb_final_battle_fon_khatep	wh2_dlc09_qb_tmb_final_battle_necrotect	khatep
wh2_dlc09_qb_tmb_final_battle_fon_settra	wh2_dlc09_qb_tmb_final_battle_settra_player	settra
wh2_dlc09_qb_tmb_final_battle_fon_settra	wh2_dlc09_qb_tmb_final_battle_tomb_prince	settra
wh2_dlc09_qb_tmb_final_battle_khalida_1	wh2_dlc09_qb_tmb_final_battle_khalida	left
wh2_dlc09_qb_tmb_final_battle_khalida_player	wh2_dlc09_qb_tmb_final_battle_khalida_player	player
wh2_dlc09_qb_tmb_final_battle_khalida_player	wh2_dlc09_qb_tmb_final_battle_liche_priest	player
wh2_dlc09_qb_tmb_final_battle_khalida_player	wh2_dlc09_qb_tmb_final_battle_necrotect	player
wh2_dlc09_qb_tmb_final_battle_khatep_2	wh2_dlc09_qb_tmb_final_battle_khatep	right
wh2_dlc09_qb_tmb_final_battle_khatep_player	wh2_dlc09_qb_tmb_final_battle_khatep_player	player
wh2_dlc09_qb_tmb_final_battle_khatep_player	wh2_dlc09_qb_tmb_final_battle_necrotect	player
wh2_dlc09_qb_tmb_final_battle_khatep_player	wh2_dlc09_qb_tmb_final_battle_tomb_prince	player
wh2_dlc09_qb_tmb_final_battle_settra_1	wh2_dlc09_qb_tmb_final_battle_settra	left
wh2_dlc09_qb_tmb_final_battle_settra_2	wh2_dlc09_qb_tmb_final_battle_settra	right
wh2_dlc09_qb_tmb_final_battle_settra_player	wh2_dlc09_qb_tmb_final_battle_liche_priest	player
wh2_dlc09_qb_tmb_final_battle_settra_player	wh2_dlc09_qb_tmb_final_battle_necrotect	player
wh2_dlc09_qb_tmb_final_battle_settra_player	wh2_dlc09_qb_tmb_final_battle_settra_player	player
wh2_dlc09_qb_tmb_khalida_venom_staff_stage_3_ash_river_attacker_01	wh2_dlc09_qb_tmb_khalida_venom_staff_stage_3_ash_river_attacker_01	enemy_vanguard
wh2_dlc09_qb_tmb_khalida_venom_staff_stage_3_ash_river_attacker_02	wh2_dlc09_qb_tmb_khalida_venom_staff_stage_3_ash_river_attacker_02	enemy_main
wh2_dlc09_qb_tmb_khalida_venom_staff_stage_3_ash_river_player	wh2_dlc09_qb_tmb_khalida_venom_staff_stage_3_ash_river_player	player_army
wh2_dlc09_qb_tmb_khalida_venom_staff_stage_3_ash_river_player	wh2_dlc09_qb_tmb_khalida_venom_staff_stage_3_ash_river_player_liche_priest	player_army
wh2_dlc09_qb_tmb_khatep_the_liche_staff_stage_5_pits_of_zardok_attacker_01	wh2_dlc09_qb_tmb_khatep_the_liche_staff_stage_5_pits_of_zardok_attacker_01	player_army
wh2_dlc09_qb_tmb_khatep_the_liche_staff_stage_5_pits_of_zardok_attacker_01	wh2_dlc09_qb_tmb_khatep_the_liche_staff_stage_5_pits_of_zardok_attacker_02	player_army
wh2_dlc09_qb_tmb_khatep_the_liche_staff_stage_5_pits_of_zardok_defender_01	wh2_dlc09_qb_tmb_khatep_the_liche_staff_stage_5_pits_of_zardok_defender_01	enemy_army_1
wh2_dlc09_qb_tmb_khatep_the_liche_staff_stage_5_pits_of_zardok_defender_02	wh2_dlc09_qb_tmb_khatep_the_liche_staff_stage_5_pits_of_zardok_defender_02	enemy_army_2
