campaign_bonus_value_battle_context_culture_junctions_tables	0
battle_context_key	culture_key
fight_culture_beastmen_chaos_norsca_skaven	wh2_main_skv_skaven
fight_culture_beastmen_chaos_norsca_skaven	wh_dlc03_bst_beastmen
fight_culture_beastmen_chaos_norsca_skaven	wh_dlc08_nor_norsca
fight_culture_beastmen_chaos_norsca_skaven	wh_main_chs_chaos
fighting_battle_type_siege_subterranean	wh2_main_skv_skaven
fighting_battle_type_siege_subterranean	wh_main_dwf_dwarfs
fighting_battle_type_siege_subterranean	wh_main_grn_greenskins
fighting_culture_any_elves	wh2_main_def_dark_elves
fighting_culture_any_elves	wh2_main_hef_high_elves
fighting_culture_any_elves	wh_dlc05_wef_wood_elves
fighting_culture_beastmen_chaos_norsca	wh_dlc03_bst_beastmen
fighting_culture_beastmen_chaos_norsca	wh_dlc08_nor_norsca
fighting_culture_beastmen_chaos_norsca	wh_main_chs_chaos
fighting_culture_beastmen	wh_dlc03_bst_beastmen
fighting_culture_bretonnia_enemies	wh2_dlc11_cst_vampire_coast
fighting_culture_bretonnia_enemies	wh_dlc03_bst_beastmen
fighting_culture_bretonnia_enemies	wh_dlc08_nor_norsca
fighting_culture_bretonnia_enemies	wh_main_chs_chaos
fighting_culture_bretonnia_enemies	wh_main_grn_greenskins
fighting_culture_bretonnia_enemies	wh_main_vmp_vampire_counts
fighting_culture_bretonnia	wh_main_brt_bretonnia
fighting_culture_chaos	wh_main_chs_chaos
fighting_culture_darkelf	wh2_main_def_dark_elves
fighting_culture_dwarfs_greenskins	wh_main_dwf_dwarfs
fighting_culture_dwarfs_greenskins	wh_main_grn_greenskins
fighting_culture_dwarfs	wh_main_dwf_dwarfs
fighting_culture_empire_and_bretonnia	wh_main_brt_bretonnia
fighting_culture_empire_and_bretonnia	wh_main_emp_empire
fighting_culture_forces_of_destruction	wh2_main_def_dark_elves
fighting_culture_forces_of_destruction	wh2_main_skv_skaven
fighting_culture_forces_of_destruction	wh_dlc03_bst_beastmen
fighting_culture_forces_of_destruction	wh_main_chs_chaos
fighting_culture_forces_of_destruction	wh_main_grn_greenskins
fighting_culture_forces_of_order	wh2_main_hef_high_elves
fighting_culture_forces_of_order	wh2_main_lzd_lizardmen
fighting_culture_forces_of_order	wh_main_brt_bretonnia
fighting_culture_forces_of_order	wh_main_dwf_dwarfs
fighting_culture_forces_of_order	wh_main_emp_empire
fighting_culture_forces_of_order	wh_main_grn_greenskins
fighting_culture_greenskins_skaven	wh2_main_skv_skaven
fighting_culture_greenskins_skaven	wh_main_grn_greenskins
fighting_culture_greenskins	wh_main_grn_greenskins
fighting_culture_highelf	wh2_main_hef_high_elves
fighting_culture_lizardmen	wh2_main_lzd_lizardmen
fighting_culture_rogue_armies	wh2_main_rogue
fighting_culture_skaven	wh2_main_skv_skaven
fighting_culture_tomb_kings	wh2_dlc09_tmb_tomb_kings
fighting_culture_undead	wh2_dlc09_tmb_tomb_kings
fighting_culture_undead	wh2_dlc11_cst_vampire_coast
fighting_culture_undead	wh_main_vmp_vampire_counts
fighting_culture_vampire_coast	wh2_dlc11_cst_vampire_coast
fighting_culture_vampire_counts	wh_main_vmp_vampire_counts
fighting_culture_wood_elves	wh_dlc05_wef_wood_elves
fighting_norscan_factions	wh_dlc08_nor_norsca
