battle_siege_vehicle_permissions_tables	0
faction	vehicle
wh_main_brt_bordeleaux	brt_battering_ram
wh_main_brt_bretonnia	brt_battering_ram
wh_main_brt_carcassonne	brt_battering_ram
wh_main_brt_bordeleaux	brt_siege_tower_15m
wh_main_brt_bretonnia	brt_siege_tower_15m
wh_main_brt_carcassonne	brt_siege_tower_15m
wh_dlc03_bst_beastmen	bst_battering_ram
wh_dlc03_bst_beastmen_chaos	bst_battering_ram
wh_dlc03_bst_beastmen_chaos_brayherd	bst_battering_ram
wh_dlc03_bst_jagged_horn	bst_battering_ram
wh_dlc03_bst_jagged_horn_brayherd	bst_battering_ram
wh_dlc03_bst_redhorn	bst_battering_ram
wh_dlc03_bst_redhorn_brayherd	bst_battering_ram
wh_dlc05_bst_morghur_herd	bst_battering_ram
wh_dlc03_bst_beastmen	bst_siege_tower_15m
wh_dlc03_bst_beastmen_chaos	bst_siege_tower_15m
wh_dlc03_bst_beastmen_chaos_brayherd	bst_siege_tower_15m
wh_dlc03_bst_jagged_horn	bst_siege_tower_15m
wh_dlc03_bst_jagged_horn_brayherd	bst_siege_tower_15m
wh_dlc03_bst_redhorn	bst_siege_tower_15m
wh_dlc03_bst_redhorn_brayherd	bst_siege_tower_15m
wh_dlc05_bst_morghur_herd	bst_siege_tower_15m
wh_main_chs_chaos	chs_battering_ram
wh_main_chs_chaos	chs_siege_tower_15m
wh2_dlc11_cst_noctilus	cst_battering_ram
wh2_dlc11_cst_pirates_of_sartosa	cst_battering_ram
wh2_dlc11_cst_the_drowned	cst_battering_ram
wh2_dlc11_cst_vampire_coast	cst_battering_ram
wh2_dlc11_cst_vampire_coast_rebellion_rebels	cst_battering_ram
wh2_dlc11_cst_vampire_coast_rebels	cst_battering_ram
wh2_dlc11_cst_noctilus	cst_siege_tower_15m
wh2_dlc11_cst_pirates_of_sartosa	cst_siege_tower_15m
wh2_dlc11_cst_the_drowned	cst_siege_tower_15m
wh2_dlc11_cst_vampire_coast	cst_siege_tower_15m
wh2_dlc11_cst_vampire_coast_rebellion_rebels	cst_siege_tower_15m
wh2_dlc11_cst_vampire_coast_rebels	cst_siege_tower_15m
wh2_dlc11_def_the_blessed_dread	def_battering_ram
wh2_main_def_cult_of_pleasure	def_battering_ram
wh2_main_def_dark_elves	def_battering_ram
wh2_main_def_har_ganeth	def_battering_ram
wh2_dlc11_def_the_blessed_dread	def_siege_tower_15m
wh2_main_def_cult_of_pleasure	def_siege_tower_15m
wh2_main_def_dark_elves	def_siege_tower_15m
wh2_main_def_har_ganeth	def_siege_tower_15m
wh_main_dwf_dwarfs	dwf_battering_ram
wh_main_dwf_karak_izor	dwf_battering_ram
wh_main_dwf_karak_kadrin	dwf_battering_ram
wh_main_dwf_dwarfs	dwf_siege_tower_15m
wh_main_dwf_karak_izor	dwf_siege_tower_15m
wh_main_dwf_karak_kadrin	dwf_siege_tower_15m
wh_main_emp_empire	emp_battering_ram
wh_main_emp_middenland	emp_battering_ram
wh_main_ksl_kislev	emp_battering_ram
wh_main_teb_border_princes	emp_battering_ram
wh_main_teb_estalia	emp_battering_ram
wh_main_teb_tilea	emp_battering_ram
wh_main_emp_empire	emp_siege_tower_15m
wh_main_emp_middenland	emp_siege_tower_15m
wh_main_ksl_kislev	emp_siege_tower_15m
wh_main_teb_border_princes	emp_siege_tower_15m
wh_main_teb_estalia	emp_siege_tower_15m
wh_main_teb_tilea	emp_siege_tower_15m
wh_main_grn_crooked_moon	grn_battering_ram
wh_main_grn_greenskins	grn_battering_ram
wh_main_grn_orcs_of_the_bloody_hand	grn_battering_ram
wh_main_grn_crooked_moon	grn_siege_tower_15m
wh_main_grn_greenskins	grn_siege_tower_15m
wh_main_grn_orcs_of_the_bloody_hand	grn_siege_tower_15m
wh2_main_hef_avelorn	hef_battering_ram
wh2_main_hef_high_elves	hef_battering_ram
wh2_main_hef_nagarythe	hef_battering_ram
wh2_main_hef_order_of_loremasters	hef_battering_ram
wh2_main_hef_avelorn	hef_siege_tower_15m
wh2_main_hef_high_elves	hef_siege_tower_15m
wh2_main_hef_nagarythe	hef_siege_tower_15m
wh2_main_hef_order_of_loremasters	hef_siege_tower_15m
wh2_main_lzd_last_defenders	lzd_battering_ram
wh2_main_lzd_lizardmen	lzd_battering_ram
wh2_main_lzd_last_defenders	lzd_siege_tower_15m
wh2_main_lzd_lizardmen	lzd_siege_tower_15m
wh2_main_nor_aghol	nor_battering_ram
wh2_main_nor_hung_incursion_def	nor_battering_ram
wh2_main_nor_hung_incursion_hef	nor_battering_ram
wh2_main_nor_hung_incursion_lzd	nor_battering_ram
wh2_main_nor_hung_incursion_skv	nor_battering_ram
wh2_main_nor_mung	nor_battering_ram
wh2_main_nor_skeggi	nor_battering_ram
wh_dlc08_nor_norsca	nor_battering_ram
wh_dlc08_nor_wintertooth	nor_battering_ram
wh_main_nor_aesling	nor_battering_ram
wh_main_nor_baersonling	nor_battering_ram
wh_main_nor_bjornling	nor_battering_ram
wh_main_nor_graeling	nor_battering_ram
wh_main_nor_norsca_rebels	nor_battering_ram
wh_main_nor_sarl	nor_battering_ram
wh_main_nor_skaeling	nor_battering_ram
wh_main_nor_varg	nor_battering_ram
wh2_main_nor_aghol	nor_siege_tower_15m
wh2_main_nor_hung_incursion_def	nor_siege_tower_15m
wh2_main_nor_hung_incursion_hef	nor_siege_tower_15m
wh2_main_nor_hung_incursion_lzd	nor_siege_tower_15m
wh2_main_nor_hung_incursion_skv	nor_siege_tower_15m
wh2_main_nor_mung	nor_siege_tower_15m
wh2_main_nor_skeggi	nor_siege_tower_15m
wh_dlc08_nor_norsca	nor_siege_tower_15m
wh_dlc08_nor_wintertooth	nor_siege_tower_15m
wh_main_nor_aesling	nor_siege_tower_15m
wh_main_nor_baersonling	nor_siege_tower_15m
wh_main_nor_bjornling	nor_siege_tower_15m
wh_main_nor_graeling	nor_siege_tower_15m
wh_main_nor_norsca_rebels	nor_siege_tower_15m
wh_main_nor_sarl	nor_siege_tower_15m
wh_main_nor_skaeling	nor_siege_tower_15m
wh_main_nor_varg	nor_siege_tower_15m
wh2_dlc09_skv_clan_rictus	skv_battering_ram
wh2_main_skv_clan_pestilens	skv_battering_ram
wh2_main_skv_skaven	skv_battering_ram
wh2_dlc09_skv_clan_rictus	skv_siege_tower_15m
wh2_main_skv_clan_pestilens	skv_siege_tower_15m
wh2_main_skv_skaven	skv_siege_tower_15m
wh2_dlc09_tmb_exiles_of_nehek	tmb_battering_ram
wh2_dlc09_tmb_followers_of_nagash	tmb_battering_ram
wh2_dlc09_tmb_lybaras	tmb_battering_ram
wh2_dlc09_tmb_tomb_kings	tmb_battering_ram
wh2_dlc09_tmb_exiles_of_nehek	tmb_siege_tower_15m
wh2_dlc09_tmb_followers_of_nagash	tmb_siege_tower_15m
wh2_dlc09_tmb_lybaras	tmb_siege_tower_15m
wh2_dlc09_tmb_tomb_kings	tmb_siege_tower_15m
wh2_dlc11_vmp_the_barrow_legion	vmp_battering_ram
wh_main_vmp_mousillon	vmp_battering_ram
wh_main_vmp_schwartzhafen	vmp_battering_ram
wh_main_vmp_vampire_counts	vmp_battering_ram
wh2_dlc11_vmp_the_barrow_legion	vmp_siege_tower_15m
wh_main_vmp_mousillon	vmp_siege_tower_15m
wh_main_vmp_schwartzhafen	vmp_siege_tower_15m
wh_main_vmp_vampire_counts	vmp_siege_tower_15m
wh_dlc05_wef_argwylon	wef_battering_ram
wh_dlc05_wef_wood_elves	wef_battering_ram
wh_dlc05_wef_argwylon	wef_siege_tower_15m
wh_dlc05_wef_wood_elves	wef_siege_tower_15m
