campaign_character_uniform_ancillary_junctions_tables	0
ancillary	art_set	uniform
wh2_dlc09_anc_mount_tmb_khatep_casket_of_souls	wh2_dlc09_art_set_tmb_khatep	wh2_dlc09_uniform_tmb_khatep
wh2_main_anc_mount_hef_alastair_great_eagle	wh2_main_art_set_hef_prince_alastar	wh2_main_uniform_hef_prince_alastair_rider
wh2_main_anc_mount_hef_alastair_star_dragon	wh2_main_art_set_hef_prince_alastar	wh2_main_uniform_hef_prince_alastair_rider
wh2_main_anc_mount_hef_alastair_sun_dragon	wh2_main_art_set_hef_prince_alastar	wh2_main_uniform_hef_prince_alastair_rider
wh_dlc06_anc_mount_dwf_runelord_anvil_of_doom	wh_dlc06_art_set_dwf_runelord_01	wh_dlc06_uniform_dwf_runelord_anvil
wh_dlc06_anc_mount_dwf_runelord_anvil_of_doom	wh_dlc06_art_set_dwf_runelord_02	wh_dlc06_uniform_dwf_runelord_anvil
wh_dlc06_anc_mount_dwf_runelord_anvil_of_doom	wh_dlc06_art_set_dwf_runelord_03	wh_dlc06_uniform_dwf_runelord_anvil
wh_dlc06_anc_mount_dwf_runelord_anvil_of_doom	wh_dlc06_art_set_dwf_runelord_04	wh_dlc06_uniform_dwf_runelord_anvil
wh_main_anc_mount_emp_karl_franz_barded_warhorse	wh_main_art_set_emp_karl_franz	wh_main_uniform_emp_karl_franz_mounted
wh_main_anc_mount_emp_karl_franz_deathclaw	wh_main_art_set_emp_karl_franz	wh_main_uniform_emp_karl_franz_mounted
wh_main_anc_mount_emp_karl_franz_imperial_pegasus	wh_main_art_set_emp_karl_franz	wh_main_uniform_emp_karl_franz_mounted
wh_main_anc_mount_emp_karl_franz_warhorse	wh_main_art_set_emp_karl_franz	wh_main_uniform_emp_karl_franz_mounted
