political_parties_tables	7
key	playable	effect_bundle	initial_power	campaign_key
wh2_dlc09_political_party_skv_tretch_craventail	true	wh_main_bundle_dummy	100	main_warhammer
wh2_dlc09_political_party_tmb_arkhan	true	wh_main_bundle_dummy	100	main_warhammer
wh2_dlc09_political_party_tmb_khalida	true	wh_main_bundle_dummy	100	main_warhammer
wh2_dlc09_political_party_tmb_khatep	true	wh_main_bundle_dummy	100	main_warhammer
wh2_dlc09_political_party_tmb_settra	true	wh_main_bundle_dummy	100	main_warhammer
wh2_dlc09_political_party_vor_skv_tretch_craventail	true	wh_main_bundle_dummy	100	wh2_main_great_vortex
wh2_dlc09_political_party_vor_tmb_arkhan	true	wh_main_bundle_dummy	100	wh2_main_great_vortex
wh2_dlc09_political_party_vor_tmb_khalida	true	wh_main_bundle_dummy	100	wh2_main_great_vortex
wh2_dlc09_political_party_vor_tmb_khatep	true	wh_main_bundle_dummy	100	wh2_main_great_vortex
wh2_dlc09_political_party_vor_tmb_settra	true	wh_main_bundle_dummy	100	wh2_main_great_vortex
wh2_dlc10_political_party_def_hellebron	true	wh_main_bundle_dummy	100	main_warhammer
wh2_dlc10_political_party_hef_alarielle	true	wh_main_bundle_dummy	100	main_warhammer
wh2_dlc10_political_party_hef_alith_anar	true	wh_main_bundle_dummy	100	main_warhammer
wh2_dlc10_political_party_vor_def_hellebron	true	wh_main_bundle_dummy	100	wh2_main_great_vortex
wh2_dlc10_political_party_vor_hef_alarielle	true	wh_main_bundle_dummy	100	wh2_main_great_vortex
wh2_dlc10_political_party_vor_hef_alith_anar	true	wh_main_bundle_dummy	100	wh2_main_great_vortex
wh2_dlc11_political_party_cst_noctilus_ruler	true	wh_main_bundle_dummy	100	main_warhammer
wh2_dlc11_political_party_cst_sartosa_council	false	wh_main_bundle_dummy	10	main_warhammer
wh2_dlc11_political_party_cst_sartosa_ruler	true	wh_main_faction_trait_vampire_faction	90	main_warhammer
wh2_dlc11_political_party_cst_the_drowned_council	false	wh_main_bundle_dummy	10	main_warhammer
wh2_dlc11_political_party_cst_the_drowned_ruler	true	wh_main_faction_trait_vampire_faction	90	main_warhammer
wh2_dlc11_political_party_def_lokhir_fellheart_ruler	true	wh_main_bundle_dummy	100	main_warhammer
wh2_dlc11_political_party_vampire_coast_council	false	wh_main_bundle_dummy	10	main_warhammer
wh2_dlc11_political_party_vampire_coast_ruler	true	wh_main_faction_trait_vampire_faction	90	main_warhammer
wh2_dlc11_political_party_vor_cst_noctilus_ruler	true	wh_main_bundle_dummy	100	wh2_main_great_vortex
wh2_dlc11_political_party_vor_cst_sartosa_ruler	true	wh_main_faction_trait_vampire_faction	90	wh2_main_great_vortex
wh2_dlc11_political_party_vor_cst_the_drowned_ruler	true	wh_main_faction_trait_vampire_faction	90	wh2_main_great_vortex
wh2_dlc11_political_party_vor_def_lokhir_fellheart_ruler	true	wh_main_bundle_dummy	100	wh2_main_great_vortex
wh2_dlc11_political_party_vor_vampire_coast_ruler	true	wh_main_bundle_dummy	90	wh2_main_great_vortex
wh2_dlc12_political_party_lzd_tehenhauin	true	wh_main_bundle_dummy	100	main_warhammer
wh2_dlc12_political_party_lzd_tiktaqto	true	wh_main_bundle_dummy	100	main_warhammer
wh2_dlc12_political_party_skv_ikit_claw	true	wh_main_bundle_dummy	100	main_warhammer
wh2_dlc12_political_party_vor_lzd_tehenhauin	true	wh_main_bundle_dummy	100	wh2_main_great_vortex
wh2_dlc12_political_party_vor_lzd_tiktaqto	true	wh_main_bundle_dummy	100	wh2_main_great_vortex
wh2_dlc12_political_party_vor_skv_ikit_claw	true	wh_main_bundle_dummy	100	wh2_main_great_vortex
wh2_main_political_party_def_malekith	true	wh_main_bundle_dummy	100	main_warhammer
wh2_main_political_party_def_morathi	true	wh_main_bundle_dummy	100	main_warhammer
wh2_main_political_party_hef_teclis	true	wh_main_bundle_dummy	100	main_warhammer
wh2_main_political_party_hef_tyrion	true	wh_main_bundle_dummy	100	main_warhammer
wh2_main_political_party_lzd_kroq_gar	true	wh_main_bundle_dummy	100	main_warhammer
wh2_main_political_party_lzd_lord_mazdamundi	true	wh_main_bundle_dummy	100	main_warhammer
wh2_main_political_party_skv_lord_skrolk	true	wh_main_bundle_dummy	100	main_warhammer
wh2_main_political_party_skv_queek_headtaker	true	wh_main_bundle_dummy	100	main_warhammer
wh2_main_political_party_vor_def_malekith	true	wh_main_bundle_dummy	100	wh2_main_great_vortex
wh2_main_political_party_vor_def_morathi	true	wh_main_bundle_dummy	100	wh2_main_great_vortex
wh2_main_political_party_vor_hef_teclis	true	wh_main_bundle_dummy	100	wh2_main_great_vortex
wh2_main_political_party_vor_hef_tyrion	true	wh_main_bundle_dummy	100	wh2_main_great_vortex
wh2_main_political_party_vor_lzd_kroq_gar	true	wh_main_bundle_dummy	100	wh2_main_great_vortex
wh2_main_political_party_vor_lzd_lord_mazdamundi	true	wh_main_bundle_dummy	100	wh2_main_great_vortex
wh2_main_political_party_vor_skv_lord_skrolk	true	wh_main_bundle_dummy	100	wh2_main_great_vortex
wh2_main_political_party_vor_skv_queek_headtaker	true	wh_main_bundle_dummy	100	wh2_main_great_vortex
wh_dlc03_political_party_beastmen_council	false	wh_main_bundle_dummy	10	main_warhammer
wh_dlc03_political_party_beastmen_ruler	true	wh_dlc03_faction_trait_beastmen_faction	90	main_warhammer
wh_dlc05_political_party_wood_elves_council	false	wh_main_bundle_dummy	10	main_warhammer
wh_dlc05_political_party_wood_elves_durthu	true	wh_dlc05_faction_trait_wood_elves_faction	90	main_warhammer
wh_dlc05_political_party_wood_elves_durthu_council	false	wh_main_bundle_dummy	10	main_warhammer
wh_dlc05_political_party_wood_elves_ruler	true	wh_dlc05_faction_trait_wood_elves_faction	90	main_warhammer
wh_dlc06_political_party_belegar_council	false	wh_main_bundle_dummy	10	main_warhammer
wh_dlc06_political_party_belegar_ruler	true	wh_main_faction_trait_dwarfs_faction	90	main_warhammer
wh_dlc06_political_party_skarsnik_council	false	wh_main_bundle_dummy	10	main_warhammer
wh_dlc06_political_party_skarsnik_ruler	true	wh_main_faction_trait_greenskins_faction	90	main_warhammer
wh_dlc06_political_party_wurrzag_council	false	wh_main_bundle_dummy	10	main_warhammer
wh_dlc06_political_party_wurrzag_ruler	true	wh_main_faction_trait_greenskins_faction	90	main_warhammer
wh_dlc07_political_party_bretonnia_alberic	true	wh_main_faction_trait_bretonnia	90	main_warhammer
wh_dlc07_political_party_bretonnia_council	false	wh_main_bundle_dummy	10	main_warhammer
wh_dlc07_political_party_bretonnia_council_alberic	false	wh_main_bundle_dummy	10	main_warhammer
wh_dlc07_political_party_bretonnia_council_fay	false	wh_main_bundle_dummy	10	main_warhammer
wh_dlc07_political_party_bretonnia_fay	true	wh_main_faction_trait_bretonnia	90	main_warhammer
wh_dlc07_political_party_bretonnia_ruler	true	wh_main_faction_trait_bretonnia	90	main_warhammer
wh_dlc08_political_party_norsca_council	false	wh_main_bundle_dummy	10	main_warhammer
wh_dlc08_political_party_norsca_ruler	true	wh_dlc08_faction_trait_norsca_faction	90	main_warhammer
wh_dlc08_political_party_norsca_throgg	true	wh_dlc08_faction_trait_norsca_faction	90	main_warhammer
wh_dlc08_political_party_norsca_throgg_council	false	wh_main_bundle_dummy	10	main_warhammer
wh_dlc08_political_party_tomb_kings_ruler	true	wh_main_faction_trait_empire_faction	100	main_warhammer
wh_main_political_party_chaos_council	false	wh_main_bundle_dummy	10	main_warhammer
wh_main_political_party_chaos_ruler	true	wh_main_faction_trait_chaos_faction	90	main_warhammer
wh_main_political_party_chaos_separatist_council	false	wh_main_bundle_dummy	10	main_warhammer
wh_main_political_party_chaos_separatist_ruler	true	wh_main_faction_trait_chaos_faction	90	main_warhammer
wh_main_political_party_chaos_separatist_sorcerer_lord_council	false	wh_main_bundle_dummy	10	main_warhammer
wh_main_political_party_chaos_separatist_sorcerer_lord_ruler	true	wh_main_faction_trait_chaos_faction	90	main_warhammer
wh_main_political_party_dwarf_council	false	wh_main_bundle_dummy	10	main_warhammer
wh_main_political_party_dwarf_ruler	true	wh_main_faction_trait_dwarfs_faction	90	main_warhammer
wh_main_political_party_dwarf_separatist_council	false	wh_main_bundle_dummy	10	main_warhammer
wh_main_political_party_dwarf_separatist_ruler	true	wh_main_faction_trait_dwarfs_faction	90	main_warhammer
wh_main_political_party_dwarf_ungrim	true	wh_main_faction_trait_dwarfs_faction	100	main_warhammer
wh_main_political_party_empire_council	false	wh_main_bundle_dummy	10	main_warhammer
wh_main_political_party_empire_ruler	true	wh_main_faction_trait_empire_faction	90	main_warhammer
wh_main_political_party_empire_separatist_council	false	wh_main_bundle_dummy	10	main_warhammer
wh_main_political_party_empire_separatist_ruler	true	wh_main_faction_trait_empire_faction	90	main_warhammer
wh_main_political_party_greenskins_council	false	wh_main_bundle_dummy	10	main_warhammer
wh_main_political_party_greenskins_ruler	true	wh_main_faction_trait_greenskins_faction	90	main_warhammer
wh_main_political_party_greenskins_separatist_council	false	wh_main_bundle_dummy	10	main_warhammer
wh_main_political_party_greenskins_separatist_goblin_shaman_council	false	wh_main_bundle_dummy	10	main_warhammer
wh_main_political_party_greenskins_separatist_goblin_shaman_ruler	true	wh_main_faction_trait_greenskins_faction	90	main_warhammer
wh_main_political_party_greenskins_separatist_ruler	true	wh_main_faction_trait_greenskins_faction	90	main_warhammer
wh_main_political_party_vampire_council	false	wh_main_bundle_dummy	10	main_warhammer
wh_main_political_party_vampire_heinrich	true	wh_main_faction_trait_vampire_faction	100	main_warhammer
wh_main_political_party_vampire_ruler	true	wh_main_faction_trait_vampire_faction	90	main_warhammer
wh_main_political_party_vampire_separatist_council	false	wh_main_bundle_dummy	10	main_warhammer
wh_main_political_party_vampire_separatist_master_necromancer_council	false	wh_main_bundle_dummy	10	main_warhammer
wh_main_political_party_vampire_separatist_master_necromancer_ruler	true	wh_main_faction_trait_vampire_faction	90	main_warhammer
wh_main_political_party_vampire_separatist_ruler	true	wh_main_faction_trait_vampire_faction	90	main_warhammer
wh_pro02_political_party_vlad_council	false	wh_main_bundle_dummy	10	main_warhammer
wh_pro02_political_party_vlad_ruler	true	wh_main_faction_trait_vampire_faction	90	main_warhammer
